body,state_slug,year,event_id,publisher_label,n_rows,tcpd_party_id,tcpd_party_name,tcpd_party_type,tcpd_start_year,tcpd_last_year,tcpd_state_name,skip_reason,next_lookup_source
assembly,andhra-pradesh,1970,1970,NCJ,3,,,,,,,tcpd-placeholder-only,wikipedia-and-press
assembly,andhra-pradesh,1972,1972,MIL,3,5426,Minorities League,,1972,1972,Andhra_Pradesh,tcpd-state-disambig-contradiction,wikipedia-and-press
assembly,andhra-pradesh,2006,2006,JIND,1,,,,,,,tcpd-placeholder-only,eci-statreport-2006
assembly,andhra-pradesh,2010,2010,DBP,1,10139,Desh Bhakt Party,Local Party,1991,2009,All_States,tcpd-state-year-collision,eci-statreport-2010
assembly,andhra-pradesh,2012,2012,DBP,1,10139,Desh Bhakt Party,Local Party,1991,2009,All_States,tcpd-state-year-collision,eci-statreport-2012
assembly,andhra-pradesh,2021,2021,JANA SAHAYAKA SAKTHI,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2021
assembly,andhra-pradesh,2021,2021,MAHAJANA RAJYAM PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2021
assembly,andhra-pradesh,2021,2021,TELUGU JANATA PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2021
assembly,assam,1962,1962,HLC,15,817,ALL PARTY HILL LEADER'S CONFERNCE,Local Party,1962,1983,Meghalaya,,wikipedia-and-press
assembly,assam,1964,1964,HLC,1,817,ALL PARTY HILL LEADER'S CONFERNCE,Local Party,1962,1983,Meghalaya,,wikipedia-and-press
assembly,assam,1970,1970,NCJ,2,,,,,,,tcpd-placeholder-only,wikipedia-and-press
assembly,assam,1991,1991,PTCA,15,5952,Palin Tribals Councils of Assam,Local Party,1972,1998,All_States,,eci-statreport-1991
assembly,assam,1991,1991,URC,55,13038,United Reservation Movement Council Assam,Local Party,1991,2006,Assam,tcpd-state-year-collision,eci-statreport-1991
assembly,assam,2001,2001,UTNLF,1,13043,United Tribal Nationalists Liberation Front,Local Party,1996,1999,All_States,tcpd-state-year-collision,eci-statreport-2001
assembly,assam,2009,2009,AIDUF,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,assam,2021,2021,GANA SURAKSHA PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2021
assembly,assam,2021,2021,REVOLUTIONARY COMMUNIST PARTY OF INDIA  (RASIK BHATT),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2021
assembly,bihar,1969,1969,PHJ,14,2081,Bihar Prant Hul Jharkhand,Local Party,1969,1977,All_States,tcpd-state-year-collision,wikipedia-and-press
assembly,bihar,1970,1970,NCJ,2,,,,,,,tcpd-placeholder-only,wikipedia-and-press
assembly,bihar,1972,1972,PHJ,15,2081,Bihar Prant Hul Jharkhand,Local Party,1969,1977,All_States,tcpd-state-year-collision,wikipedia-and-press
assembly,bihar,1977,1977,PHJ,5,2081,Bihar Prant Hul Jharkhand,Local Party,1969,1977,All_States,tcpd-state-year-collision,eci-statreport-1977
assembly,bihar,1979,1979,IND(I),1,,,,,,,tcpd-placeholder-only,eci-statreport-1979
assembly,bihar,1995,1995,KSP,1,4881,Kosal Party,,1995,2004,Odisha,,eci-statreport-1995
assembly,bihar,1995,1995,PHJP,1,6205,Progressive Hool Jharkhand Party,,1990,1995,Bihar,,eci-statreport-1995
assembly,bihar,1996,1996,AIIC(J),1,,,,,,,tcpd-placeholder-only,eci-statreport-1996
assembly,bihar,1998,1998,BJC,1,1411,Bharatiya Jan Congress,Local Party,1993,2000,Bihar,,eci-statreport-1998
assembly,bihar,2000,2000,BJC,2,1411,Bharatiya Jan Congress,Local Party,1993,2000,Bihar,,eci-statreport-2000
assembly,bihar,2000,2000,KSP,7,4881,Kosal Party,,1995,2004,Odisha,,eci-statreport-2000
assembly,bihar,2001,2001,LOK JAN SHAKTI,1,,,,,,,tcpd-placeholder-only,eci-statreport-2001
assembly,bihar,2003,2003,CPM(ML)L,1,,,,,,,tcpd-placeholder-only,eci-statreport-2003
assembly,bihar,2003,2003,LJNP,1,,,,,,,tcpd-placeholder-only,eci-statreport-2003
assembly,bihar,2009,2009,CPI  (M),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2009
assembly,bihar,2009,2009,CPI (M.L)(L),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2009
assembly,bihar,2009,2009,JD (U),11,,,,,,,not-in-tcpd-catalogue,eci-statreport-2009
assembly,bihar,2009,2009,PLAD,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2009
assembly,bihar,2009,2009,SJP ( R ),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2009
assembly,bihar,2014,2014,CPI(L),4,,,,,,,tcpd-placeholder-only,eci-statreport-2014
assembly,bihar,2018,2018,CPI(MARXIST LENINIST)LIBERATION,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2018
assembly,delhi,1993,1993,BJC,5,1411,Bharatiya Jan Congress,Local Party,1993,2000,Bihar,,eci-statreport-1993
assembly,delhi,1993,1993,DBP,9,10139,Desh Bhakt Party,Local Party,1991,2009,All_States,tcpd-state-year-collision,eci-statreport-1993
assembly,delhi,1993,1993,FBL(M),1,650,All India Forward Block (Marxist),,1993,1993,Delhi,,eci-statreport-1993
assembly,delhi,1998,1998,DBP,3,10139,Desh Bhakt Party,Local Party,1991,2009,All_States,tcpd-state-year-collision,eci-statreport-1998
assembly,delhi,1998,1998,JSMP,1,4144,Jan Samanta Party,Local Party,1998,2014,All_States,tcpd-state-year-collision,eci-statreport-1998
assembly,delhi,2003,2003,JSMP,1,4144,Jan Samanta Party,Local Party,1998,2014,All_States,tcpd-state-year-collision,eci-statreport-2003
assembly,delhi,2004,2004,DBP,1,10139,Desh Bhakt Party,Local Party,1991,2009,All_States,tcpd-state-year-collision,eci-statreport-2004
assembly,delhi,2008,2008,DBP,3,10139,Desh Bhakt Party,Local Party,1991,2009,All_States,tcpd-state-year-collision,eci-statreport-2008
assembly,delhi,2013,2013,JSMP,1,4144,Jan Samanta Party,Local Party,1998,2014,All_States,tcpd-state-year-collision,eci-statreport-2013
assembly,delhi,2015,2015,BVLP,1,18229,Bharat Vishal Party,,2015,2015,Delhi,tcpd-state-year-collision,eci-statreport-2015
assembly,goa,1999,1999,GMLP,1,3112,Gomant Lok Party,Local Party,1989,1999,Goa,,eci-statreport-1999
assembly,goa,2005,2005,M.G.,1,,,,,,,tcpd-placeholder-only,eci-statreport-2005
assembly,goa,2022,2022,GOENCHO SWABHIMAN PARTY,4,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,gujarat,1981,1981,IN D,1,,,,,,,tcpd-placeholder-only,eci-statreport-1981
assembly,gujarat,1996,1996,RJP(G),1,,,,,,,tcpd-placeholder-only,eci-statreport-1996
assembly,gujarat,1997,1997,RJP(G),1,,,,,,,tcpd-placeholder-only,eci-statreport-1997
assembly,gujarat,1997,1997,SDP (MP),1,,,,,,,tcpd-placeholder-only,eci-statreport-1997
assembly,gujarat,2020,2020,RASHTRAWADI JAN CHETNA PARTY,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-2020
assembly,gujarat,2022,2022,GANA SURAKSHA PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,haryana,1970,1970,NCJ,5,,,,,,,tcpd-placeholder-only,wikipedia-and-press
assembly,haryana,1972,1972,BAS,5,394,Akhil Bhartiya Arya Sabha,,1972,1972,Haryana,tcpd-state-disambig-contradiction,wikipedia-and-press
assembly,haryana,1991,1991,DBP,1,10139,Desh Bhakt Party,Local Party,1991,2009,All_States,tcpd-state-year-collision,eci-statreport-1991
assembly,haryana,1991,1991,SJJP,4,12651,Sarv Jati Janata Parishad,Local Party,1991,1991,All_States,tcpd-state-year-collision,eci-statreport-1991
