state,year,total_votes,n_parties_inside_threshold,cumsum_pct,n_outside_threshold,outside_vote_pct,unk_outside_threshold,outside_labels
andaman-and-nicobar-islands,1967,36732,3,95.3,1,4.7,0,SWA
andaman-and-nicobar-islands,1971,44525,2,100.0,0,0.0,0,
andaman-and-nicobar-islands,1977,60568,2,100.0,0,0.0,0,
andaman-and-nicobar-islands,1980,78899,3,96.5,2,3.5,0,JNP | JNP(S)
andaman-and-nicobar-islands,1984,88968,3,96.7,1,3.3,0,IND
andaman-and-nicobar-islands,1989,113065,4,100.0,0,0.0,0,
andaman-and-nicobar-islands,1991,107316,3,99.4,1,0.6,0,IND
andaman-and-nicobar-islands,1996,128212,3,96.8,2,3.2,0,IND | JP
andaman-and-nicobar-islands,1998,145836,4,97.5,1,2.5,0,IND
andaman-and-nicobar-islands,1999,145791,2,95.9,2,4.1,0,IND | NCP
andhra-pradesh,1962,23597218,4,97.7,4,2.3,0,JS | PSP | REP | SOC
andhra-pradesh,1964,127385,3,96.2,1,3.8,0,SWA
andhra-pradesh,1965,452090,4,98.5,1,1.5,0,CPI
andhra-pradesh,1967,27384911,5,97.5,4,2.5,0,BJS | PSP | RPI | SSP
andhra-pradesh,1968,-2,1,100.0,0,-0.0,0,
andhra-pradesh,1970,193753,2,96.3,1,3.7,0,CPI
andhra-pradesh,1971,13073383,7,97.2,7,2.8,0,BCM | BJS | MLP | RPK | RRP | SSP | TEC
andhra-pradesh,1972,14292623,5,95.7,8,4.3,0,BCM | BJS | DMK | MIL | NCO | RPK | SOP | STS
andhra-pradesh,1977,16705123,4,97.2,4,2.8,0,CPI | HMS | RPK | RRP
andhra-pradesh,1978,21111199,5,97.1,7,2.9,0,ADK | BCM | CPI | DMK | RPI | RPK | RRP
andhra-pradesh,1979,760828,4,97.9,2,2.1,0,BCM | CPI
andhra-pradesh,1980,17217342,6,96.4,3,3.6,0,BSP | CPM | RRP
andhra-pradesh,1981,383836,6,100.0,0,0.0,0,
andhra-pradesh,1983,21117111,4,95.1,6,4.9,0,CPM | ICJ | ICS | JNP | LKD | TDP
andhra-pradesh,1984,22765979,5,96.0,3,4.0,0,CPM | ICS | JNP
andhra-pradesh,1985,22974599,4,95.2,4,4.8,0,BJP | CPM | JNP | LKD
andhra-pradesh,1987,639425,3,96.9,2,3.1,0,CPI | IND
andhra-pradesh,1988,172219,2,98.9,1,1.1,0,IND
andhra-pradesh,1989,57515870,6,95.9,21,4.1,0,BJP | BJS | BSP | CPI(ML) | DLP | DMM | ICS(SCS) | IML | JD | JNP (JP) | JNP(JP) | LKD (B) | LKD(B) | LKP | MCPI | MGS | RPI | RPK | SOP(L) | SSP | VJS
andhra-pradesh,1991,26072184,6,96.0,18,4.0,0,BDLP | BKUS | BSP | ICS(SCS) | IPF | JD | JNP | JP | LAB(B) | LKD | LKP | MCPI | MIM | MSD | NBP | RPK | SRP | SSD
andhra-pradesh,1993,199274,2,100.0,0,0.0,0,
andhra-pradesh,1994,31705032,6,96.1,26,3.9,0,ADMK | APNPP | BRP | BSP | CPI(ML) | IUML | JD | JP | LP | MBT | MCPI | MIM | NPP | NSP | RP | RPI | RPI(A) | RPI(K) | RPP | SAP | SJP | SJP(R) | SP | SSP | SWP | TD
andhra-pradesh,1995,257208,2,100.0,0,0.0,0,
andhra-pradesh,1996,32162821,7,97.2,29,2.8,0,ABRRP(P) | AIIC(T) | AIMIM | BRP | BSP | CPI(ML)(L) | HPP | IDP | JP | LP | MBT | MCPI(S) | NIP | NTR TDP (L.P.) | NTR TDP (LP) | NTR TDP(LP) | NTR(TDP) | NTR/TDP (LP) | NTRTDP( L.P.) | NTRTDR(LP) | PHK | RPI | RPI(KH) | SAP | SHS | SHSP | SMP | SP | SYP
andhra-pradesh,1997,343935,2,98.7,2,1.3,0,IND | NTR TDP(LP)
