entity_id,year,period_label,period_seq,indicator_id,value_numeric,value_text,source_id,derivation
IN-S02-AC-1976-1,1978,AcGenFeb1978,2,ac-candidates-total,2.0,,src-96c4dc2f932f,count
IN-S02-AC-1976-1,1980,AcGenJan1980,3,ac-candidates-total,2.0,,src-31d879923e61,count
IN-S02-AC-1976-1,1984,AcGenDec1984,12,ac-candidates-total,2.0,,src-9a7ab5d78c07,count
IN-S02-AC-1976-1,1990,AcGenMar1990,3,ac-candidates-total,2.0,,src-583eefc7cbc9,count
IN-S02-AC-1976-1,1995,AcGenMar1995,3,ac-candidates-total,3.0,,src-bbb1962ef943,count
IN-S02-AC-1976-1,1999,AcGenOct1999,10,ac-candidates-total,2.0,,src-b51ea4c83cb8,count
IN-S02-AC-1976-1,2004,AcGenOct2004,10,ac-candidates-total,2.0,,src-bf043e077c7a,count
IN-S02-AC-1976-10,1978,AcGenFeb1978,2,ac-candidates-total,6.0,,src-96c4dc2f932f,count
IN-S02-AC-1976-10,1980,AcGenJan1980,3,ac-candidates-total,7.0,,src-31d879923e61,count
IN-S02-AC-1976-10,1984,AcGenDec1984,12,ac-candidates-total,5.0,,src-9a7ab5d78c07,count
IN-S02-AC-1976-10,1990,AcGenMar1990,3,ac-candidates-total,3.0,,src-583eefc7cbc9,count
IN-S02-AC-1976-10,1995,AcGenMar1995,3,ac-candidates-total,3.0,,src-bbb1962ef943,count
IN-S02-AC-1976-10,1999,AcGenOct1999,10,ac-candidates-total,2.0,,src-b51ea4c83cb8,count
IN-S02-AC-1976-10,2004,AcGenOct2004,10,ac-candidates-total,2.0,,src-bf043e077c7a,count
IN-S02-AC-1976-11,1978,AcGenFeb1978,2,ac-candidates-total,2.0,,src-96c4dc2f932f,count
IN-S02-AC-1976-11,1980,AcGenJan1980,3,ac-candidates-total,4.0,,src-31d879923e61,count
IN-S02-AC-1976-11,1984,AcGenDec1984,12,ac-candidates-total,6.0,,src-9a7ab5d78c07,count
IN-S02-AC-1976-11,1990,AcGenMar1990,3,ac-candidates-total,3.0,,src-583eefc7cbc9,count
IN-S02-AC-1976-11,1995,AcGenMar1995,3,ac-candidates-total,4.0,,src-bbb1962ef943,count
IN-S02-AC-1976-11,1999,AcGenOct1999,10,ac-candidates-total,2.0,,src-b51ea4c83cb8,count
IN-S02-AC-1976-11,2004,AcGenOct2004,10,ac-candidates-total,2.0,,src-bf043e077c7a,count
IN-S02-AC-1976-12,1978,AcGenFeb1978,2,ac-candidates-total,2.0,,src-96c4dc2f932f,count
IN-S02-AC-1976-12,1980,AcGenJan1980,3,ac-candidates-total,3.0,,src-31d879923e61,count
IN-S02-AC-1976-12,1984,AcGenDec1984,12,ac-candidates-total,3.0,,src-9a7ab5d78c07,count
IN-S02-AC-1976-12,1990,AcGenMar1990,3,ac-candidates-total,3.0,,src-583eefc7cbc9,count
IN-S02-AC-1976-12,1995,AcGenMar1995,3,ac-candidates-total,3.0,,src-bbb1962ef943,count
IN-S02-AC-1976-12,1999,AcGenOct1999,10,ac-candidates-total,2.0,,src-b51ea4c83cb8,count
IN-S02-AC-1976-12,2004,AcGenOct2004,10,ac-candidates-total,2.0,,src-bf043e077c7a,count
IN-S02-AC-1976-13,1978,AcGenFeb1978,2,ac-candidates-total,4.0,,src-96c4dc2f932f,count
IN-S02-AC-1976-13,1980,AcGenJan1980,3,ac-candidates-total,2.0,,src-31d879923e61,count
IN-S02-AC-1976-13,1984,AcGenDec1984,12,ac-candidates-total,3.0,,src-9a7ab5d78c07,count
IN-S02-AC-1976-13,1990,AcGenMar1990,3,ac-candidates-total,5.0,,src-583eefc7cbc9,count
IN-S02-AC-1976-13,1995,AcGenMar1995,3,ac-candidates-total,4.0,,src-bbb1962ef943,count
IN-S02-AC-1976-13,1999,AcGenOct1999,10,ac-candidates-total,7.0,,src-b51ea4c83cb8,count
IN-S02-AC-1976-13,2004,AcGenOct2004,10,ac-candidates-total,3.0,,src-bf043e077c7a,count
IN-S02-AC-1976-14,1978,AcGenFeb1978,2,ac-candidates-total,3.0,,src-96c4dc2f932f,count
