entity_id,year,period_label,period_seq,indicator_id,value_numeric,value_text,source_id,derivation
IN-PC-1976-U03-1-LsGenMay2004-C01,2004,LsGenMay2004,2,candidate-rank,1.0,,src-f8813ce137a0,raw
IN-PC-1976-U03-1-LsGenMay2004-C02,2004,LsGenMay2004,2,candidate-rank,2.0,,src-f8813ce137a0,raw
IN-PC-1976-U03-1-LsGenMay2004-C03,2004,LsGenMay2004,2,candidate-rank,3.0,,src-f8813ce137a0,raw
IN-PC-1976-U03-1-LsGenOct1999-C01,1999,LsGenOct1999,1,candidate-rank,1.0,,src-c3e2fd43efa5,raw
IN-PC-1976-U03-1-LsGenOct1999-C02,1999,LsGenOct1999,1,candidate-rank,2.0,,src-c3e2fd43efa5,raw
IN-PC-1976-U03-1-LsGenOct1999-C03,1999,LsGenOct1999,1,candidate-rank,3.0,,src-c3e2fd43efa5,raw
IN-PC-1976-U03-1-LsGenOct1999-C04,1999,LsGenOct1999,1,candidate-rank,4.0,,src-c3e2fd43efa5,raw
IN-PC-1976-U03-2-LsGenMay2004-C01,2004,LsGenMay2004,2,candidate-rank,1.0,,src-f8813ce137a0,raw
IN-PC-1976-U03-2-LsGenMay2004-C02,2004,LsGenMay2004,2,candidate-rank,2.0,,src-f8813ce137a0,raw
IN-PC-1976-U03-2-LsGenMay2004-C03,2004,LsGenMay2004,2,candidate-rank,3.0,,src-f8813ce137a0,raw
IN-PC-1976-U03-2-LsGenMay2004-C04,2004,LsGenMay2004,2,candidate-rank,4.0,,src-f8813ce137a0,raw
IN-PC-1976-U03-2-LsGenMay2004-C05,2004,LsGenMay2004,2,candidate-rank,5.0,,src-f8813ce137a0,raw
IN-PC-1976-U03-2-LsGenMay2004-C06,2004,LsGenMay2004,2,candidate-rank,6.0,,src-f8813ce137a0,raw
IN-PC-1976-U03-2-LsGenMay2004-C07,2004,LsGenMay2004,2,candidate-rank,7.0,,src-f8813ce137a0,raw
IN-PC-1976-U03-2-LsGenMay2004-C08,2004,LsGenMay2004,2,candidate-rank,8.0,,src-f8813ce137a0,raw
IN-PC-1976-U03-2-LsGenMay2004-C09,2004,LsGenMay2004,2,candidate-rank,9.0,,src-f8813ce137a0,raw
IN-PC-1976-U03-2-LsGenMay2004-C10,2004,LsGenMay2004,2,candidate-rank,10.0,,src-f8813ce137a0,raw
IN-PC-1976-U03-2-LsGenOct1999-C01,1999,LsGenOct1999,1,candidate-rank,1.0,,src-c3e2fd43efa5,raw
IN-PC-1976-U03-2-LsGenOct1999-C02,1999,LsGenOct1999,1,candidate-rank,2.0,,src-c3e2fd43efa5,raw
IN-PC-1976-U03-2-LsGenOct1999-C03,1999,LsGenOct1999,1,candidate-rank,3.0,,src-c3e2fd43efa5,raw
IN-PC-1976-U03-2-LsGenOct1999-C04,1999,LsGenOct1999,1,candidate-rank,4.0,,src-c3e2fd43efa5,raw
