entity_id,year,period_label,period_seq,indicator_id,value_numeric,value_text,source_id,derivation
IN-U05-AC-1976-1,1977,AcGenOct1977,10,ac-candidates-total,5.0,,src-d623fb55f089,count
IN-U05-AC-1976-1,1983,AcGenMay1983,5,ac-candidates-total,12.0,,src-21e0449c2af1,count
IN-U05-AC-1976-1,1993,AcGenNov1993,6,ac-candidates-total,11.0,,src-33d259753407,count
IN-U05-AC-1976-1,1998,AcGenNov1998,11,ac-candidates-total,10.0,,src-6c33137ae640,count
IN-U05-AC-1976-1,2003,AcGenDec2003,12,ac-candidates-total,5.0,,src-731874b4f970,count
IN-U05-AC-1976-10,1977,AcGenOct1977,10,ac-candidates-total,5.0,,src-d623fb55f089,count
IN-U05-AC-1976-10,1983,AcGenMay1983,5,ac-candidates-total,8.0,,src-21e0449c2af1,count
IN-U05-AC-1976-10,1993,AcGenNov1993,6,ac-candidates-total,14.0,,src-33d259753407,count
IN-U05-AC-1976-10,1998,AcGenNov1998,11,ac-candidates-total,8.0,,src-6c33137ae640,count
IN-U05-AC-1976-10,2003,AcGenDec2003,12,ac-candidates-total,8.0,,src-731874b4f970,count
IN-U05-AC-1976-11,1977,AcGenOct1977,10,ac-candidates-total,2.0,,src-d623fb55f089,count
IN-U05-AC-1976-11,1983,AcGenMay1983,5,ac-candidates-total,9.0,,src-21e0449c2af1,count
IN-U05-AC-1976-11,1993,AcGenNov1993,6,ac-candidates-total,16.0,,src-33d259753407,count
IN-U05-AC-1976-11,1998,AcGenNov1998,11,ac-candidates-total,8.0,,src-6c33137ae640,count
IN-U05-AC-1976-11,2003,AcGenDec2003,12,ac-candidates-total,14.0,,src-731874b4f970,count
IN-U05-AC-1976-12,1977,AcGenOct1977,10,ac-candidates-total,3.0,,src-d623fb55f089,count
IN-U05-AC-1976-12,1983,AcGenMay1983,5,ac-candidates-total,9.0,,src-21e0449c2af1,count
IN-U05-AC-1976-12,1993,AcGenNov1993,6,ac-candidates-total,23.0,,src-33d259753407,count
IN-U05-AC-1976-12,1998,AcGenNov1998,11,ac-candidates-total,6.0,,src-6c33137ae640,count
IN-U05-AC-1976-12,2003,AcGenDec2003,12,ac-candidates-total,12.0,,src-731874b4f970,count
IN-U05-AC-1976-13,1977,AcGenOct1977,10,ac-candidates-total,4.0,,src-d623fb55f089,count
IN-U05-AC-1976-13,1983,AcGenMay1983,5,ac-candidates-total,7.0,,src-21e0449c2af1,count
IN-U05-AC-1976-13,1993,AcGenNov1993,6,ac-candidates-total,30.0,,src-33d259753407,count
