entity_id,year,period_label,period_seq,indicator_id,value_numeric,value_text,source_id,derivation
IN-PC-1976-U04-1,1999,LsGenOct1999,1,pc-candidates-total,4.0,,src-c3e2fd43efa5,count
IN-PC-1976-U04-1,1999,LsGenOct1999,1,pc-effective-candidates-laakso,2.0879492033452256,,src-c3e2fd43efa5,laakso_taagepera
IN-PC-1976-U04-1,1999,LsGenOct1999,1,pc-margin-pct,10.679839249832552,,src-c3e2fd43efa5,ratio_pct
IN-PC-1976-U04-1,1999,LsGenOct1999,1,pc-margin-votes,3189.0,,src-c3e2fd43efa5,diff
IN-PC-1976-U04-1,1999,LsGenOct1999,1,pc-total-electors,37619.0,,src-c3e2fd43efa5,raw
IN-PC-1976-U04-1,1999,LsGenOct1999,1,pc-turnout-pct,79.37478401871395,,src-c3e2fd43efa5,ratio_pct
IN-PC-1976-U04-1,1999,LsGenOct1999,1,pc-votes-polled,29860.0,,src-c3e2fd43efa5,raw
IN-PC-1976-U04-1,1999,LsGenOct1999,1,pc-winner-candidate-id,,IN-PC-1976-U04-1-LsGenOct1999-C01,src-c3e2fd43efa5,argmax
IN-PC-1976-U04-1,1999,LsGenOct1999,1,pc-winner-party-id,,parties.IN.INC,src-c3e2fd43efa5,join
IN-PC-1976-U04-1,2004,LsGenMay2004,2,pc-candidates-total,4.0,,src-f8813ce137a0,count
IN-PC-1976-U04-1,2004,LsGenMay2004,2,pc-effective-candidates-laakso,2.089401129253311,,src-f8813ce137a0,laakso_taagepera
IN-PC-1976-U04-1,2004,LsGenMay2004,2,pc-margin-pct,0.22313010685103707,,src-f8813ce137a0,ratio_pct
IN-PC-1976-U04-1,2004,LsGenMay2004,2,pc-margin-votes,71.0,,src-f8813ce137a0,diff
IN-PC-1976-U04-1,2004,LsGenMay2004,2,pc-total-electors,39033.0,,src-f8813ce137a0,raw
IN-PC-1976-U04-1,2004,LsGenMay2004,2,pc-turnout-pct,81.5207644813363,,src-f8813ce137a0,ratio_pct
IN-PC-1976-U04-1,2004,LsGenMay2004,2,pc-votes-polled,31820.0,,src-f8813ce137a0,raw
IN-PC-1976-U04-1,2004,LsGenMay2004,2,pc-winner-candidate-id,,IN-PC-1976-U04-1-LsGenMay2004-C01,src-f8813ce137a0,argmax
IN-PC-1976-U04-1,2004,LsGenMay2004,2,pc-winner-party-id,,parties.IN.JDU,src-f8813ce137a0,join
IN-PC-1976-U04-1-LsGenMay2004-C01,2004,LsGenMay2004,2,candidate-rank,1.0,,src-f8813ce137a0,raw
IN-PC-1976-U04-1-LsGenMay2004-C01,2004,LsGenMay2004,2,candidate-vote-share-pct,49.01634192331867,,src-f8813ce137a0,ratio_pct
IN-PC-1976-U04-1-LsGenMay2004-C01,2004,LsGenMay2004,2,candidate-votes-polled,15597.0,,src-f8813ce137a0,raw
