entity_id,year,period_label,period_seq,indicator_id,value_numeric,value_text,source_id,derivation
IN-PC-1976-S13-1,1999,LsGenOct1999,1,pc-candidates-total,3.0,,src-c3e2fd43efa5,count
IN-PC-1976-S13-1,1999,LsGenOct1999,1,pc-effective-candidates-laakso,2.627440718124526,,src-c3e2fd43efa5,laakso_taagepera
IN-PC-1976-S13-1,1999,LsGenOct1999,1,pc-margin-pct,26.01717110238108,,src-c3e2fd43efa5,ratio_pct
IN-PC-1976-S13-1,1999,LsGenOct1999,1,pc-margin-votes,112850.0,,src-c3e2fd43efa5,diff
IN-PC-1976-S13-1,1999,LsGenOct1999,1,pc-total-electors,790537.0,,src-c3e2fd43efa5,raw
IN-PC-1976-S13-1,1999,LsGenOct1999,1,pc-turnout-pct,54.86802009267119,,src-c3e2fd43efa5,ratio_pct
IN-PC-1976-S13-1,1999,LsGenOct1999,1,pc-votes-polled,433752.0,,src-c3e2fd43efa5,raw
IN-PC-1976-S13-1,1999,LsGenOct1999,1,pc-winner-candidate-id,,IN-PC-1976-S13-1-LsGenOct1999-C01,src-c3e2fd43efa5,argmax
IN-PC-1976-S13-1,1999,LsGenOct1999,1,pc-winner-party-id,,parties.IN.SHS,src-c3e2fd43efa5,join
IN-PC-1976-S13-1,2004,LsGenMay2004,2,pc-candidates-total,5.0,,src-f8813ce137a0,count
IN-PC-1976-S13-1,2004,LsGenMay2004,2,pc-effective-candidates-laakso,2.228874229583432,,src-f8813ce137a0,laakso_taagepera
IN-PC-1976-S13-1,2004,LsGenMay2004,2,pc-margin-pct,16.83519410656872,,src-f8813ce137a0,ratio_pct
IN-PC-1976-S13-1,2004,LsGenMay2004,2,pc-margin-votes,80899.0,,src-f8813ce137a0,diff
IN-PC-1976-S13-1,2004,LsGenMay2004,2,pc-total-electors,835714.0,,src-f8813ce137a0,raw
IN-PC-1976-S13-1,2004,LsGenMay2004,2,pc-turnout-pct,57.49993418801169,,src-f8813ce137a0,ratio_pct
IN-PC-1976-S13-1,2004,LsGenMay2004,2,pc-votes-polled,480535.0,,src-f8813ce137a0,raw
IN-PC-1976-S13-1,2004,LsGenMay2004,2,pc-winner-candidate-id,,IN-PC-1976-S13-1-LsGenMay2004-C01,src-f8813ce137a0,argmax
IN-PC-1976-S13-1,2004,LsGenMay2004,2,pc-winner-party-id,,parties.IN.SHS,src-f8813ce137a0,join
IN-PC-1976-S13-1-LsGenMay2004-C01,2004,LsGenMay2004,2,candidate-rank,1.0,,src-f8813ce137a0,raw
IN-PC-1976-S13-1-LsGenMay2004-C01,2004,LsGenMay2004,2,candidate-vote-share-pct,54.93897426826349,,src-f8813ce137a0,ratio_pct
IN-PC-1976-S13-1-LsGenMay2004-C01,2004,LsGenMay2004,2,candidate-votes-polled,264001.0,,src-f8813ce137a0,raw
IN-PC-1976-S13-1-LsGenMay2004-C02,2004,LsGenMay2004,2,candidate-rank,2.0,,src-f8813ce137a0,raw
IN-PC-1976-S13-1-LsGenMay2004-C02,2004,LsGenMay2004,2,candidate-vote-share-pct,38.10378016169478,,src-f8813ce137a0,ratio_pct
IN-PC-1976-S13-1-LsGenMay2004-C02,2004,LsGenMay2004,2,candidate-votes-polled,183102.0,,src-f8813ce137a0,raw
IN-PC-1976-S13-1-LsGenMay2004-C03,2004,LsGenMay2004,2,candidate-rank,3.0,,src-f8813ce137a0,raw
IN-PC-1976-S13-1-LsGenMay2004-C03,2004,LsGenMay2004,2,candidate-vote-share-pct,2.6254070983383104,,src-f8813ce137a0,ratio_pct
IN-PC-1976-S13-1-LsGenMay2004-C03,2004,LsGenMay2004,2,candidate-votes-polled,12616.0,,src-f8813ce137a0,raw
IN-PC-1976-S13-1-LsGenMay2004-C04,2004,LsGenMay2004,2,candidate-rank,4.0,,src-f8813ce137a0,raw
IN-PC-1976-S13-1-LsGenMay2004-C04,2004,LsGenMay2004,2,candidate-vote-share-pct,2.3958712684820043,,src-f8813ce137a0,ratio_pct
IN-PC-1976-S13-1-LsGenMay2004-C04,2004,LsGenMay2004,2,candidate-votes-polled,11513.0,,src-f8813ce137a0,raw
IN-PC-1976-S13-1-LsGenMay2004-C05,2004,LsGenMay2004,2,candidate-rank,5.0,,src-f8813ce137a0,raw
IN-PC-1976-S13-1-LsGenMay2004-C05,2004,LsGenMay2004,2,candidate-vote-share-pct,1.9359672032214095,,src-f8813ce137a0,ratio_pct
IN-PC-1976-S13-1-LsGenMay2004-C05,2004,LsGenMay2004,2,candidate-votes-polled,9303.0,,src-f8813ce137a0,raw
IN-PC-1976-S13-1-LsGenOct1999-C01,1999,LsGenOct1999,1,candidate-rank,1.0,,src-c3e2fd43efa5,raw
IN-PC-1976-S13-1-LsGenOct1999-C01,1999,LsGenOct1999,1,candidate-vote-share-pct,51.07134952691861,,src-c3e2fd43efa5,ratio_pct
IN-PC-1976-S13-1-LsGenOct1999-C01,1999,LsGenOct1999,1,candidate-votes-polled,221523.0,,src-c3e2fd43efa5,raw
IN-PC-1976-S13-1-LsGenOct1999-C02,1999,LsGenOct1999,1,candidate-rank,2.0,,src-c3e2fd43efa5,raw
IN-PC-1976-S13-1-LsGenOct1999-C02,1999,LsGenOct1999,1,candidate-vote-share-pct,25.054178424537522,,src-c3e2fd43efa5,ratio_pct
IN-PC-1976-S13-1-LsGenOct1999-C02,1999,LsGenOct1999,1,candidate-votes-polled,108673.0,,src-c3e2fd43efa5,raw
IN-PC-1976-S13-1-LsGenOct1999-C03,1999,LsGenOct1999,1,candidate-rank,3.0,,src-c3e2fd43efa5,raw
IN-PC-1976-S13-1-LsGenOct1999-C03,1999,LsGenOct1999,1,candidate-vote-share-pct,23.87447204854387,,src-c3e2fd43efa5,ratio_pct
IN-PC-1976-S13-1-LsGenOct1999-C03,1999,LsGenOct1999,1,candidate-votes-polled,103556.0,,src-c3e2fd43efa5,raw
IN-PC-1976-S13-10,1999,LsGenOct1999,1,pc-candidates-total,5.0,,src-c3e2fd43efa5,count
IN-PC-1976-S13-10,1999,LsGenOct1999,1,pc-effective-candidates-laakso,3.024338145762924,,src-c3e2fd43efa5,laakso_taagepera
IN-PC-1976-S13-10,1999,LsGenOct1999,1,pc-margin-pct,11.006389652891796,,src-c3e2fd43efa5,ratio_pct
IN-PC-1976-S13-10,1999,LsGenOct1999,1,pc-margin-votes,99683.0,,src-c3e2fd43efa5,diff
