entity_id,year,period_label,period_seq,indicator_id,value_numeric,value_text,source_id,derivation
IN-U07-AC-1976-1,1977,AcGenOct1977,10,ac-candidates-total,6.0,,src-7e80e86be4a1,count
IN-U07-AC-1976-1,1980,AcGenMar1980,3,ac-candidates-total,4.0,,src-135c304564fd,count
IN-U07-AC-1976-1,1985,AcGenMay1985,5,ac-candidates-total,7.0,,src-8800ca7de63c,count
IN-U07-AC-1976-1,1990,AcGenFeb1990,2,ac-candidates-total,2.0,,src-3da08e761d1a,count
IN-U07-AC-1976-1,1991,AcGenJun1991,2,ac-candidates-total,8.0,,src-fbbf5f3f0a1a,count
IN-U07-AC-1976-1,1996,AcGenApr1996,4,ac-candidates-total,10.0,,src-276913fe2487,count
IN-U07-AC-1976-1,2001,AcGenMay2001,5,ac-candidates-total,7.0,,src-f4e05ebbff66,count
IN-U07-AC-1976-1,2006,AcGenMay2006,5,ac-candidates-total,9.0,,src-557fb8688652,count
IN-U07-AC-1976-10,1977,AcGenOct1977,10,ac-candidates-total,4.0,,src-7e80e86be4a1,count
IN-U07-AC-1976-10,1980,AcGenMar1980,3,ac-candidates-total,4.0,,src-135c304564fd,count
IN-U07-AC-1976-10,1985,AcGenMay1985,5,ac-candidates-total,2.0,,src-8800ca7de63c,count
IN-U07-AC-1976-10,1990,AcGenFeb1990,2,ac-candidates-total,7.0,,src-3da08e761d1a,count
IN-U07-AC-1976-10,1991,AcGenJun1991,2,ac-candidates-total,6.0,,src-fbbf5f3f0a1a,count
IN-U07-AC-1976-10,1996,AcGenApr1996,4,ac-candidates-total,11.0,,src-276913fe2487,count
IN-U07-AC-1976-10,2001,AcGenMay2001,5,ac-candidates-total,11.0,,src-f4e05ebbff66,count
IN-U07-AC-1976-10,2006,AcGenMay2006,5,ac-candidates-total,5.0,,src-557fb8688652,count
IN-U07-AC-1976-11,1977,AcGenOct1977,10,ac-candidates-total,4.0,,src-7e80e86be4a1,count
IN-U07-AC-1976-11,1980,AcGenMar1980,3,ac-candidates-total,3.0,,src-135c304564fd,count
IN-U07-AC-1976-11,1985,AcGenMay1985,5,ac-candidates-total,2.0,,src-8800ca7de63c,count
IN-U07-AC-1976-11,1990,AcGenFeb1990,2,ac-candidates-total,12.0,,src-3da08e761d1a,count
IN-U07-AC-1976-11,1991,AcGenJun1991,2,ac-candidates-total,9.0,,src-fbbf5f3f0a1a,count
IN-U07-AC-1976-11,1996,AcGenApr1996,4,ac-candidates-total,13.0,,src-276913fe2487,count
IN-U07-AC-1976-11,2001,AcGenMay2001,5,ac-candidates-total,6.0,,src-f4e05ebbff66,count
IN-U07-AC-1976-11,2006,AcGenMay2006,5,ac-candidates-total,4.0,,src-557fb8688652,count
IN-U07-AC-1976-12,1977,AcGenOct1977,10,ac-candidates-total,4.0,,src-7e80e86be4a1,count
IN-U07-AC-1976-12,1980,AcGenMar1980,3,ac-candidates-total,3.0,,src-135c304564fd,count
