entity_id,year,period_label,period_seq,indicator_id,value_numeric,value_text,source_id,derivation
IN-S20-AC-1976-1,1977,AcGenJun1977,10,ac-candidates-total,5.0,,src-395f973d4b88,count
IN-S20-AC-1976-1,1980,AcGenMay1980,5,ac-candidates-total,5.0,,src-36cc682d1b2a,count
IN-S20-AC-1976-1,1985,AcGenMay1985,5,ac-candidates-total,10.0,,src-2fc8ad08c280,count
IN-S20-AC-1976-1,1990,AcGenFeb1990,2,ac-candidates-total,8.0,,src-4b69e709f7aa,count
IN-S20-AC-1976-1,1993,AcGenNov1993,11,ac-candidates-total,9.0,,src-ff0e2853d3c7,count
IN-S20-AC-1976-1,1998,AcGenNov1998,11,ac-candidates-total,9.0,,src-ee56712946b8,count
IN-S20-AC-1976-1,2003,AcGenDec2003,12,ac-candidates-total,7.0,,src-a403cedd49aa,count
IN-S20-AC-1976-10,1977,AcGenJun1977,10,ac-candidates-total,8.0,,src-395f973d4b88,count
IN-S20-AC-1976-10,1980,AcGenMay1980,5,ac-candidates-total,8.0,,src-36cc682d1b2a,count
IN-S20-AC-1976-10,1985,AcGenMay1985,5,ac-candidates-total,7.0,,src-2fc8ad08c280,count
IN-S20-AC-1976-10,1990,AcGenFeb1990,2,ac-candidates-total,36.0,,src-4b69e709f7aa,count
IN-S20-AC-1976-10,1993,AcGenNov1993,11,ac-candidates-total,18.0,,src-ff0e2853d3c7,count
IN-S20-AC-1976-10,1998,AcGenNov1998,11,ac-candidates-total,12.0,,src-ee56712946b8,count
IN-S20-AC-1976-10,2003,AcGenDec2003,12,ac-candidates-total,11.0,,src-a403cedd49aa,count
IN-S20-AC-1976-100,1977,AcGenJun1977,10,ac-candidates-total,4.0,,src-395f973d4b88,count
IN-S20-AC-1976-100,1980,AcGenMay1980,5,ac-candidates-total,6.0,,src-36cc682d1b2a,count
IN-S20-AC-1976-100,1985,AcGenMay1985,5,ac-candidates-total,6.0,,src-2fc8ad08c280,count
IN-S20-AC-1976-100,1990,AcGenFeb1990,2,ac-candidates-total,13.0,,src-4b69e709f7aa,count
IN-S20-AC-1976-100,1993,AcGenNov1993,11,ac-candidates-total,12.0,,src-ff0e2853d3c7,count
IN-S20-AC-1976-100,1998,AcGenNov1998,11,ac-candidates-total,11.0,,src-ee56712946b8,count
IN-S20-AC-1976-100,2003,AcGenDec2003,12,ac-candidates-total,8.0,,src-a403cedd49aa,count
IN-S20-AC-1976-101,1977,AcGenJun1977,10,ac-candidates-total,4.0,,src-395f973d4b88,count
IN-S20-AC-1976-101,1980,AcGenMay1980,5,ac-candidates-total,6.0,,src-36cc682d1b2a,count
IN-S20-AC-1976-101,1985,AcGenMay1985,5,ac-candidates-total,8.0,,src-2fc8ad08c280,count
