entity_id,year,period_label,period_seq,indicator_id,value_numeric,value_text,source_id,derivation
IN-S22-AC-1976-1,1971,AcGenMar1971,3,ac-candidates-total,3.0,,src-f4d9506c4aec,count
IN-S22-AC-1976-1,1977,AcGenOct1977,10,ac-candidates-total,8.0,,src-be9e304342b6,count
IN-S22-AC-1976-1,1980,AcGenJun1980,6,ac-candidates-total,5.0,,src-6215471dcc6d,count
IN-S22-AC-1976-1,1984,AcGenDec1984,12,ac-candidates-total,7.0,,src-6591ed259187,count
IN-S22-AC-1976-1,1989,AcGenJan1989,1,ac-candidates-total,27.0,,src-98ee4fb27493,count
IN-S22-AC-1976-1,1991,AcGenFeb1991,2,ac-candidates-total,9.0,,src-80f8486f3490,count
IN-S22-AC-1976-1,1996,AcGenFeb1996,2,ac-candidates-total,18.0,,src-401ec179ced9,count
IN-S22-AC-1976-1,2001,AcGenMay2001,5,ac-candidates-total,8.0,,src-edde438a4885,count
IN-S22-AC-1976-1,2006,AcGenMay2006,5,ac-candidates-total,12.0,,src-7b4f21307492,count
IN-S22-AC-1976-10,1971,AcGenMar1971,3,ac-candidates-total,2.0,,src-f4d9506c4aec,count
IN-S22-AC-1976-10,1977,AcGenOct1977,10,ac-candidates-total,5.0,,src-be9e304342b6,count
IN-S22-AC-1976-10,1980,AcGenJun1980,6,ac-candidates-total,2.0,,src-6215471dcc6d,count
IN-S22-AC-1976-10,1984,AcGenDec1984,12,ac-candidates-total,8.0,,src-6591ed259187,count
IN-S22-AC-1976-10,1989,AcGenJan1989,1,ac-candidates-total,18.0,,src-98ee4fb27493,count
IN-S22-AC-1976-10,1991,AcGenFeb1991,2,ac-candidates-total,24.0,,src-80f8486f3490,count
IN-S22-AC-1976-10,1996,AcGenFeb1996,2,ac-candidates-total,24.0,,src-401ec179ced9,count
IN-S22-AC-1976-10,2001,AcGenMay2001,5,ac-candidates-total,11.0,,src-edde438a4885,count
IN-S22-AC-1976-10,2006,AcGenMay2006,5,ac-candidates-total,26.0,,src-7b4f21307492,count
IN-S22-AC-1976-100,1971,AcGenMar1971,3,ac-candidates-total,2.0,,src-f4d9506c4aec,count
IN-S22-AC-1976-100,1977,AcGenOct1977,10,ac-candidates-total,4.0,,src-be9e304342b6,count
IN-S22-AC-1976-100,1980,AcGenJun1980,6,ac-candidates-total,8.0,,src-6215471dcc6d,count
IN-S22-AC-1976-100,1984,AcGenDec1984,12,ac-candidates-total,4.0,,src-6591ed259187,count
IN-S22-AC-1976-100,1989,AcGenJan1989,1,ac-candidates-total,8.0,,src-98ee4fb27493,count
IN-S22-AC-1976-100,1991,AcGenFeb1991,2,ac-candidates-total,5.0,,src-80f8486f3490,count
IN-S22-AC-1976-100,1996,AcGenFeb1996,2,ac-candidates-total,17.0,,src-401ec179ced9,count
IN-S22-AC-1976-100,2001,AcGenMay2001,5,ac-candidates-total,7.0,,src-edde438a4885,count
IN-S22-AC-1976-100,2006,AcGenMay2006,5,ac-candidates-total,13.0,,src-7b4f21307492,count
IN-S22-AC-1976-101,1971,AcGenMar1971,3,ac-candidates-total,3.0,,src-f4d9506c4aec,count
IN-S22-AC-1976-101,1977,AcGenOct1977,10,ac-candidates-total,8.0,,src-be9e304342b6,count
IN-S22-AC-1976-101,1980,AcGenJun1980,6,ac-candidates-total,6.0,,src-6215471dcc6d,count
IN-S22-AC-1976-101,1984,AcGenDec1984,12,ac-candidates-total,4.0,,src-6591ed259187,count
IN-S22-AC-1976-101,1989,AcGenJan1989,1,ac-candidates-total,17.0,,src-98ee4fb27493,count
IN-S22-AC-1976-101,1991,AcGenFeb1991,2,ac-candidates-total,13.0,,src-80f8486f3490,count
IN-S22-AC-1976-101,1996,AcGenFeb1996,2,ac-candidates-total,16.0,,src-401ec179ced9,count
IN-S22-AC-1976-101,2001,AcGenMay2001,5,ac-candidates-total,9.0,,src-edde438a4885,count
IN-S22-AC-1976-101,2006,AcGenMay2006,5,ac-candidates-total,8.0,,src-7b4f21307492,count
IN-S22-AC-1976-102,1971,AcGenMar1971,3,ac-candidates-total,3.0,,src-f4d9506c4aec,count
IN-S22-AC-1976-102,1977,AcGenOct1977,10,ac-candidates-total,6.0,,src-be9e304342b6,count
IN-S22-AC-1976-102,1980,AcGenJun1980,6,ac-candidates-total,3.0,,src-6215471dcc6d,count
IN-S22-AC-1976-102,1984,AcGenDec1984,12,ac-candidates-total,6.0,,src-6591ed259187,count
IN-S22-AC-1976-102,1989,AcGenJan1989,1,ac-candidates-total,6.0,,src-98ee4fb27493,count
IN-S22-AC-1976-102,1991,AcGenFeb1991,2,ac-candidates-total,8.0,,src-80f8486f3490,count
IN-S22-AC-1976-102,1996,AcGenFeb1996,2,ac-candidates-total,9.0,,src-401ec179ced9,count
IN-S22-AC-1976-102,2001,AcGenMay2001,5,ac-candidates-total,6.0,,src-edde438a4885,count
IN-S22-AC-1976-102,2006,AcGenMay2006,5,ac-candidates-total,9.0,,src-7b4f21307492,count
IN-S22-AC-1976-103,1971,AcGenMar1971,3,ac-candidates-total,4.0,,src-f4d9506c4aec,count
IN-S22-AC-1976-103,1977,AcGenOct1977,10,ac-candidates-total,6.0,,src-be9e304342b6,count
IN-S22-AC-1976-103,1980,AcGenJun1980,6,ac-candidates-total,2.0,,src-6215471dcc6d,count
IN-S22-AC-1976-103,1984,AcGenDec1984,12,ac-candidates-total,12.0,,src-6591ed259187,count
IN-S22-AC-1976-103,1989,AcGenJan1989,1,ac-candidates-total,16.0,,src-98ee4fb27493,count
IN-S22-AC-1976-103,1991,AcGenFeb1991,2,ac-candidates-total,12.0,,src-80f8486f3490,count
IN-S22-AC-1976-103,1996,AcGenFeb1996,2,ac-candidates-total,20.0,,src-401ec179ced9,count
