entity_id,time,value,source_id
IN-median,2015,9.68,src-3efef1095d49
IN-median,2016,0.61,src-3efef1095d49
IN-median,2017,0.33,src-3efef1095d49
IN-median,2018,0.65,src-3efef1095d49
IN-median,2019,0.35,src-3efef1095d49
IN-median,2020,0.34,src-3efef1095d49
IN-median,2021,0.33,src-3efef1095d49
IN-median,2022,0.58,src-3efef1095d49
IN-median,2023,0.27,src-3efef1095d49
IN-median,2024,-0.01,src-3efef1095d49
IN-pop-weighted,2015,2.72,src-3efef1095d49
IN-pop-weighted,2016,0.73,src-3efef1095d49
IN-pop-weighted,2017,0.72,src-3efef1095d49
IN-pop-weighted,2018,0.79,src-3efef1095d49
IN-pop-weighted,2019,0.59,src-3efef1095d49
IN-pop-weighted,2020,0.81,src-3efef1095d49
IN-pop-weighted,2021,0.4,src-3efef1095d49
IN-pop-weighted,2022,0.87,src-3efef1095d49
IN-pop-weighted,2023,0.3,src-3efef1095d49
IN-pop-weighted,2024,0.19,src-3efef1095d49
