entity_id,time,value,source_id
IN,2016,0.69,src-df1b89624949
IN,2017,0.58,src-df1b89624949
IN,2018,0.7,src-df1b89624949
IN,2019,0.55,src-df1b89624949
IN,2020,0.56,src-df1b89624949
IN,2021,0.24,src-df1b89624949
IN,2022,0.48,src-df1b89624949
IN,2023,0.19,src-df1b89624949
IN,2024,-0.04,src-df1b89624949
andaman-and-nicobar,2017,24.56,src-df1b89624949
andaman-and-nicobar,2018,25.37,src-df1b89624949
andaman-and-nicobar,2019,25.29,src-df1b89624949
andaman-and-nicobar,2020,30.63,src-df1b89624949
andaman-and-nicobar,2021,3.23,src-df1b89624949
andaman-and-nicobar,2022,1.61,src-df1b89624949
andaman-and-nicobar,2023,3.42,src-df1b89624949
andaman-and-nicobar,2024,2.9,src-df1b89624949
andhra-pradesh,2016,0.48,src-df1b89624949
andhra-pradesh,2018,2.19,src-df1b89624949
andhra-pradesh,2019,0.03,src-df1b89624949
andhra-pradesh,2021,0.35,src-df1b89624949
andhra-pradesh,2022,-0.24,src-df1b89624949
andhra-pradesh,2023,-0.02,src-df1b89624949
andhra-pradesh,2024,-0.02,src-df1b89624949
arunachal-pradesh,2016,7.05,src-df1b89624949
arunachal-pradesh,2017,8.72,src-df1b89624949
arunachal-pradesh,2018,9.6,src-df1b89624949
assam,2016,0.04,src-df1b89624949
assam,2017,0.53,src-df1b89624949
assam,2018,-0.03,src-df1b89624949
assam,2019,-1.09,src-df1b89624949
assam,2020,0.33,src-df1b89624949
assam,2021,-0.35,src-df1b89624949
assam,2022,0.78,src-df1b89624949
assam,2023,-0.26,src-df1b89624949
assam,2024,-0.32,src-df1b89624949
bihar,2016,0.79,src-df1b89624949
bihar,2017,1.46,src-df1b89624949
bihar,2018,1.54,src-df1b89624949
bihar,2019,1.29,src-df1b89624949
bihar,2020,1.07,src-df1b89624949
bihar,2021,0.68,src-df1b89624949
bihar,2023,-0.37,src-df1b89624949
bihar,2024,-0.49,src-df1b89624949
chandigarh,2015,1.85,src-df1b89624949
chandigarh,2016,-1.23,src-df1b89624949
chandigarh,2017,-1.86,src-df1b89624949
chandigarh,2018,-0.75,src-df1b89624949
chandigarh,2019,-0.31,src-df1b89624949
chandigarh,2020,-0.49,src-df1b89624949
chandigarh,2021,1.13,src-df1b89624949
chandigarh,2022,0.58,src-df1b89624949
chandigarh,2023,0.97,src-df1b89624949
chandigarh,2024,1.19,src-df1b89624949
chhattisgarh,2016,0.19,src-df1b89624949
chhattisgarh,2017,0.11,src-df1b89624949
chhattisgarh,2018,0.01,src-df1b89624949
chhattisgarh,2019,0.35,src-df1b89624949
chhattisgarh,2020,0.14,src-df1b89624949
chhattisgarh,2021,0.39,src-df1b89624949
chhattisgarh,2022,0.35,src-df1b89624949
chhattisgarh,2023,-0.01,src-df1b89624949
chhattisgarh,2024,0.11,src-df1b89624949
dadra-and-nagar-haveli-and-daman-and-diu,2019,0.13,src-df1b89624949
dadra-and-nagar-haveli-and-daman-and-diu,2020,-0.38,src-df1b89624949
dadra-and-nagar-haveli-and-daman-and-diu,2021,-0.18,src-df1b89624949
dadra-and-nagar-haveli-and-daman-and-diu,2022,-0.15,src-df1b89624949
dadra-and-nagar-haveli-and-daman-and-diu,2023,0.35,src-df1b89624949
dadra-and-nagar-haveli-and-daman-and-diu,2024,0.03,src-df1b89624949
delhi,2016,-0.08,src-df1b89624949
delhi,2017,-0.08,src-df1b89624949
delhi,2018,-0.24,src-df1b89624949
delhi,2019,0.22,src-df1b89624949
delhi,2020,-0.71,src-df1b89624949
delhi,2021,-0.24,src-df1b89624949
delhi,2022,0,src-df1b89624949
delhi,2023,-0.62,src-df1b89624949
delhi,2024,-1.24,src-df1b89624949
goa,2016,0.94,src-df1b89624949
goa,2017,-0.07,src-df1b89624949
goa,2018,0.33,src-df1b89624949
goa,2019,0.73,src-df1b89624949
goa,2020,-0.21,src-df1b89624949
goa,2021,0.6,src-df1b89624949
goa,2022,0.51,src-df1b89624949
goa,2023,1.17,src-df1b89624949
goa,2024,0.23,src-df1b89624949
gujarat,2016,-0.06,src-df1b89624949
gujarat,2017,-0.13,src-df1b89624949
gujarat,2018,-0.06,src-df1b89624949
gujarat,2019,-0.06,src-df1b89624949
gujarat,2020,-0.14,src-df1b89624949
gujarat,2021,-0.11,src-df1b89624949
gujarat,2022,-0.08,src-df1b89624949
gujarat,2023,-0.58,src-df1b89624949
gujarat,2024,-0.45,src-df1b89624949
haryana,2016,0.05,src-df1b89624949
haryana,2017,-0.1,src-df1b89624949
haryana,2018,-0.06,src-df1b89624949
haryana,2019,-0.07,src-df1b89624949
haryana,2020,-0.14,src-df1b89624949
haryana,2021,-0.17,src-df1b89624949
haryana,2022,-0.18,src-df1b89624949
haryana,2023,-0.05,src-df1b89624949
haryana,2024,0.01,src-df1b89624949
himachal-pradesh,2016,0.1,src-df1b89624949
himachal-pradesh,2017,-0.01,src-df1b89624949
himachal-pradesh,2019,-0.01,src-df1b89624949
himachal-pradesh,2020,0.15,src-df1b89624949
himachal-pradesh,2021,0.07,src-df1b89624949
himachal-pradesh,2022,0.95,src-df1b89624949
himachal-pradesh,2023,0.41,src-df1b89624949
himachal-pradesh,2024,-0.24,src-df1b89624949
jammu-and-kashmir,2016,5.62,src-df1b89624949
jammu-and-kashmir,2017,4.03,src-df1b89624949
jammu-and-kashmir,2018,3.09,src-df1b89624949
jammu-and-kashmir,2019,4.08,src-df1b89624949
jammu-and-kashmir,2020,4.2,src-df1b89624949
jammu-and-kashmir,2021,6.49,src-df1b89624949
jammu-and-kashmir,2022,4.57,src-df1b89624949
jammu-and-kashmir,2023,2.75,src-df1b89624949
jammu-and-kashmir,2024,1.26,src-df1b89624949
jharkhand,2016,2,src-df1b89624949
jharkhand,2017,0.22,src-df1b89624949
jharkhand,2018,0.81,src-df1b89624949
jharkhand,2019,1.2,src-df1b89624949
jharkhand,2020,2.74,src-df1b89624949
jharkhand,2021,2.15,src-df1b89624949
jharkhand,2022,3.79,src-df1b89624949
jharkhand,2023,2.39,src-df1b89624949
jharkhand,2024,1.59,src-df1b89624949
karnataka,2016,0.49,src-df1b89624949
karnataka,2017,0.16,src-df1b89624949
karnataka,2018,0.34,src-df1b89624949
karnataka,2019,0.31,src-df1b89624949
karnataka,2020,0.82,src-df1b89624949
karnataka,2021,0.39,src-df1b89624949
karnataka,2022,0.49,src-df1b89624949
karnataka,2023,1.09,src-df1b89624949
karnataka,2024,1.18,src-df1b89624949
kerala,2016,0.75,src-df1b89624949
kerala,2017,0.38,src-df1b89624949
kerala,2018,0.06,src-df1b89624949
kerala,2019,0.12,src-df1b89624949
kerala,2020,0.21,src-df1b89624949
kerala,2021,-0.03,src-df1b89624949
kerala,2022,0.36,src-df1b89624949
kerala,2023,0.47,src-df1b89624949
kerala,2024,-0.19,src-df1b89624949
ladakh,2021,0.71,src-df1b89624949
ladakh,2022,3.35,src-df1b89624949
ladakh,2023,1.46,src-df1b89624949
ladakh,2024,-1.1,src-df1b89624949
lakshadweep,2015,17.5,src-df1b89624949
lakshadweep,2016,19.17,src-df1b89624949
lakshadweep,2017,20.16,src-df1b89624949
lakshadweep,2018,24.56,src-df1b89624949
lakshadweep,2019,23.8,src-df1b89624949
lakshadweep,2020,22,src-df1b89624949
lakshadweep,2021,27.6,src-df1b89624949
lakshadweep,2022,42.12,src-df1b89624949
lakshadweep,2023,37.88,src-df1b89624949
lakshadweep,2024,41.47,src-df1b89624949
madhya-pradesh,2016,1.17,src-df1b89624949
madhya-pradesh,2017,1.23,src-df1b89624949
madhya-pradesh,2018,1.49,src-df1b89624949
madhya-pradesh,2019,0.31,src-df1b89624949
madhya-pradesh,2020,0.71,src-df1b89624949
madhya-pradesh,2021,0.53,src-df1b89624949
madhya-pradesh,2022,0.38,src-df1b89624949
madhya-pradesh,2023,0.69,src-df1b89624949
madhya-pradesh,2024,0.34,src-df1b89624949
maharashtra,2016,0.58,src-df1b89624949
maharashtra,2017,0.5,src-df1b89624949
maharashtra,2018,-0.27,src-df1b89624949
maharashtra,2019,0.25,src-df1b89624949
maharashtra,2020,0.65,src-df1b89624949
maharashtra,2021,0.06,src-df1b89624949
maharashtra,2022,1.41,src-df1b89624949
maharashtra,2023,0.26,src-df1b89624949
maharashtra,2024,0.48,src-df1b89624949
manipur,2016,0.08,src-df1b89624949
manipur,2017,-0.03,src-df1b89624949
manipur,2018,0.09,src-df1b89624949
manipur,2019,0.08,src-df1b89624949
manipur,2020,0.09,src-df1b89624949
manipur,2021,0.32,src-df1b89624949
manipur,2022,1.46,src-df1b89624949
manipur,2023,0.13,src-df1b89624949
manipur,2024,-0.06,src-df1b89624949
meghalaya,2016,2.33,src-df1b89624949
meghalaya,2017,1.52,src-df1b89624949
meghalaya,2018,1.17,src-df1b89624949
meghalaya,2019,2.44,src-df1b89624949
meghalaya,2020,0.53,src-df1b89624949
meghalaya,2021,0.85,src-df1b89624949
meghalaya,2022,0.88,src-df1b89624949
meghalaya,2023,1.54,src-df1b89624949
meghalaya,2024,0.15,src-df1b89624949
mizoram,2016,2.73,src-df1b89624949
mizoram,2017,-1.56,src-df1b89624949
mizoram,2018,4.98,src-df1b89624949
mizoram,2019,3.95,src-df1b89624949
mizoram,2020,2.22,src-df1b89624949
mizoram,2021,1.06,src-df1b89624949
mizoram,2022,2.21,src-df1b89624949
mizoram,2023,1.77,src-df1b89624949
mizoram,2024,-0.46,src-df1b89624949
nagaland,2016,1.08,src-df1b89624949
nagaland,2017,1.08,src-df1b89624949
nagaland,2018,3.15,src-df1b89624949
nagaland,2019,13.5,src-df1b89624949
nagaland,2020,-0.15,src-df1b89624949
nagaland,2021,-0.48,src-df1b89624949
nagaland,2022,-0.57,src-df1b89624949
nagaland,2023,-0.82,src-df1b89624949
nagaland,2024,-1.04,src-df1b89624949
odisha,2016,0.55,src-df1b89624949
odisha,2017,0.45,src-df1b89624949
odisha,2018,0.79,src-df1b89624949
odisha,2019,0.43,src-df1b89624949
odisha,2020,0.46,src-df1b89624949
odisha,2021,-0.47,src-df1b89624949
odisha,2022,-0.12,src-df1b89624949
odisha,2023,-0.14,src-df1b89624949
odisha,2024,-0.2,src-df1b89624949
puducherry,2016,0.03,src-df1b89624949
puducherry,2017,-0.03,src-df1b89624949
puducherry,2018,0.13,src-df1b89624949
