entity_id,time,value,source_id
andaman-and-nicobar,2025,18,src-98a5e44dea8a
andhra-pradesh,2025,2279,src-98a5e44dea8a
arunachal-pradesh,2025,18,src-98a5e44dea8a
assam,2025,322,src-98a5e44dea8a
bihar,2025,1311,src-98a5e44dea8a
chhattisgarh,2025,354,src-98a5e44dea8a
dadra-and-nagar-haveli-and-daman-and-diu,2025,2,src-98a5e44dea8a
goa,2025,33,src-98a5e44dea8a
gujarat,2025,3193,src-98a5e44dea8a
haryana,2025,1715,src-98a5e44dea8a
himachal-pradesh,2025,70,src-98a5e44dea8a
jammu-and-kashmir,2025,83,src-98a5e44dea8a
jharkhand,2025,146,src-98a5e44dea8a
karnataka,2025,3556,src-98a5e44dea8a
kerala,2025,778,src-98a5e44dea8a
lakshadweep,2025,1,src-98a5e44dea8a
madhya-pradesh,2025,2516,src-98a5e44dea8a
maharashtra,2025,6547,src-98a5e44dea8a
manipur,2025,62,src-98a5e44dea8a
meghalaya,2025,69,src-98a5e44dea8a
mizoram,2025,3,src-98a5e44dea8a
nagaland,2025,54,src-98a5e44dea8a
odisha,2025,299,src-98a5e44dea8a
puducherry,2025,5,src-98a5e44dea8a
punjab,2025,3436,src-98a5e44dea8a
rajasthan,2025,1300,src-98a5e44dea8a
sikkim,2025,5,src-98a5e44dea8a
tamil-nadu,2025,2199,src-98a5e44dea8a
telangana,2025,1795,src-98a5e44dea8a
tripura,2025,34,src-98a5e44dea8a
uttar-pradesh,2025,7726,src-98a5e44dea8a
uttarakhand,2025,308,src-98a5e44dea8a
west-bengal,2025,1742,src-98a5e44dea8a
