entity_id,time,value,source_id
andhra-pradesh,2026,0,src-85c67674901f
assam,2026,0,src-85c67674901f
bihar,2026,0,src-85c67674901f
chhattisgarh,2026,0,src-85c67674901f
gujarat,2026,12.3,src-85c67674901f
haryana,2026,24.77,src-85c67674901f
jharkhand,2026,0,src-85c67674901f
karnataka,2026,0,src-85c67674901f
madhya-pradesh,2026,8.6,src-85c67674901f
maharashtra,2026,6.51,src-85c67674901f
odisha,2026,0,src-85c67674901f
punjab,2026,0,src-85c67674901f
rajasthan,2026,0,src-85c67674901f
tamil-nadu,2026,7.98,src-85c67674901f
telangana,2026,0,src-85c67674901f
uttar-pradesh,2026,6.13,src-85c67674901f
west-bengal,2026,0,src-85c67674901f
