entity_id,time,value,source_id
andaman-and-nicobar,2017,80.86,src-650b1c25d1f7
andaman-and-nicobar,2018,76.75,src-650b1c25d1f7
andaman-and-nicobar,2019,77.4,src-650b1c25d1f7
andaman-and-nicobar,2020,76.5,src-650b1c25d1f7
andaman-and-nicobar,2021,80.74,src-650b1c25d1f7
andaman-and-nicobar,2022,81.86,src-650b1c25d1f7
andaman-and-nicobar,2023,79.24,src-650b1c25d1f7
andaman-and-nicobar,2024,76.7,src-650b1c25d1f7
andhra-pradesh,2009,85.6402621476843,src-650b1c25d1f7
andhra-pradesh,2010,86.6023251933025,src-650b1c25d1f7
andhra-pradesh,2011,87.2866340586943,src-650b1c25d1f7
andhra-pradesh,2012,88.2927593772855,src-650b1c25d1f7
andhra-pradesh,2013,89.4444309898041,src-650b1c25d1f7
andhra-pradesh,2014,90.9894190546496,src-650b1c25d1f7
andhra-pradesh,2015,92.5,src-650b1c25d1f7
andhra-pradesh,2016,92.65,src-650b1c25d1f7
andhra-pradesh,2017,92.86,src-650b1c25d1f7
andhra-pradesh,2018,92.3,src-650b1c25d1f7
andhra-pradesh,2019,92.38,src-650b1c25d1f7
andhra-pradesh,2020,92.37,src-650b1c25d1f7
andhra-pradesh,2021,92.43,src-650b1c25d1f7
andhra-pradesh,2022,92.77,src-650b1c25d1f7
andhra-pradesh,2023,92.67,src-650b1c25d1f7
andhra-pradesh,2024,92.81,src-650b1c25d1f7
arunachal-pradesh,2009,42.1750663129974,src-650b1c25d1f7
arunachal-pradesh,2010,41.4096916299559,src-650b1c25d1f7
arunachal-pradesh,2011,44.6265938069217,src-650b1c25d1f7
arunachal-pradesh,2012,42.8057553956835,src-650b1c25d1f7
arunachal-pradesh,2013,40.6631762652705,src-650b1c25d1f7
arunachal-pradesh,2014,46.6666666666667,src-650b1c25d1f7
arunachal-pradesh,2015,47.18,src-650b1c25d1f7
arunachal-pradesh,2016,46.36,src-650b1c25d1f7
arunachal-pradesh,2017,48.94,src-650b1c25d1f7
arunachal-pradesh,2018,47.47,src-650b1c25d1f7
arunachal-pradesh,2019,59.91,src-650b1c25d1f7
arunachal-pradesh,2020,48.18,src-650b1c25d1f7
arunachal-pradesh,2021,53.3,src-650b1c25d1f7
arunachal-pradesh,2022,55.97,src-650b1c25d1f7
arunachal-pradesh,2023,60.07,src-650b1c25d1f7
arunachal-pradesh,2024,60.24,src-650b1c25d1f7
assam,2009,73.9298724954463,src-650b1c25d1f7
assam,2010,74.5466048080979,src-650b1c25d1f7
assam,2011,75.6432246998285,src-650b1c25d1f7
assam,2012,74.1361071932299,src-650b1c25d1f7
assam,2013,75.8801975465987,src-650b1c25d1f7
assam,2014,78.0671790492457,src-650b1c25d1f7
assam,2015,81.88,src-650b1c25d1f7
assam,2016,82.11,src-650b1c25d1f7
assam,2017,82.36,src-650b1c25d1f7
assam,2018,80.3,src-650b1c25d1f7
assam,2019,80.94,src-650b1c25d1f7
assam,2020,81.45,src-650b1c25d1f7
assam,2021,83.05,src-650b1c25d1f7
assam,2022,83.78,src-650b1c25d1f7
assam,2023,86.31,src-650b1c25d1f7
assam,2024,84.56,src-650b1c25d1f7
bihar,2009,59.3901519232841,src-650b1c25d1f7
bihar,2010,55,src-650b1c25d1f7
bihar,2011,51.2034808368821,src-650b1c25d1f7
bihar,2012,53.1929642145395,src-650b1c25d1f7
bihar,2013,55.7535719772623,src-650b1c25d1f7
bihar,2014,58.7422641745327,src-650b1c25d1f7
bihar,2015,60.65,src-650b1c25d1f7
bihar,2016,66.86,src-650b1c25d1f7
bihar,2017,69.35,src-650b1c25d1f7
bihar,2018,69.84,src-650b1c25d1f7
bihar,2019,74.81,src-650b1c25d1f7
bihar,2020,72.36,src-650b1c25d1f7
bihar,2021,78.62,src-650b1c25d1f7
bihar,2022,79.88,src-650b1c25d1f7
bihar,2023,84.04,src-650b1c25d1f7
bihar,2024,86.45,src-650b1c25d1f7
chandigarh,2017,96,src-650b1c25d1f7
chandigarh,2018,86.5,src-650b1c25d1f7
