entity_id,time,value,source_id
andaman-and-nicobar,2009,19.76,src-6c5b40218b67
andaman-and-nicobar,2010,20.68,src-6c5b40218b67
andaman-and-nicobar,2011,18.16,src-6c5b40218b67
andaman-and-nicobar,2012,18.14,src-6c5b40218b67
andaman-and-nicobar,2013,19.79,src-6c5b40218b67
andaman-and-nicobar,2014,20.5,src-6c5b40218b67
andaman-and-nicobar,2015,14.47,src-6c5b40218b67
andaman-and-nicobar,2016,10.73,src-6c5b40218b67
andaman-and-nicobar,2017,12.39,src-6c5b40218b67
andaman-and-nicobar,2018,10.84,src-6c5b40218b67
andaman-and-nicobar,2019,7.43,src-6c5b40218b67
andaman-and-nicobar,2020,7.52,src-6c5b40218b67
andaman-and-nicobar,2021,7.28,src-6c5b40218b67
andaman-and-nicobar,2022,25.18,src-6c5b40218b67
andaman-and-nicobar,2023,17.55,src-6c5b40218b67
andaman-and-nicobar,2024,23.1707317073171,src-6c5b40218b67
andhra-pradesh,2009,18.37,src-6c5b40218b67
andhra-pradesh,2010,16.59,src-6c5b40218b67
andhra-pradesh,2011,17.46,src-6c5b40218b67
andhra-pradesh,2012,19.3,src-6c5b40218b67
andhra-pradesh,2013,20.06,src-6c5b40218b67
andhra-pradesh,2014,17.94,src-6c5b40218b67
andhra-pradesh,2015,16.16,src-6c5b40218b67
andhra-pradesh,2016,16.19,src-6c5b40218b67
andhra-pradesh,2017,16.07,src-6c5b40218b67
andhra-pradesh,2018,17.62,src-6c5b40218b67
andhra-pradesh,2019,16.99,src-6c5b40218b67
andhra-pradesh,2020,15.97,src-6c5b40218b67
andhra-pradesh,2021,15.35,src-6c5b40218b67
andhra-pradesh,2022,14.2,src-6c5b40218b67
andhra-pradesh,2023,15.59,src-6c5b40218b67
andhra-pradesh,2024,10.3286747484107,src-6c5b40218b67
arunachal-pradesh,2009,48.04,src-6c5b40218b67
arunachal-pradesh,2010,47.12,src-6c5b40218b67
arunachal-pradesh,2011,46.25,src-6c5b40218b67
arunachal-pradesh,2012,46,src-6c5b40218b67
arunachal-pradesh,2013,46.3,src-6c5b40218b67
arunachal-pradesh,2014,46.24,src-6c5b40218b67
arunachal-pradesh,2015,50.6,src-6c5b40218b67
arunachal-pradesh,2016,49.37,src-6c5b40218b67
arunachal-pradesh,2017,48.32,src-6c5b40218b67
arunachal-pradesh,2018,50.83,src-6c5b40218b67
arunachal-pradesh,2019,47.05,src-6c5b40218b67
arunachal-pradesh,2020,46.11,src-6c5b40218b67
arunachal-pradesh,2021,42.93,src-6c5b40218b67
arunachal-pradesh,2022,42.95,src-6c5b40218b67
arunachal-pradesh,2023,34.28,src-6c5b40218b67
arunachal-pradesh,2024,56.2236921226699,src-6c5b40218b67
assam,2009,32.82,src-6c5b40218b67
assam,2010,34.17,src-6c5b40218b67
assam,2011,33.48,src-6c5b40218b67
assam,2012,30.68,src-6c5b40218b67
assam,2013,31.08,src-6c5b40218b67
assam,2014,27.57,src-6c5b40218b67
assam,2015,25.2,src-6c5b40218b67
