entity_id,time,value,source_id
andhra-pradesh,2015,52023.75,src-ddbfadd51428
andhra-pradesh,2016,58334.04,src-ddbfadd51428
andhra-pradesh,2017,57202.51,src-ddbfadd51428
andhra-pradesh,2018,56120.18,src-ddbfadd51428
andhra-pradesh,2019,56916.07,src-ddbfadd51428
andhra-pradesh,2020,46145.71,src-ddbfadd51428
andhra-pradesh,2021,53326.74,src-ddbfadd51428
andhra-pradesh,2022,60931.93,src-ddbfadd51428
andhra-pradesh,2023,71241.24,src-ddbfadd51428
andhra-pradesh,2024,72832.94,src-ddbfadd51428
andhra-pradesh,2025,73517.16,src-ddbfadd51428
assam,2015,117.12,src-ddbfadd51428
assam,2016,1680.27,src-ddbfadd51428
assam,2017,1732.17,src-ddbfadd51428
assam,2018,2824.21,src-ddbfadd51428
assam,2019,3929.96,src-ddbfadd51428
assam,2020,2976.74,src-ddbfadd51428
assam,2021,4201.45,src-ddbfadd51428
assam,2022,5026.24,src-ddbfadd51428
assam,2023,5058.11,src-ddbfadd51428
assam,2024,4787.2,src-ddbfadd51428
assam,2025,4294.86,src-ddbfadd51428
bihar,2015,20827.01,src-ddbfadd51428
bihar,2016,24514.85,src-ddbfadd51428
bihar,2017,28440.03,src-ddbfadd51428
bihar,2018,32170.52,src-ddbfadd51428
bihar,2019,35360.76,src-ddbfadd51428
bihar,2020,33866.14,src-ddbfadd51428
bihar,2021,43940.4,src-ddbfadd51428
bihar,2022,55200.21,src-ddbfadd51428
bihar,2023,58361.8,src-ddbfadd51428
bihar,2024,60757.75,src-ddbfadd51428
bihar,2025,59334.41,src-ddbfadd51428
chhattisgarh,2015,89189.99,src-ddbfadd51428
chhattisgarh,2016,105532.42,src-ddbfadd51428
chhattisgarh,2017,109863.69,src-ddbfadd51428
chhattisgarh,2018,115471.25,src-ddbfadd51428
chhattisgarh,2019,117992.27,src-ddbfadd51428
chhattisgarh,2020,134614.5,src-ddbfadd51428
chhattisgarh,2021,140870.87,src-ddbfadd51428
chhattisgarh,2022,142599.2,src-ddbfadd51428
chhattisgarh,2023,162388.63,src-ddbfadd51428
chhattisgarh,2024,166431.38,src-ddbfadd51428
chhattisgarh,2025,168085.69,src-ddbfadd51428
delhi,2015,2288.04,src-ddbfadd51428
delhi,2016,1704.85,src-ddbfadd51428
delhi,2017,1556.97,src-ddbfadd51428
delhi,2018,1400.33,src-ddbfadd51428
gujarat,2015,87381.26,src-ddbfadd51428
gujarat,2016,85387.81,src-ddbfadd51428
gujarat,2017,81043.95,src-ddbfadd51428
gujarat,2018,81751.88,src-ddbfadd51428
gujarat,2019,84590.62,src-ddbfadd51428
gujarat,2020,77058.79,src-ddbfadd51428
gujarat,2021,49568.42,src-ddbfadd51428
gujarat,2022,53322.93,src-ddbfadd51428
gujarat,2023,76597.43,src-ddbfadd51428
gujarat,2024,85015.59,src-ddbfadd51428
gujarat,2025,60116.16,src-ddbfadd51428
haryana,2015,21146.5,src-ddbfadd51428
haryana,2016,17856.39,src-ddbfadd51428
haryana,2017,25768.59,src-ddbfadd51428
haryana,2018,24838.34,src-ddbfadd51428
haryana,2019,16761.85,src-ddbfadd51428
haryana,2020,13994.58,src-ddbfadd51428
haryana,2021,22847.43,src-ddbfadd51428
haryana,2022,32136.68,src-ddbfadd51428
haryana,2023,28060.15,src-ddbfadd51428
haryana,2024,30228.56,src-ddbfadd51428
haryana,2025,25446.66,src-ddbfadd51428
jharkhand,2015,26148.2,src-ddbfadd51428
jharkhand,2016,25806.45,src-ddbfadd51428
jharkhand,2017,27292.26,src-ddbfadd51428
jharkhand,2018,26800.65,src-ddbfadd51428
jharkhand,2019,26072.08,src-ddbfadd51428
jharkhand,2020,27219.97,src-ddbfadd51428
jharkhand,2021,28338.72,src-ddbfadd51428
jharkhand,2022,30472.78,src-ddbfadd51428
jharkhand,2023,35764.81,src-ddbfadd51428
jharkhand,2024,38812.21,src-ddbfadd51428
jharkhand,2025,40599.36,src-ddbfadd51428
karnataka,2015,32401.17,src-ddbfadd51428
karnataka,2016,30460.83,src-ddbfadd51428
karnataka,2017,29992.78,src-ddbfadd51428
karnataka,2018,30352.74,src-ddbfadd51428
karnataka,2019,23836.42,src-ddbfadd51428
karnataka,2020,19861.24,src-ddbfadd51428
karnataka,2021,30505.26,src-ddbfadd51428
karnataka,2022,35014.3,src-ddbfadd51428
karnataka,2023,44466.58,src-ddbfadd51428
karnataka,2024,44367.93,src-ddbfadd51428
karnataka,2025,42865.92,src-ddbfadd51428
madhya-pradesh,2015,90870.68,src-ddbfadd51428
madhya-pradesh,2016,91083.18,src-ddbfadd51428
madhya-pradesh,2017,108586.66,src-ddbfadd51428
madhya-pradesh,2018,118281.1,src-ddbfadd51428
madhya-pradesh,2019,114818.28,src-ddbfadd51428
madhya-pradesh,2020,123089.78,src-ddbfadd51428
madhya-pradesh,2021,129634.45,src-ddbfadd51428
madhya-pradesh,2022,135838.47,src-ddbfadd51428
madhya-pradesh,2023,148680.03,src-ddbfadd51428
madhya-pradesh,2024,146116.76,src-ddbfadd51428
madhya-pradesh,2025,140598.66,src-ddbfadd51428
maharashtra,2015,96855.01,src-ddbfadd51428
maharashtra,2016,92187.09,src-ddbfadd51428
maharashtra,2017,103664.54,src-ddbfadd51428
maharashtra,2018,112729.36,src-ddbfadd51428
maharashtra,2019,107002.16,src-ddbfadd51428
maharashtra,2020,98173.83,src-ddbfadd51428
maharashtra,2021,116485.92,src-ddbfadd51428
maharashtra,2022,124477.47,src-ddbfadd51428
maharashtra,2023,132924.8,src-ddbfadd51428
maharashtra,2024,131157.23,src-ddbfadd51428
maharashtra,2025,131437.58,src-ddbfadd51428
odisha,2015,51391.83,src-ddbfadd51428
odisha,2016,50092.3,src-ddbfadd51428
odisha,2017,39913.91,src-ddbfadd51428
odisha,2018,39666.31,src-ddbfadd51428
odisha,2019,41207.31,src-ddbfadd51428
odisha,2020,54792.97,src-ddbfadd51428
odisha,2021,59818.91,src-ddbfadd51428
odisha,2022,64531.58,src-ddbfadd51428
odisha,2023,65610.38,src-ddbfadd51428
odisha,2024,68638.78,src-ddbfadd51428
odisha,2025,69367.69,src-ddbfadd51428
punjab,2015,19015.05,src-ddbfadd51428
punjab,2016,22955.84,src-ddbfadd51428
punjab,2017,24728.05,src-ddbfadd51428
punjab,2018,26364.25,src-ddbfadd51428
punjab,2019,20901.67,src-ddbfadd51428
punjab,2020,17994.79,src-ddbfadd51428
punjab,2021,24175.82,src-ddbfadd51428
punjab,2022,31506.16,src-ddbfadd51428
punjab,2023,32462.85,src-ddbfadd51428
punjab,2024,33575.21,src-ddbfadd51428
punjab,2025,32523.98,src-ddbfadd51428
rajasthan,2015,41659.45,src-ddbfadd51428
rajasthan,2016,41107.84,src-ddbfadd51428
rajasthan,2017,40070.94,src-ddbfadd51428
rajasthan,2018,46675.92,src-ddbfadd51428
rajasthan,2019,45851.11,src-ddbfadd51428
rajasthan,2020,45216.58,src-ddbfadd51428
rajasthan,2021,49608.4,src-ddbfadd51428
rajasthan,2022,55968.39,src-ddbfadd51428
rajasthan,2023,60478.08,src-ddbfadd51428
rajasthan,2024,65065.26,src-ddbfadd51428
rajasthan,2025,56610.42,src-ddbfadd51428
tamil-nadu,2015,63712.79,src-ddbfadd51428
tamil-nadu,2016,69749.5,src-ddbfadd51428
tamil-nadu,2017,65004.25,src-ddbfadd51428
tamil-nadu,2018,67959.33,src-ddbfadd51428
tamil-nadu,2019,62876.46,src-ddbfadd51428
tamil-nadu,2020,48935.32,src-ddbfadd51428
tamil-nadu,2021,59450.54,src-ddbfadd51428
tamil-nadu,2022,65221.28,src-ddbfadd51428
tamil-nadu,2023,73415.2,src-ddbfadd51428
tamil-nadu,2024,72605.59,src-ddbfadd51428
tamil-nadu,2025,65292.48,src-ddbfadd51428
telangana,2015,35352.73,src-ddbfadd51428
telangana,2016,41279.34,src-ddbfadd51428
telangana,2017,47312.22,src-ddbfadd51428
telangana,2018,48218.43,src-ddbfadd51428
telangana,2019,47347.78,src-ddbfadd51428
telangana,2020,44760.76,src-ddbfadd51428
telangana,2021,51550.06,src-ddbfadd51428
telangana,2022,50738.2,src-ddbfadd51428
telangana,2023,56913.73,src-ddbfadd51428
telangana,2024,56969.2,src-ddbfadd51428
telangana,2025,58716.65,src-ddbfadd51428
uttar-pradesh,2015,102450.54,src-ddbfadd51428
uttar-pradesh,2016,112815.03,src-ddbfadd51428
uttar-pradesh,2017,121414.43,src-ddbfadd51428
uttar-pradesh,2018,116227.68,src-ddbfadd51428
uttar-pradesh,2019,117018.91,src-ddbfadd51428
uttar-pradesh,2020,119592.96,src-ddbfadd51428
uttar-pradesh,2021,130698.93,src-ddbfadd51428
uttar-pradesh,2022,151154.99,src-ddbfadd51428
uttar-pradesh,2023,152505.2,src-ddbfadd51428
uttar-pradesh,2024,161337.3,src-ddbfadd51428
uttar-pradesh,2025,164118.04,src-ddbfadd51428
west-bengal,2015,62508.94,src-ddbfadd51428
west-bengal,2016,71677.22,src-ddbfadd51428
west-bengal,2017,72426.77,src-ddbfadd51428
west-bengal,2018,74032.25,src-ddbfadd51428
west-bengal,2019,71395.39,src-ddbfadd51428
west-bengal,2020,72735.07,src-ddbfadd51428
west-bengal,2021,83216.77,src-ddbfadd51428
west-bengal,2022,87612.45,src-ddbfadd51428
west-bengal,2023,89513.96,src-ddbfadd51428
west-bengal,2024,93168.17,src-ddbfadd51428
west-bengal,2025,87586.47,src-ddbfadd51428
