entity_id,time,value,source_id
andhra-pradesh,2015,671.33,src-ddbfadd51428
andhra-pradesh,2016,992.52,src-ddbfadd51428
andhra-pradesh,2017,1159.03,src-ddbfadd51428
andhra-pradesh,2018,2272.94,src-ddbfadd51428
andhra-pradesh,2019,3013.43,src-ddbfadd51428
andhra-pradesh,2020,3280.12,src-ddbfadd51428
andhra-pradesh,2021,3113.83,src-ddbfadd51428
andhra-pradesh,2022,3747.58,src-ddbfadd51428
andhra-pradesh,2023,1373.19,src-ddbfadd51428
andhra-pradesh,2024,3303.08,src-ddbfadd51428
andhra-pradesh,2025,6190.59,src-ddbfadd51428
arunachal-pradesh,2015,1280.25,src-ddbfadd51428
arunachal-pradesh,2016,1249.01,src-ddbfadd51428
arunachal-pradesh,2017,1416.74,src-ddbfadd51428
arunachal-pradesh,2018,1399.01,src-ddbfadd51428
arunachal-pradesh,2019,1786.46,src-ddbfadd51428
arunachal-pradesh,2020,3451.34,src-ddbfadd51428
arunachal-pradesh,2021,4161.28,src-ddbfadd51428
arunachal-pradesh,2022,4820.94,src-ddbfadd51428
arunachal-pradesh,2023,4278.18,src-ddbfadd51428
arunachal-pradesh,2024,4205.16,src-ddbfadd51428
arunachal-pradesh,2025,4851.79,src-ddbfadd51428
assam,2015,1190.68,src-ddbfadd51428
assam,2016,1484.86,src-ddbfadd51428
assam,2017,1657.81,src-ddbfadd51428
assam,2018,1490.54,src-ddbfadd51428
assam,2019,1291.68,src-ddbfadd51428
assam,2020,270.87,src-ddbfadd51428
assam,2021,676.24,src-ddbfadd51428
assam,2022,481.6,src-ddbfadd51428
assam,2023,614.7,src-ddbfadd51428
assam,2024,998.75,src-ddbfadd51428
assam,2025,1424.5,src-ddbfadd51428
chhattisgarh,2015,323.3,src-ddbfadd51428
chhattisgarh,2016,153.76,src-ddbfadd51428
chhattisgarh,2017,178.07,src-ddbfadd51428
chhattisgarh,2018,243.08,src-ddbfadd51428
chhattisgarh,2019,236.79,src-ddbfadd51428
chhattisgarh,2020,419.19,src-ddbfadd51428
chhattisgarh,2021,404.13,src-ddbfadd51428
chhattisgarh,2022,237.37,src-ddbfadd51428
chhattisgarh,2023,321.76,src-ddbfadd51428
chhattisgarh,2024,419.42,src-ddbfadd51428
chhattisgarh,2025,342.04,src-ddbfadd51428
gujarat,2015,2951.85,src-ddbfadd51428
gujarat,2016,3943.88,src-ddbfadd51428
gujarat,2017,1551.92,src-ddbfadd51428
gujarat,2018,1042.81,src-ddbfadd51428
gujarat,2019,5414.68,src-ddbfadd51428
gujarat,2020,4233.36,src-ddbfadd51428
gujarat,2021,2621.51,src-ddbfadd51428
gujarat,2022,6133.14,src-ddbfadd51428
gujarat,2023,4556.33,src-ddbfadd51428
gujarat,2024,6028.52,src-ddbfadd51428
gujarat,2025,6373.78,src-ddbfadd51428
himachal-pradesh,2015,38906.39,src-ddbfadd51428
himachal-pradesh,2016,37423.98,src-ddbfadd51428
himachal-pradesh,2017,39276.79,src-ddbfadd51428
himachal-pradesh,2018,36645.15,src-ddbfadd51428
himachal-pradesh,2019,40834.88,src-ddbfadd51428
himachal-pradesh,2020,37473.47,src-ddbfadd51428
himachal-pradesh,2021,36459.64,src-ddbfadd51428
himachal-pradesh,2022,38666.98,src-ddbfadd51428
himachal-pradesh,2023,36365.85,src-ddbfadd51428
himachal-pradesh,2024,39386.29,src-ddbfadd51428
himachal-pradesh,2025,42831.57,src-ddbfadd51428
jammu-and-kashmir,2015,15136.15,src-ddbfadd51428
jammu-and-kashmir,2016,15377.69,src-ddbfadd51428
jammu-and-kashmir,2017,14937.56,src-ddbfadd51428
jammu-and-kashmir,2018,16541.58,src-ddbfadd51428
jammu-and-kashmir,2019,18094.12,src-ddbfadd51428
jammu-and-kashmir,2020,17002.68,src-ddbfadd51428
jammu-and-kashmir,2021,17074.02,src-ddbfadd51428
jammu-and-kashmir,2022,16777.42,src-ddbfadd51428
jammu-and-kashmir,2023,15874.24,src-ddbfadd51428
jammu-and-kashmir,2024,15200.65,src-ddbfadd51428
jammu-and-kashmir,2025,15664.8,src-ddbfadd51428
jharkhand,2015,120.21,src-ddbfadd51428
jharkhand,2016,163.64,src-ddbfadd51428
jharkhand,2017,332.32,src-ddbfadd51428
jharkhand,2018,180.98,src-ddbfadd51428
jharkhand,2019,150.96,src-ddbfadd51428
jharkhand,2020,223.09,src-ddbfadd51428
jharkhand,2021,547.96,src-ddbfadd51428
jharkhand,2022,305.47,src-ddbfadd51428
jharkhand,2023,196.8,src-ddbfadd51428
jharkhand,2024,269.12,src-ddbfadd51428
jharkhand,2025,145.47,src-ddbfadd51428
karnataka,2015,7479.37,src-ddbfadd51428
karnataka,2016,6772.35,src-ddbfadd51428
karnataka,2017,7142.62,src-ddbfadd51428
karnataka,2018,12187.69,src-ddbfadd51428
