entity_id,time,value,source_id
IN,2000,24459,src-fb1d444567ce
IN,2010,132714,src-fb1d444567ce
IN,2011,89748,src-fb1d444567ce
IN,2012,169073,src-fb1d444567ce
IN,2013,45901,src-fb1d444567ce
IN,2014,19733,src-fb1d444567ce
IN,2015,-29767,src-fb1d444567ce
IN,2016,16038,src-fb1d444567ce
IN,2017,107422,src-fb1d444567ce
IN,2018,113441,src-fb1d444567ce
IN,2019,182248,src-fb1d444567ce
IN,2020,50583,src-fb1d444567ce
IN,2021,251203,src-fb1d444567ce
IN,2022,65814,src-fb1d444567ce
IN,2023,54552,src-fb1d444567ce
