entity_id,time,value,source_id
IN,2005,3.09299,src-29ecbb6dce9d
IN,2006,3.964772,src-29ecbb6dce9d
IN,2007,4.547336,src-29ecbb6dce9d
IN,2008,5.131792,src-29ecbb6dce9d
IN,2009,5.71814,src-29ecbb6dce9d
IN,2010,5.496432,src-29ecbb6dce9d
IN,2011,5.622766,src-29ecbb6dce9d
IN,2012,6.260284,src-29ecbb6dce9d
IN,2013,6.385242,src-29ecbb6dce9d
IN,2014,6.741626,src-29ecbb6dce9d
IN,2015,7.399182,src-29ecbb6dce9d
IN,2016,7.72495,src-29ecbb6dce9d
IN,2017,8.06293,src-29ecbb6dce9d
IN,2018,8.447608,src-29ecbb6dce9d
IN,2019,9.120042,src-29ecbb6dce9d
IN,2020,7.4777,src-29ecbb6dce9d
IN,2021,8.352406,src-29ecbb6dce9d
IN,2022,10.081866,src-29ecbb6dce9d
IN,2023,11.061578,src-29ecbb6dce9d
IN,2024,11.624018,src-29ecbb6dce9d
