entity_id,time,value,source_id
IN,2005,0.02508,src-29ecbb6dce9d
IN,2006,0.047025,src-29ecbb6dce9d
IN,2007,0.841267,src-29ecbb6dce9d
IN,2008,0.8430116,src-29ecbb6dce9d
IN,2009,1.057917,src-29ecbb6dce9d
IN,2010,1.1829294,src-29ecbb6dce9d
IN,2011,1.2711952,src-29ecbb6dce9d
IN,2012,1.358262,src-29ecbb6dce9d
IN,2013,1.263955,src-29ecbb6dce9d
IN,2014,1.2504345,src-29ecbb6dce9d
IN,2015,1.7215475,src-29ecbb6dce9d
IN,2016,2.0945583,src-29ecbb6dce9d
IN,2017,2.45833115,src-29ecbb6dce9d
IN,2018,2.77411372727104,src-29ecbb6dce9d
IN,2019,3.04341233848866,src-29ecbb6dce9d
IN,2020,2.20284010431149,src-29ecbb6dce9d
IN,2021,2.59650038464142,src-29ecbb6dce9d
IN,2022,3.00968925352702,src-29ecbb6dce9d
IN,2023,3.18377310723893,src-29ecbb6dce9d
IN,2024,3.094009,src-29ecbb6dce9d
