entity_id,time,value,source_id
IN,2005,18.414406,src-c8210dc4af23
IN,2006,20.744404,src-c8210dc4af23
IN,2007,22.824658,src-c8210dc4af23
IN,2008,24.050158,src-c8210dc4af23
IN,2009,25.59489,src-c8210dc4af23
IN,2010,27.616062,src-c8210dc4af23
IN,2011,30.297112,src-c8210dc4af23
IN,2012,31.475054,src-c8210dc4af23
IN,2013,33.059948,src-c8210dc4af23
IN,2014,35.81255,src-c8210dc4af23
IN,2015,37.498494,src-c8210dc4af23
IN,2016,37.857716,src-c8210dc4af23
IN,2017,40.300718,src-c8210dc4af23
IN,2018,44.650856,src-c8210dc4af23
IN,2019,45.82252,src-c8210dc4af23
IN,2020,43.754736,src-c8210dc4af23
IN,2021,47.857366,src-c8210dc4af23
IN,2022,51.07497,src-c8210dc4af23
IN,2023,55.093836,src-c8210dc4af23
IN,2024,56.378332,src-c8210dc4af23
