entity_id,time,value,source_id
IN,2005,0.855184,src-c8210dc4af23
IN,2006,0.9288,src-c8210dc4af23
IN,2007,0.955288,src-c8210dc4af23
IN,2008,1.015488,src-c8210dc4af23
IN,2009,1.06554,src-c8210dc4af23
IN,2010,1.145778,src-c8210dc4af23
IN,2011,1.221716,src-c8210dc4af23
IN,2012,1.2126,src-c8210dc4af23
IN,2013,1.33644,src-c8210dc4af23
IN,2014,1.391222,src-c8210dc4af23
IN,2015,1.427084,src-c8210dc4af23
IN,2016,1.348738,src-c8210dc4af23
IN,2017,1.499238,src-c8210dc4af23
IN,2018,1.619982,src-c8210dc4af23
IN,2019,1.646728,src-c8210dc4af23
IN,2020,1.261448,src-c8210dc4af23
IN,2021,1.88641,src-c8210dc4af23
IN,2022,2.582408,src-c8210dc4af23
IN,2023,2.916948,src-c8210dc4af23
IN,2024,2.967,src-c8210dc4af23
