entity_id,time,value,source_id
IN,1994,355037,src-200c30b24f3c
IN,2000,543750,src-200c30b24f3c
IN,2007,719305,src-200c30b24f3c
IN,2010,880169,src-200c30b24f3c
IN,2011,924258,src-200c30b24f3c
IN,2012,1005813,src-200c30b24f3c
IN,2013,1053981,src-200c30b24f3c
IN,2014,1140983.46,src-200c30b24f3c
IN,2015,1197123,src-200c30b24f3c
IN,2016,1206586.8300000001,src-200c30b24f3c
IN,2017,1255716,src-200c30b24f3c
IN,2018,1324177,src-200c30b24f3c
IN,2019,1331900.6799999999,src-200c30b24f3c
IN,2020,1265327.5600000001,src-200c30b24f3c
