entity_id,time,value,source_id
IN,2005,4.49,src-170d3536d908
IN,2006,4.85,src-170d3536d908
IN,2007,4.37,src-170d3536d908
IN,2008,3.83,src-170d3536d908
IN,2009,4.86,src-170d3536d908
IN,2010,6.85,src-170d3536d908
IN,2011,8.41,src-170d3536d908
IN,2012,8.57,src-170d3536d908
IN,2013,8.92,src-170d3536d908
IN,2014,9.41,src-170d3536d908
IN,2015,9.75,src-170d3536d908
IN,2016,9.88,src-170d3536d908
IN,2017,9.99,src-170d3536d908
IN,2018,9.85,src-170d3536d908
IN,2019,12.11,src-170d3536d908
IN,2020,11.21,src-170d3536d908
IN,2021,12.28,src-170d3536d908
IN,2022,11.95,src-170d3536d908
IN,2023,12.49,src-170d3536d908
IN,2024,14.77,src-170d3536d908
