entity_id,time,value,source_id
IN,2005,121.95,src-1d5665f61d9f
IN,2006,128.71,src-1d5665f61d9f
IN,2007,136.35,src-1d5665f61d9f
IN,2008,143.02,src-1d5665f61d9f
IN,2009,155.79,src-1d5665f61d9f
IN,2010,159.6,src-1d5665f61d9f
IN,2011,165.63,src-1d5665f61d9f
IN,2012,177.54,src-1d5665f61d9f
IN,2013,177.7,src-1d5665f61d9f
IN,2014,188.12,src-1d5665f61d9f
IN,2015,209.43,src-1d5665f61d9f
IN,2016,226.09,src-1d5665f61d9f
IN,2017,230.25,src-1d5665f61d9f
IN,2018,238.57,src-1d5665f61d9f
IN,2019,237.81,src-1d5665f61d9f
IN,2020,213.99,src-1d5665f61d9f
IN,2021,218.87,src-1d5665f61d9f
IN,2022,252.91,src-1d5665f61d9f
IN,2023,257.06,src-1d5665f61d9f
IN,2024,262.88,src-1d5665f61d9f
