entity_id,time,value,source_id
IN,2005,0.59,src-1d5665f61d9f
IN,2006,0.87,src-1d5665f61d9f
IN,2007,2.28,src-1d5665f61d9f
IN,2008,2.68,src-1d5665f61d9f
IN,2009,3.12,src-1d5665f61d9f
IN,2010,3.71,src-1d5665f61d9f
IN,2011,4.56,src-1d5665f61d9f
IN,2012,5.17,src-1d5665f61d9f
IN,2013,5.8,src-1d5665f61d9f
IN,2014,7.02,src-1d5665f61d9f
IN,2015,7.65,src-1d5665f61d9f
IN,2016,7.21,src-1d5665f61d9f
IN,2017,8.96,src-1d5665f61d9f
IN,2018,11.22,src-1d5665f61d9f
IN,2019,12.44,src-1d5665f61d9f
IN,2020,13.28,src-1d5665f61d9f
IN,2021,15.28,src-1d5665f61d9f
IN,2022,18.25,src-1d5665f61d9f
IN,2023,20.17,src-1d5665f61d9f
IN,2024,23.03,src-1d5665f61d9f
