entity_id,time,value,source_id
andaman-and-nicobar,2015,40.05,src-1240f07df0ac
andaman-and-nicobar,2016,40.05,src-1240f07df0ac
andaman-and-nicobar,2017,40.05,src-1240f07df0ac
andaman-and-nicobar,2018,40.05,src-1240f07df0ac
andaman-and-nicobar,2019,40.05,src-1240f07df0ac
andaman-and-nicobar,2020,40.05,src-1240f07df0ac
andaman-and-nicobar,2021,40.05,src-1240f07df0ac
andaman-and-nicobar,2022,92.71,src-1240f07df0ac
andaman-and-nicobar,2023,92.71,src-1240f07df0ac
andaman-and-nicobar,2024,92.71,src-1240f07df0ac
andaman-and-nicobar,2025,92.71,src-1240f07df0ac
andhra-pradesh,2015,4917.2,src-1240f07df0ac
andhra-pradesh,2016,4917.2,src-1240f07df0ac
andhra-pradesh,2017,4917.2,src-1240f07df0ac
andhra-pradesh,2018,4917.2,src-1240f07df0ac
andhra-pradesh,2019,4935.34,src-1240f07df0ac
andhra-pradesh,2020,4935.34,src-1240f07df0ac
andhra-pradesh,2021,4935.34,src-1240f07df0ac
andhra-pradesh,2022,4935.34,src-1240f07df0ac
andhra-pradesh,2023,4935.34,src-1240f07df0ac
andhra-pradesh,2024,4715.34,src-1240f07df0ac
andhra-pradesh,2025,1776.2,src-1240f07df0ac
assam,2015,567.2,src-1240f07df0ac
assam,2016,614.45,src-1240f07df0ac
assam,2017,579.45,src-1240f07df0ac
assam,2018,619.2,src-1240f07df0ac
assam,2019,619.21,src-1240f07df0ac
assam,2020,620.36,src-1240f07df0ac
assam,2021,620.36,src-1240f07df0ac
assam,2022,597.36,src-1240f07df0ac
assam,2023,597.36,src-1240f07df0ac
assam,2024,597.36,src-1240f07df0ac
assam,2025,597.36,src-1240f07df0ac
chhattisgarh,2024,48,src-1240f07df0ac
delhi,2015,2208.4,src-1240f07df0ac
delhi,2016,2208.4,src-1240f07df0ac
delhi,2017,2208.4,src-1240f07df0ac
delhi,2018,2208.4,src-1240f07df0ac
delhi,2019,2208.4,src-1240f07df0ac
delhi,2020,2208.4,src-1240f07df0ac
delhi,2021,2208.4,src-1240f07df0ac
delhi,2022,2208.4,src-1240f07df0ac
delhi,2023,2208.4,src-1240f07df0ac
delhi,2024,2208.4,src-1240f07df0ac
delhi,2025,2100.4,src-1240f07df0ac
goa,2015,48,src-1240f07df0ac
goa,2016,48,src-1240f07df0ac
goa,2017,48,src-1240f07df0ac
goa,2018,48,src-1240f07df0ac
goa,2019,48,src-1240f07df0ac
goa,2020,48,src-1240f07df0ac
goa,2021,48,src-1240f07df0ac
goa,2022,48,src-1240f07df0ac
goa,2023,48,src-1240f07df0ac
gujarat,2015,7695.41,src-1240f07df0ac
gujarat,2016,7695.41,src-1240f07df0ac
gujarat,2017,7551.41,src-1240f07df0ac
gujarat,2018,7551.41,src-1240f07df0ac
gujarat,2019,7551.41,src-1240f07df0ac
gujarat,2020,7551.41,src-1240f07df0ac
gujarat,2021,7551.41,src-1240f07df0ac
gujarat,2022,7551.41,src-1240f07df0ac
gujarat,2023,7551.41,src-1240f07df0ac
gujarat,2024,6896.41,src-1240f07df0ac
gujarat,2025,6580.31,src-1240f07df0ac
haryana,2015,431.59,src-1240f07df0ac
haryana,2016,431.59,src-1240f07df0ac
haryana,2017,431.59,src-1240f07df0ac
haryana,2018,431.59,src-1240f07df0ac
haryana,2019,431.59,src-1240f07df0ac
haryana,2020,431.59,src-1240f07df0ac
haryana,2021,431.59,src-1240f07df0ac
haryana,2022,431.59,src-1240f07df0ac
haryana,2023,431.59,src-1240f07df0ac
haryana,2024,431.59,src-1240f07df0ac
haryana,2025,431.59,src-1240f07df0ac
jammu-and-kashmir,2015,175,src-1240f07df0ac
jammu-and-kashmir,2016,175,src-1240f07df0ac
jammu-and-kashmir,2017,175,src-1240f07df0ac
jammu-and-kashmir,2018,175,src-1240f07df0ac
jammu-and-kashmir,2019,175,src-1240f07df0ac
jammu-and-kashmir,2020,175,src-1240f07df0ac
jammu-and-kashmir,2021,175,src-1240f07df0ac
jammu-and-kashmir,2022,175,src-1240f07df0ac
jammu-and-kashmir,2023,175,src-1240f07df0ac
jammu-and-kashmir,2024,175,src-1240f07df0ac
jharkhand,2015,90,src-1240f07df0ac
karnataka,2015,234.42,src-1240f07df0ac
karnataka,2016,234.42,src-1240f07df0ac
karnataka,2017,153.12,src-1240f07df0ac
karnataka,2018,153.12,src-1240f07df0ac
karnataka,2019,25.2,src-1240f07df0ac
karnataka,2020,25.2,src-1240f07df0ac
karnataka,2021,25.2,src-1240f07df0ac
karnataka,2022,25.2,src-1240f07df0ac
karnataka,2023,25.2,src-1240f07df0ac
karnataka,2024,395.25,src-1240f07df0ac
karnataka,2025,395.25,src-1240f07df0ac
kerala,2015,768.18,src-1240f07df0ac
kerala,2016,693.54,src-1240f07df0ac
kerala,2017,693.54,src-1240f07df0ac
kerala,2018,693.54,src-1240f07df0ac
kerala,2019,693.54,src-1240f07df0ac
kerala,2020,693.54,src-1240f07df0ac
kerala,2021,693.54,src-1240f07df0ac
kerala,2022,693.54,src-1240f07df0ac
kerala,2023,693.54,src-1240f07df0ac
kerala,2024,693.54,src-1240f07df0ac
kerala,2025,519.54,src-1240f07df0ac
lakshadweep,2022,26.83,src-1240f07df0ac
lakshadweep,2023,26.83,src-1240f07df0ac
lakshadweep,2024,26.83,src-1240f07df0ac
lakshadweep,2025,26.83,src-1240f07df0ac
maharashtra,2015,3072,src-1240f07df0ac
maharashtra,2016,3460,src-1240f07df0ac
maharashtra,2017,3207.08,src-1240f07df0ac
maharashtra,2018,3207.08,src-1240f07df0ac
maharashtra,2019,3207.08,src-1240f07df0ac
maharashtra,2020,3207.08,src-1240f07df0ac
maharashtra,2021,3207.08,src-1240f07df0ac
maharashtra,2022,3207.08,src-1240f07df0ac
maharashtra,2023,3207.08,src-1240f07df0ac
maharashtra,2024,3207.08,src-1240f07df0ac
maharashtra,2025,2819.08,src-1240f07df0ac
manipur,2015,36,src-1240f07df0ac
manipur,2016,36,src-1240f07df0ac
manipur,2017,36,src-1240f07df0ac
manipur,2018,36,src-1240f07df0ac
manipur,2019,36,src-1240f07df0ac
manipur,2020,36,src-1240f07df0ac
manipur,2021,36,src-1240f07df0ac
manipur,2022,36,src-1240f07df0ac
manipur,2023,36,src-1240f07df0ac
manipur,2024,36,src-1240f07df0ac
manipur,2025,36,src-1240f07df0ac
puducherry,2015,32.5,src-1240f07df0ac
puducherry,2016,32.5,src-1240f07df0ac
puducherry,2017,32.5,src-1240f07df0ac
puducherry,2018,32.5,src-1240f07df0ac
