entity_id,time,value,source_id
andhra-pradesh,2023,377921,src-93a2a72db482
andhra-pradesh,2024,609789,src-93a2a72db482
andhra-pradesh,2025,909533,src-93a2a72db482
andhra-pradesh/alluri-sitharama-raju,2023,15,src-93a2a72db482
andhra-pradesh/alluri-sitharama-raju,2024,271,src-93a2a72db482
andhra-pradesh/alluri-sitharama-raju,2025,1091,src-93a2a72db482
andhra-pradesh/anakapalli,2023,14599,src-93a2a72db482
andhra-pradesh/anakapalli,2024,32610,src-93a2a72db482
andhra-pradesh/anakapalli,2025,40122,src-93a2a72db482
andhra-pradesh/ananthapuramu,2023,15269,src-93a2a72db482
andhra-pradesh/ananthapuramu,2024,22423,src-93a2a72db482
andhra-pradesh/ananthapuramu,2025,24715,src-93a2a72db482
andhra-pradesh/annamayya,2023,16281,src-93a2a72db482
andhra-pradesh/annamayya,2024,30816,src-93a2a72db482
andhra-pradesh/annamayya,2025,46583,src-93a2a72db482
andhra-pradesh/bapatla,2023,22991,src-93a2a72db482
andhra-pradesh/bapatla,2024,33207,src-93a2a72db482
andhra-pradesh/bapatla,2025,40807,src-93a2a72db482
andhra-pradesh/chittoor,2023,28269,src-93a2a72db482
andhra-pradesh/chittoor,2024,29364,src-93a2a72db482
andhra-pradesh/chittoor,2025,45316,src-93a2a72db482
andhra-pradesh/dr-b-r-ambedkar-konaseema,2023,9293,src-93a2a72db482
andhra-pradesh/dr-b-r-ambedkar-konaseema,2024,10664,src-93a2a72db482
andhra-pradesh/dr-b-r-ambedkar-konaseema,2025,21612,src-93a2a72db482
andhra-pradesh/east-godavari,2023,7353,src-93a2a72db482
andhra-pradesh/east-godavari,2024,11068,src-93a2a72db482
andhra-pradesh/east-godavari,2025,27892,src-93a2a72db482
andhra-pradesh/eluru,2023,9180,src-93a2a72db482
andhra-pradesh/eluru,2024,15892,src-93a2a72db482
andhra-pradesh/eluru,2025,47164,src-93a2a72db482
andhra-pradesh/guntur,2023,18101,src-93a2a72db482
andhra-pradesh/guntur,2024,21895,src-93a2a72db482
andhra-pradesh/guntur,2025,32209,src-93a2a72db482
andhra-pradesh/kakinada,2023,11889,src-93a2a72db482
andhra-pradesh/kakinada,2024,12891,src-93a2a72db482
andhra-pradesh/kakinada,2025,23248,src-93a2a72db482
andhra-pradesh/krishna,2023,8211,src-93a2a72db482
andhra-pradesh/krishna,2024,17678,src-93a2a72db482
andhra-pradesh/krishna,2025,39738,src-93a2a72db482
andhra-pradesh/kurnool,2023,6907,src-93a2a72db482
andhra-pradesh/kurnool,2024,16139,src-93a2a72db482
andhra-pradesh/kurnool,2025,23515,src-93a2a72db482
andhra-pradesh/nandyal,2023,14538,src-93a2a72db482
andhra-pradesh/nandyal,2024,34530,src-93a2a72db482
andhra-pradesh/nandyal,2025,45750,src-93a2a72db482
andhra-pradesh/ntr,2023,12858,src-93a2a72db482
andhra-pradesh/ntr,2024,17697,src-93a2a72db482
andhra-pradesh/ntr,2025,31279,src-93a2a72db482
andhra-pradesh/palnadu,2023,21064,src-93a2a72db482
andhra-pradesh/palnadu,2024,26326,src-93a2a72db482
andhra-pradesh/palnadu,2025,37243,src-93a2a72db482
andhra-pradesh/parvathipuram-manyam,2023,3604,src-93a2a72db482
andhra-pradesh/parvathipuram-manyam,2024,9341,src-93a2a72db482
andhra-pradesh/parvathipuram-manyam,2025,12775,src-93a2a72db482
andhra-pradesh/prakasam,2023,38708,src-93a2a72db482
andhra-pradesh/prakasam,2024,60381,src-93a2a72db482
andhra-pradesh/prakasam,2025,57089,src-93a2a72db482
andhra-pradesh/sri-potti-sriramulu-nellore,2023,26436,src-93a2a72db482
andhra-pradesh/sri-potti-sriramulu-nellore,2024,50187,src-93a2a72db482
andhra-pradesh/sri-potti-sriramulu-nellore,2025,62397,src-93a2a72db482
andhra-pradesh/sri-sathya-sai,2023,14132,src-93a2a72db482
andhra-pradesh/sri-sathya-sai,2024,13830,src-93a2a72db482
andhra-pradesh/sri-sathya-sai,2025,34868,src-93a2a72db482
andhra-pradesh/srikakulam,2023,18154,src-93a2a72db482
andhra-pradesh/srikakulam,2024,40033,src-93a2a72db482
andhra-pradesh/srikakulam,2025,65502,src-93a2a72db482
andhra-pradesh/tirupati,2023,19665,src-93a2a72db482
andhra-pradesh/tirupati,2024,24658,src-93a2a72db482
andhra-pradesh/tirupati,2025,40298,src-93a2a72db482
andhra-pradesh/visakhapatnam,2023,3477,src-93a2a72db482
andhra-pradesh/visakhapatnam,2024,9712,src-93a2a72db482
andhra-pradesh/visakhapatnam,2025,9449,src-93a2a72db482
andhra-pradesh/vizianagaram,2023,12895,src-93a2a72db482
andhra-pradesh/vizianagaram,2024,26217,src-93a2a72db482
andhra-pradesh/vizianagaram,2025,31817,src-93a2a72db482
andhra-pradesh/west-godavari,2023,6291,src-93a2a72db482
andhra-pradesh/west-godavari,2024,6688,src-93a2a72db482
andhra-pradesh/west-godavari,2025,25649,src-93a2a72db482
andhra-pradesh/y-s-r-kadapa,2023,17741,src-93a2a72db482
andhra-pradesh/y-s-r-kadapa,2024,35271,src-93a2a72db482
andhra-pradesh/y-s-r-kadapa,2025,41405,src-93a2a72db482
arunachal-pradesh,2023,17,src-93a2a72db482
arunachal-pradesh,2024,93,src-93a2a72db482
arunachal-pradesh,2025,206,src-93a2a72db482
arunachal-pradesh/changlang,2023,1,src-93a2a72db482
arunachal-pradesh/changlang,2024,0,src-93a2a72db482
