entity_id,time,value,source_id
andaman-and-nicobar,2021,13,src-d98dc531ef7e
andaman-and-nicobar,2022,2,src-d98dc531ef7e
andaman-and-nicobar/south-andamans,2021,13,src-d98dc531ef7e
andaman-and-nicobar/south-andamans,2022,2,src-d98dc531ef7e
andhra-pradesh,2014,242,src-d98dc531ef7e
andhra-pradesh,2015,2812,src-d98dc531ef7e
andhra-pradesh,2016,4024,src-d98dc531ef7e
andhra-pradesh,2017,1807,src-d98dc531ef7e
andhra-pradesh,2018,1969,src-d98dc531ef7e
andhra-pradesh,2019,23595,src-d98dc531ef7e
andhra-pradesh,2020,15058,src-d98dc531ef7e
andhra-pradesh,2021,3601,src-d98dc531ef7e
andhra-pradesh,2022,1680,src-d98dc531ef7e
andhra-pradesh,2023,553,src-d98dc531ef7e
andhra-pradesh,2024,480,src-d98dc531ef7e
andhra-pradesh,2025,12,src-d98dc531ef7e
andhra-pradesh/alluri-sitharama-raju,2019,51,src-d98dc531ef7e
andhra-pradesh/alluri-sitharama-raju,2020,221,src-d98dc531ef7e
andhra-pradesh/alluri-sitharama-raju,2021,1107,src-d98dc531ef7e
andhra-pradesh/alluri-sitharama-raju,2022,11,src-d98dc531ef7e
andhra-pradesh/alluri-sitharama-raju,2023,27,src-d98dc531ef7e
andhra-pradesh/alluri-sitharama-raju,2024,5,src-d98dc531ef7e
andhra-pradesh/anakapalli,2018,1,src-d98dc531ef7e
andhra-pradesh/anakapalli,2019,1071,src-d98dc531ef7e
andhra-pradesh/anakapalli,2020,437,src-d98dc531ef7e
andhra-pradesh/anakapalli,2021,133,src-d98dc531ef7e
andhra-pradesh/anakapalli,2022,175,src-d98dc531ef7e
andhra-pradesh/anakapalli,2023,124,src-d98dc531ef7e
andhra-pradesh/anakapalli,2024,54,src-d98dc531ef7e
andhra-pradesh/ananthapuramu,2018,94,src-d98dc531ef7e
andhra-pradesh/ananthapuramu,2019,748,src-d98dc531ef7e
andhra-pradesh/ananthapuramu,2020,235,src-d98dc531ef7e
andhra-pradesh/ananthapuramu,2021,158,src-d98dc531ef7e
andhra-pradesh/ananthapuramu,2022,98,src-d98dc531ef7e
andhra-pradesh/ananthapuramu,2023,18,src-d98dc531ef7e
andhra-pradesh/ananthapuramu,2024,4,src-d98dc531ef7e
andhra-pradesh/annamayya,2016,535,src-d98dc531ef7e
andhra-pradesh/annamayya,2017,42,src-d98dc531ef7e
andhra-pradesh/annamayya,2018,67,src-d98dc531ef7e
andhra-pradesh/annamayya,2019,1217,src-d98dc531ef7e
andhra-pradesh/annamayya,2020,923,src-d98dc531ef7e
andhra-pradesh/annamayya,2021,60,src-d98dc531ef7e
andhra-pradesh/annamayya,2022,108,src-d98dc531ef7e
andhra-pradesh/annamayya,2023,38,src-d98dc531ef7e
andhra-pradesh/annamayya,2024,34,src-d98dc531ef7e
andhra-pradesh/bapatla,2014,11,src-d98dc531ef7e
andhra-pradesh/bapatla,2015,321,src-d98dc531ef7e
andhra-pradesh/bapatla,2016,163,src-d98dc531ef7e
andhra-pradesh/bapatla,2017,79,src-d98dc531ef7e
andhra-pradesh/bapatla,2018,37,src-d98dc531ef7e
andhra-pradesh/bapatla,2019,835,src-d98dc531ef7e
andhra-pradesh/bapatla,2020,201,src-d98dc531ef7e
andhra-pradesh/bapatla,2021,114,src-d98dc531ef7e
andhra-pradesh/bapatla,2022,30,src-d98dc531ef7e
andhra-pradesh/bapatla,2023,10,src-d98dc531ef7e
andhra-pradesh/bapatla,2024,10,src-d98dc531ef7e
andhra-pradesh/chittoor,2014,48,src-d98dc531ef7e
andhra-pradesh/chittoor,2015,1033,src-d98dc531ef7e
andhra-pradesh/chittoor,2016,2702,src-d98dc531ef7e
andhra-pradesh/chittoor,2017,1412,src-d98dc531ef7e
andhra-pradesh/chittoor,2018,1263,src-d98dc531ef7e
andhra-pradesh/chittoor,2019,2216,src-d98dc531ef7e
andhra-pradesh/chittoor,2020,4905,src-d98dc531ef7e
andhra-pradesh/chittoor,2021,128,src-d98dc531ef7e
andhra-pradesh/chittoor,2022,235,src-d98dc531ef7e
andhra-pradesh/chittoor,2023,72,src-d98dc531ef7e
andhra-pradesh/chittoor,2024,77,src-d98dc531ef7e
andhra-pradesh/dr-b-r-ambedkar-konaseema,2015,4,src-d98dc531ef7e
andhra-pradesh/dr-b-r-ambedkar-konaseema,2016,1,src-d98dc531ef7e
andhra-pradesh/dr-b-r-ambedkar-konaseema,2019,250,src-d98dc531ef7e
andhra-pradesh/dr-b-r-ambedkar-konaseema,2020,230,src-d98dc531ef7e
andhra-pradesh/dr-b-r-ambedkar-konaseema,2021,58,src-d98dc531ef7e
andhra-pradesh/dr-b-r-ambedkar-konaseema,2022,44,src-d98dc531ef7e
andhra-pradesh/dr-b-r-ambedkar-konaseema,2023,9,src-d98dc531ef7e
andhra-pradesh/dr-b-r-ambedkar-konaseema,2024,4,src-d98dc531ef7e
andhra-pradesh/east-godavari,2016,1,src-d98dc531ef7e
andhra-pradesh/east-godavari,2017,1,src-d98dc531ef7e
andhra-pradesh/east-godavari,2018,6,src-d98dc531ef7e
andhra-pradesh/east-godavari,2019,293,src-d98dc531ef7e
andhra-pradesh/east-godavari,2020,288,src-d98dc531ef7e
andhra-pradesh/east-godavari,2021,46,src-d98dc531ef7e
andhra-pradesh/east-godavari,2022,17,src-d98dc531ef7e
andhra-pradesh/east-godavari,2023,8,src-d98dc531ef7e
andhra-pradesh/east-godavari,2024,1,src-d98dc531ef7e
andhra-pradesh/east-godavari,2025,1,src-d98dc531ef7e
andhra-pradesh/eluru,2014,29,src-d98dc531ef7e
