entity_id,time,value,source_id
andhra-pradesh,2010,17.31,src-263dcba882ba
andhra-pradesh,2011,19,src-263dcba882ba
andhra-pradesh,2012,17.6,src-263dcba882ba
andhra-pradesh,2013,17.52,src-263dcba882ba
andhra-pradesh,2014,19.04,src-263dcba882ba
andhra-pradesh,2015,20.8,src-263dcba882ba
andhra-pradesh,2016,22.92,src-263dcba882ba
andhra-pradesh,2017,21.96,src-263dcba882ba
andhra-pradesh,2018,20.3,src-263dcba882ba
andhra-pradesh,2019,18.04,src-263dcba882ba
andhra-pradesh,2020,15.59,src-263dcba882ba
andhra-pradesh,2021,22.1,src-263dcba882ba
andhra-pradesh,2022,26.16,src-263dcba882ba
andhra-pradesh,2023,22.57,src-263dcba882ba
arunachal-pradesh,2014,5,src-263dcba882ba
arunachal-pradesh,2015,5.75,src-263dcba882ba
arunachal-pradesh,2017,7,src-263dcba882ba
arunachal-pradesh,2018,8,src-263dcba882ba
arunachal-pradesh,2019,7,src-263dcba882ba
arunachal-pradesh,2021,7.39,src-263dcba882ba
arunachal-pradesh,2022,11.92,src-263dcba882ba
arunachal-pradesh,2023,1.31,src-263dcba882ba
assam,2010,14.82,src-263dcba882ba
assam,2011,13.9,src-263dcba882ba
assam,2012,13.14,src-263dcba882ba
assam,2013,15.18,src-263dcba882ba
assam,2014,13.95,src-263dcba882ba
assam,2015,14,src-263dcba882ba
assam,2016,15.57,src-263dcba882ba
assam,2017,14.78,src-263dcba882ba
assam,2018,14.74,src-263dcba882ba
assam,2019,13.39,src-263dcba882ba
assam,2020,12.14,src-263dcba882ba
assam,2021,9.15,src-263dcba882ba
assam,2022,11.34,src-263dcba882ba
assam,2023,12.1,src-263dcba882ba
bihar,2010,40.5,src-263dcba882ba
bihar,2011,47.5,src-263dcba882ba
bihar,2012,36,src-263dcba882ba
bihar,2014,32,src-263dcba882ba
bihar,2015,40.5,src-263dcba882ba
bihar,2016,32,src-263dcba882ba
bihar,2017,25.62,src-263dcba882ba
bihar,2018,29.38,src-263dcba882ba
bihar,2019,30.12,src-263dcba882ba
bihar,2020,29,src-263dcba882ba
bihar,2021,50.33,src-263dcba882ba
bihar,2022,36.85,src-263dcba882ba
bihar,2023,28.2,src-263dcba882ba
chandigarh,2010,15.8,src-263dcba882ba
chandigarh,2011,15.8,src-263dcba882ba
chandigarh,2012,19.2,src-263dcba882ba
chandigarh,2013,28.2,src-263dcba882ba
chandigarh,2014,21.4,src-263dcba882ba
chandigarh,2015,25.6,src-263dcba882ba
chandigarh,2016,20.6,src-263dcba882ba
chandigarh,2017,16.2,src-263dcba882ba
chandigarh,2018,17.2,src-263dcba882ba
chandigarh,2019,18.6,src-263dcba882ba
chandigarh,2020,15.2,src-263dcba882ba
chandigarh,2021,55.77,src-263dcba882ba
chandigarh,2022,35.59,src-263dcba882ba
chandigarh,2023,29.66,src-263dcba882ba
chhattisgarh,2010,27.7,src-263dcba882ba
chhattisgarh,2011,27.5,src-263dcba882ba
chhattisgarh,2012,26.5,src-263dcba882ba
chhattisgarh,2013,23.5,src-263dcba882ba
chhattisgarh,2014,23.38,src-263dcba882ba
chhattisgarh,2015,24.75,src-263dcba882ba
chhattisgarh,2016,23.75,src-263dcba882ba
chhattisgarh,2017,21.88,src-263dcba882ba
chhattisgarh,2018,18.44,src-263dcba882ba
chhattisgarh,2019,19.5,src-263dcba882ba
chhattisgarh,2020,14.9,src-263dcba882ba
chhattisgarh,2021,18.81,src-263dcba882ba
chhattisgarh,2022,23.09,src-263dcba882ba
chhattisgarh,2023,25.89,src-263dcba882ba
dadra-and-nagar-haveli-and-daman-and-diu,2010,18,src-263dcba882ba
dadra-and-nagar-haveli-and-daman-and-diu,2011,19.5,src-263dcba882ba
dadra-and-nagar-haveli-and-daman-and-diu,2012,20,src-263dcba882ba
dadra-and-nagar-haveli-and-daman-and-diu,2013,20.5,src-263dcba882ba
dadra-and-nagar-haveli-and-daman-and-diu,2015,26,src-263dcba882ba
dadra-and-nagar-haveli-and-daman-and-diu,2016,30.5,src-263dcba882ba
dadra-and-nagar-haveli-and-daman-and-diu,2017,23.67,src-263dcba882ba
dadra-and-nagar-haveli-and-daman-and-diu,2018,28.67,src-263dcba882ba
dadra-and-nagar-haveli-and-daman-and-diu,2019,22.83,src-263dcba882ba
dadra-and-nagar-haveli-and-daman-and-diu,2020,18.33,src-263dcba882ba
delhi,2010,54.67,src-263dcba882ba
delhi,2011,57,src-263dcba882ba
delhi,2012,59.11,src-263dcba882ba
delhi,2013,63.7,src-263dcba882ba
delhi,2014,61.7,src-263dcba882ba
delhi,2015,64.89,src-263dcba882ba
delhi,2016,66.89,src-263dcba882ba
delhi,2017,67.56,src-263dcba882ba
delhi,2018,73.3,src-263dcba882ba
delhi,2019,70.56,src-263dcba882ba
delhi,2020,60.86,src-263dcba882ba
delhi,2021,41.1,src-263dcba882ba
delhi,2022,40,src-263dcba882ba
delhi,2023,36.19,src-263dcba882ba
goa,2010,21.7,src-263dcba882ba
goa,2011,17.75,src-263dcba882ba
goa,2012,17,src-263dcba882ba
goa,2013,11.94,src-263dcba882ba
goa,2014,9.53,src-263dcba882ba
goa,2015,9.71,src-263dcba882ba
goa,2016,10.89,src-263dcba882ba
goa,2017,13.39,src-263dcba882ba
goa,2018,12.5,src-263dcba882ba
goa,2019,13.59,src-263dcba882ba
goa,2020,12.06,src-263dcba882ba
gujarat,2010,22.83,src-263dcba882ba
gujarat,2011,25.16,src-263dcba882ba
gujarat,2012,25.84,src-263dcba882ba
gujarat,2013,18.74,src-263dcba882ba
gujarat,2014,20.05,src-263dcba882ba
gujarat,2015,20.55,src-263dcba882ba
gujarat,2016,24.57,src-263dcba882ba
gujarat,2017,25.67,src-263dcba882ba
gujarat,2018,26.83,src-263dcba882ba
gujarat,2019,25.46,src-263dcba882ba
gujarat,2020,19.27,src-263dcba882ba
gujarat,2021,19.79,src-263dcba882ba
gujarat,2022,20.79,src-263dcba882ba
gujarat,2023,14.63,src-263dcba882ba
haryana,2010,19.8,src-263dcba882ba
