entity_id,time,value,source_id
IN-median,2007,33.4,src-3efef1095d49
IN-median,2008,31.9,src-3efef1095d49
IN-median,2009,31,src-3efef1095d49
IN-median,2010,29.4,src-3efef1095d49
IN-median,2011,25.7,src-3efef1095d49
IN-median,2012,24.2,src-3efef1095d49
IN-median,2013,27,src-3efef1095d49
IN-median,2014,24.1,src-3efef1095d49
IN-median,2015,28,src-3efef1095d49
IN-median,2016,28.5,src-3efef1095d49
IN-median,2017,27.85,src-3efef1095d49
IN-median,2018,27.95,src-3efef1095d49
IN-median,2019,30.35,src-3efef1095d49
IN-median,2020,36,src-3efef1095d49
IN-median,2021,32.4,src-3efef1095d49
IN-median,2022,31.7,src-3efef1095d49
IN-median,2023,30.95,src-3efef1095d49
IN-pop-weighted,2007,34.81,src-3efef1095d49
IN-pop-weighted,2008,32.68,src-3efef1095d49
IN-pop-weighted,2009,31.33,src-3efef1095d49
IN-pop-weighted,2010,29.05,src-3efef1095d49
IN-pop-weighted,2011,26.48,src-3efef1095d49
IN-pop-weighted,2012,25.4,src-3efef1095d49
IN-pop-weighted,2013,24.79,src-3efef1095d49
IN-pop-weighted,2014,24.37,src-3efef1095d49
IN-pop-weighted,2015,26.42,src-3efef1095d49
IN-pop-weighted,2016,27.85,src-3efef1095d49
IN-pop-weighted,2017,27.85,src-3efef1095d49
IN-pop-weighted,2018,27.77,src-3efef1095d49
IN-pop-weighted,2019,28.43,src-3efef1095d49
IN-pop-weighted,2020,33.11,src-3efef1095d49
IN-pop-weighted,2021,30.97,src-3efef1095d49
IN-pop-weighted,2022,30.04,src-3efef1095d49
IN-pop-weighted,2023,30.04,src-3efef1095d49
