entity_id,time,value,source_id
arunachal-pradesh,2025,1,src-7e5d4aac4995
arunachal-pradesh/lower-subansiri,2025,1,src-7e5d4aac4995
assam,2025,6,src-7e5d4aac4995
assam/biswanath,2025,2,src-7e5d4aac4995
assam/dhubri,2025,3,src-7e5d4aac4995
assam/jorhat,2025,1,src-7e5d4aac4995
bihar,2024,1,src-7e5d4aac4995
bihar,2025,3,src-7e5d4aac4995
bihar/kishanganj,2025,2,src-7e5d4aac4995
bihar/munger,2024,1,src-7e5d4aac4995
bihar/vaishali,2025,1,src-7e5d4aac4995
haryana,2025,5,src-7e5d4aac4995
haryana/karnal,2025,4,src-7e5d4aac4995
haryana/panipat,2025,1,src-7e5d4aac4995
himachal-pradesh,2025,7,src-7e5d4aac4995
himachal-pradesh/chamba,2025,1,src-7e5d4aac4995
himachal-pradesh/hamirpur,2025,2,src-7e5d4aac4995
himachal-pradesh/mandi,2025,4,src-7e5d4aac4995
jammu-and-kashmir,2024,3,src-7e5d4aac4995
jammu-and-kashmir,2025,2,src-7e5d4aac4995
jammu-and-kashmir/anantnag,2025,1,src-7e5d4aac4995
jammu-and-kashmir/rajouri,2024,3,src-7e5d4aac4995
jammu-and-kashmir/udhampur,2025,1,src-7e5d4aac4995
jharkhand,2025,1,src-7e5d4aac4995
jharkhand/bokaro,2025,1,src-7e5d4aac4995
karnataka,2025,10,src-7e5d4aac4995
karnataka/belagavi,2025,1,src-7e5d4aac4995
karnataka/chamarajanagar,2025,1,src-7e5d4aac4995
karnataka/tumakuru,2025,1,src-7e5d4aac4995
karnataka/uttara-kannada,2025,1,src-7e5d4aac4995
karnataka/vijayanagara,2025,4,src-7e5d4aac4995
karnataka/vijayapura,2025,2,src-7e5d4aac4995
madhya-pradesh,2025,6,src-7e5d4aac4995
madhya-pradesh/damoh,2025,1,src-7e5d4aac4995
madhya-pradesh/indore,2025,1,src-7e5d4aac4995
madhya-pradesh/jhabua,2025,1,src-7e5d4aac4995
madhya-pradesh/tikamgarh,2025,3,src-7e5d4aac4995
maharashtra,2025,15,src-7e5d4aac4995
maharashtra/beed,2025,1,src-7e5d4aac4995
maharashtra/dharashiv,2025,1,src-7e5d4aac4995
maharashtra/dhule,2025,2,src-7e5d4aac4995
maharashtra/jalgaon,2025,1,src-7e5d4aac4995
maharashtra/latur,2025,1,src-7e5d4aac4995
maharashtra/mumbai-suburban,2025,1,src-7e5d4aac4995
maharashtra/nanded,2025,1,src-7e5d4aac4995
maharashtra/raigad,2025,1,src-7e5d4aac4995
maharashtra/sangli,2025,3,src-7e5d4aac4995
maharashtra/solapur,2025,3,src-7e5d4aac4995
rajasthan,2025,20,src-7e5d4aac4995
rajasthan/ajmer,2025,1,src-7e5d4aac4995
rajasthan/alwar,2025,1,src-7e5d4aac4995
rajasthan/baran,2025,1,src-7e5d4aac4995
rajasthan/barmer,2025,2,src-7e5d4aac4995
rajasthan/churu,2025,1,src-7e5d4aac4995
rajasthan/dausa,2025,1,src-7e5d4aac4995
rajasthan/dungarpur,2025,1,src-7e5d4aac4995
rajasthan/jaipur,2025,2,src-7e5d4aac4995
rajasthan/jhalawar,2025,2,src-7e5d4aac4995
rajasthan/jodhpur,2025,1,src-7e5d4aac4995
rajasthan/kota,2025,1,src-7e5d4aac4995
rajasthan/nagaur,2025,2,src-7e5d4aac4995
rajasthan/tonk,2025,2,src-7e5d4aac4995
rajasthan/udaipur,2025,2,src-7e5d4aac4995
uttar-pradesh,2025,26,src-7e5d4aac4995
uttar-pradesh/agra,2025,1,src-7e5d4aac4995
uttar-pradesh/ballia,2025,1,src-7e5d4aac4995
uttar-pradesh/banda,2025,1,src-7e5d4aac4995
uttar-pradesh/basti,2025,2,src-7e5d4aac4995
uttar-pradesh/bijnor,2025,1,src-7e5d4aac4995
uttar-pradesh/fatehpur,2025,2,src-7e5d4aac4995
uttar-pradesh/ghaziabad,2025,1,src-7e5d4aac4995
uttar-pradesh/gorakhpur,2025,1,src-7e5d4aac4995
uttar-pradesh/hamirpur,2025,2,src-7e5d4aac4995
uttar-pradesh/hardoi,2025,2,src-7e5d4aac4995
uttar-pradesh/jhansi,2025,1,src-7e5d4aac4995
uttar-pradesh/lalitpur,2025,1,src-7e5d4aac4995
uttar-pradesh/moradabad,2025,1,src-7e5d4aac4995
uttar-pradesh/muzaffarnagar,2025,1,src-7e5d4aac4995
uttar-pradesh/pilibhit,2025,2,src-7e5d4aac4995
uttar-pradesh/pratapgarh,2025,1,src-7e5d4aac4995
uttar-pradesh/prayagraj,2025,2,src-7e5d4aac4995
uttar-pradesh/rampur,2025,1,src-7e5d4aac4995
uttar-pradesh/saharanpur,2025,1,src-7e5d4aac4995
uttar-pradesh/sultanpur,2025,1,src-7e5d4aac4995
uttarakhand,2024,9,src-7e5d4aac4995
uttarakhand,2025,97,src-7e5d4aac4995
uttarakhand/almora,2024,1,src-7e5d4aac4995
uttarakhand/almora,2025,15,src-7e5d4aac4995
uttarakhand/chamoli,2024,2,src-7e5d4aac4995
uttarakhand/chamoli,2025,4,src-7e5d4aac4995
uttarakhand/champawat,2025,3,src-7e5d4aac4995
uttarakhand/dehradun,2025,14,src-7e5d4aac4995
uttarakhand/nainital,2024,5,src-7e5d4aac4995
uttarakhand/nainital,2025,8,src-7e5d4aac4995
uttarakhand/pauri-garhwal,2024,1,src-7e5d4aac4995
uttarakhand/pauri-garhwal,2025,14,src-7e5d4aac4995
uttarakhand/pithoragarh,2025,1,src-7e5d4aac4995
uttarakhand/rudraprayag,2025,2,src-7e5d4aac4995
uttarakhand/tehri-garhwal,2025,20,src-7e5d4aac4995
