entity_id,time,value,source_id
IN-median,2009,874.26,src-3efef1095d49
IN-median,2010,880.11,src-3efef1095d49
IN-median,2011,927.36,src-3efef1095d49
IN-median,2012,982,src-3efef1095d49
IN-median,2013,1011,src-3efef1095d49
IN-median,2014,1052,src-3efef1095d49
IN-median,2015,1164,src-3efef1095d49
IN-median,2016,1166,src-3efef1095d49
IN-median,2017,1178,src-3efef1095d49
IN-median,2018,1282,src-3efef1095d49
IN-median,2019,1317,src-3efef1095d49
IN-median,2020,1301,src-3efef1095d49
IN-median,2021,1375.56,src-3efef1095d49
IN-median,2022,1425,src-3efef1095d49
IN-median,2023,1540,src-3efef1095d49
IN-pop-weighted,2009,746.34,src-3efef1095d49
IN-pop-weighted,2010,782.46,src-3efef1095d49
IN-pop-weighted,2011,844.53,src-3efef1095d49
IN-pop-weighted,2012,875.93,src-3efef1095d49
IN-pop-weighted,2013,917.94,src-3efef1095d49
IN-pop-weighted,2014,1003.78,src-3efef1095d49
IN-pop-weighted,2015,1070.61,src-3efef1095d49
IN-pop-weighted,2016,1117.7,src-3efef1095d49
IN-pop-weighted,2017,1144.78,src-3efef1095d49
IN-pop-weighted,2018,1176.58,src-3efef1095d49
IN-pop-weighted,2019,1203.08,src-3efef1095d49
IN-pop-weighted,2020,1159.22,src-3efef1095d49
IN-pop-weighted,2021,1253.66,src-3efef1095d49
IN-pop-weighted,2022,1324.94,src-3efef1095d49
IN-pop-weighted,2023,1391.46,src-3efef1095d49
