entity_id,time,value,source_id
andhra-pradesh,2015,61.25,src-7eb929cbf2d8
andhra-pradesh,2016,60.59,src-7eb929cbf2d8
andhra-pradesh,2017,56.34,src-7eb929cbf2d8
andhra-pradesh,2018,55.28,src-7eb929cbf2d8
andhra-pradesh,2019,55.91,src-7eb929cbf2d8
andhra-pradesh,2020,45.45,src-7eb929cbf2d8
andhra-pradesh,2021,52.52,src-7eb929cbf2d8
andhra-pradesh,2022,56.14,src-7eb929cbf2d8
andhra-pradesh,2023,61.49,src-7eb929cbf2d8
andhra-pradesh,2024,63.03,src-7eb929cbf2d8
andhra-pradesh,2025,60.42,src-7eb929cbf2d8
assam,2015,4.3,src-7eb929cbf2d8
assam,2016,34.25,src-7eb929cbf2d8
assam,2017,39.55,src-7eb929cbf2d8
assam,2018,42.99,src-7eb929cbf2d8
assam,2019,59.65,src-7eb929cbf2d8
assam,2020,45.31,src-7eb929cbf2d8
assam,2021,63.95,src-7eb929cbf2d8
assam,2022,76.5,src-7eb929cbf2d8
assam,2023,76.78,src-7eb929cbf2d8
assam,2024,72.86,src-7eb929cbf2d8
assam,2025,65.37,src-7eb929cbf2d8
bihar,2015,52.28,src-7eb929cbf2d8
bihar,2016,59.16,src-7eb929cbf2d8
bihar,2017,59.24,src-7eb929cbf2d8
bihar,2018,64.09,src-7eb929cbf2d8
bihar,2019,63,src-7eb929cbf2d8
bihar,2020,54.84,src-7eb929cbf2d8
bihar,2021,59.71,src-7eb929cbf2d8
bihar,2022,75.02,src-7eb929cbf2d8
bihar,2023,73.33,src-7eb929cbf2d8
bihar,2024,76.55,src-7eb929cbf2d8
bihar,2025,66.6,src-7eb929cbf2d8
chhattisgarh,2015,52.18,src-7eb929cbf2d8
chhattisgarh,2016,59.32,src-7eb929cbf2d8
chhattisgarh,2017,55.33,src-7eb929cbf2d8
chhattisgarh,2018,56.51,src-7eb929cbf2d8
chhattisgarh,2019,58.08,src-7eb929cbf2d8
chhattisgarh,2020,64.87,src-7eb929cbf2d8
chhattisgarh,2021,67.89,src-7eb929cbf2d8
chhattisgarh,2022,68.72,src-7eb929cbf2d8
