entity_id,time,value,source_id
andaman-and-nicobar,2015,51.98,src-675123e13e1b
andaman-and-nicobar,2016,61.44,src-675123e13e1b
andaman-and-nicobar,2017,73.76,src-675123e13e1b
andaman-and-nicobar,2018,34.41,src-675123e13e1b
andaman-and-nicobar,2019,27.34,src-675123e13e1b
andaman-and-nicobar,2020,33.77,src-675123e13e1b
andaman-and-nicobar,2021,33.42,src-675123e13e1b
andaman-and-nicobar,2022,26.42,src-675123e13e1b
andaman-and-nicobar,2023,41.23,src-675123e13e1b
andaman-and-nicobar,2024,46.07,src-675123e13e1b
andaman-and-nicobar,2025,44.81,src-675123e13e1b
andhra-pradesh,2015,12.82,src-675123e13e1b
andhra-pradesh,2016,13.75,src-675123e13e1b
andhra-pradesh,2017,8.1,src-675123e13e1b
andhra-pradesh,2018,11.03,src-675123e13e1b
andhra-pradesh,2019,6.95,src-675123e13e1b
andhra-pradesh,2020,7.69,src-675123e13e1b
andhra-pradesh,2021,4.84,src-675123e13e1b
andhra-pradesh,2022,1.41,src-675123e13e1b
andhra-pradesh,2023,0.01,src-675123e13e1b
andhra-pradesh,2024,0.08,src-675123e13e1b
andhra-pradesh,2025,2,src-675123e13e1b
assam,2015,64.51,src-675123e13e1b
assam,2016,52.32,src-675123e13e1b
assam,2017,50.87,src-675123e13e1b
assam,2018,49.9,src-675123e13e1b
assam,2019,51.64,src-675123e13e1b
assam,2020,50.08,src-675123e13e1b
assam,2021,62.55,src-675123e13e1b
assam,2022,64.34,src-675123e13e1b
assam,2023,64.33,src-675123e13e1b
assam,2024,65.13,src-675123e13e1b
assam,2025,54.66,src-675123e13e1b
delhi,2015,20.2,src-675123e13e1b
delhi,2016,23.51,src-675123e13e1b
delhi,2017,28.39,src-675123e13e1b
delhi,2018,29.65,src-675123e13e1b
delhi,2019,31.01,src-675123e13e1b
delhi,2020,27.42,src-675123e13e1b
delhi,2021,25.58,src-675123e13e1b
delhi,2022,19.56,src-675123e13e1b
delhi,2023,19.36,src-675123e13e1b
delhi,2024,20.05,src-675123e13e1b
delhi,2025,15.69,src-675123e13e1b
gujarat,2015,18.57,src-675123e13e1b
gujarat,2016,15.45,src-675123e13e1b
gujarat,2017,21.05,src-675123e13e1b
gujarat,2018,19.34,src-675123e13e1b
gujarat,2019,20.38,src-675123e13e1b
gujarat,2020,28.54,src-675123e13e1b
gujarat,2021,11.12,src-675123e13e1b
gujarat,2022,3.26,src-675123e13e1b
gujarat,2023,12.34,src-675123e13e1b
gujarat,2024,13.92,src-675123e13e1b
gujarat,2025,9.97,src-675123e13e1b
haryana,2015,29.03,src-675123e13e1b
haryana,2016,27.35,src-675123e13e1b
haryana,2017,22.15,src-675123e13e1b
haryana,2018,15.79,src-675123e13e1b
haryana,2019,14.64,src-675123e13e1b
haryana,2020,23.85,src-675123e13e1b
haryana,2021,3.18,src-675123e13e1b
haryana,2022,0.07,src-675123e13e1b
haryana,2023,3.62,src-675123e13e1b
haryana,2024,5.7,src-675123e13e1b
haryana,2025,4.91,src-675123e13e1b
jammu-and-kashmir,2024,0,src-675123e13e1b
karnataka,2024,9.08,src-675123e13e1b
karnataka,2025,21.15,src-675123e13e1b
kerala,2015,4.29,src-675123e13e1b
kerala,2016,1.04,src-675123e13e1b
kerala,2017,0.8,src-675123e13e1b
kerala,2018,0.08,src-675123e13e1b
kerala,2019,0.2,src-675123e13e1b
kerala,2020,1.8,src-675123e13e1b
kerala,2022,0,src-675123e13e1b
kerala,2024,0.03,src-675123e13e1b
kerala,2025,0,src-675123e13e1b
lakshadweep,2022,6.39,src-675123e13e1b
lakshadweep,2023,27.49,src-675123e13e1b
lakshadweep,2024,28.48,src-675123e13e1b
lakshadweep,2025,27.99,src-675123e13e1b
maharashtra,2015,19.64,src-675123e13e1b
maharashtra,2016,31.28,src-675123e13e1b
maharashtra,2017,32.27,src-675123e13e1b
maharashtra,2018,30.08,src-675123e13e1b
maharashtra,2019,28.39,src-675123e13e1b
maharashtra,2020,21.23,src-675123e13e1b
maharashtra,2021,21.8,src-675123e13e1b
maharashtra,2022,8.65,src-675123e13e1b
maharashtra,2023,14.1,src-675123e13e1b
maharashtra,2024,19.19,src-675123e13e1b
maharashtra,2025,18.83,src-675123e13e1b
manipur,2024,0,src-675123e13e1b
manipur,2025,0,src-675123e13e1b
puducherry,2015,79.72,src-675123e13e1b
puducherry,2016,86.7,src-675123e13e1b
puducherry,2017,79.54,src-675123e13e1b
puducherry,2018,80.74,src-675123e13e1b
puducherry,2019,89.6,src-675123e13e1b
puducherry,2020,81.54,src-675123e13e1b
puducherry,2021,88.21,src-675123e13e1b
puducherry,2022,81.87,src-675123e13e1b
puducherry,2023,78.5,src-675123e13e1b
puducherry,2024,71.99,src-675123e13e1b
puducherry,2025,64.73,src-675123e13e1b
rajasthan,2015,31.54,src-675123e13e1b
rajasthan,2016,25.06,src-675123e13e1b
rajasthan,2017,23.96,src-675123e13e1b
rajasthan,2018,17.51,src-675123e13e1b
rajasthan,2019,11.5,src-675123e13e1b
rajasthan,2020,11.37,src-675123e13e1b
rajasthan,2021,16.73,src-675123e13e1b
rajasthan,2022,16.19,src-675123e13e1b
rajasthan,2023,12.74,src-675123e13e1b
rajasthan,2024,10.29,src-675123e13e1b
rajasthan,2025,10.12,src-675123e13e1b
tamil-nadu,2015,21.89,src-675123e13e1b
tamil-nadu,2016,22.08,src-675123e13e1b
tamil-nadu,2017,22.12,src-675123e13e1b
tamil-nadu,2018,26.98,src-675123e13e1b
tamil-nadu,2019,26.59,src-675123e13e1b
tamil-nadu,2020,21.04,src-675123e13e1b
tamil-nadu,2021,16.09,src-675123e13e1b
tamil-nadu,2022,17.3,src-675123e13e1b
tamil-nadu,2023,17.77,src-675123e13e1b
tamil-nadu,2024,15.01,src-675123e13e1b
tamil-nadu,2025,13.44,src-675123e13e1b
tripura,2015,52.56,src-675123e13e1b
tripura,2016,59.23,src-675123e13e1b
tripura,2017,60.49,src-675123e13e1b
tripura,2018,66.86,src-675123e13e1b
tripura,2019,61.27,src-675123e13e1b
tripura,2020,71.02,src-675123e13e1b
tripura,2021,65.74,src-675123e13e1b
tripura,2022,75.7,src-675123e13e1b
tripura,2023,67.75,src-675123e13e1b
tripura,2024,54.53,src-675123e13e1b
tripura,2025,53.87,src-675123e13e1b
uttar-pradesh,2015,34.4,src-675123e13e1b
uttar-pradesh,2016,21.2,src-675123e13e1b
uttar-pradesh,2017,15.33,src-675123e13e1b
uttar-pradesh,2018,16.87,src-675123e13e1b
uttar-pradesh,2019,17.51,src-675123e13e1b
uttar-pradesh,2020,18.89,src-675123e13e1b
uttar-pradesh,2021,8.78,src-675123e13e1b
uttar-pradesh,2022,6.94,src-675123e13e1b
uttar-pradesh,2023,12.35,src-675123e13e1b
uttar-pradesh,2024,9.54,src-675123e13e1b
uttar-pradesh,2025,6,src-675123e13e1b
uttarakhand,2016,24.58,src-675123e13e1b
uttarakhand,2017,41.17,src-675123e13e1b
uttarakhand,2018,31.82,src-675123e13e1b
uttarakhand,2019,50.26,src-675123e13e1b
uttarakhand,2020,18.31,src-675123e13e1b
uttarakhand,2021,25.68,src-675123e13e1b
uttarakhand,2023,10.45,src-675123e13e1b
uttarakhand,2024,14.4,src-675123e13e1b
uttarakhand,2025,8.22,src-675123e13e1b
west-bengal,2024,0,src-675123e13e1b
