entity_id,time,value,source_id
andaman-and-nicobar,2015,4.15,src-37e2face8fa3
andaman-and-nicobar,2016,3.98,src-37e2face8fa3
andaman-and-nicobar,2017,4.41,src-37e2face8fa3
andaman-and-nicobar,2018,2.84,src-37e2face8fa3
andaman-and-nicobar,2019,3.16,src-37e2face8fa3
andaman-and-nicobar,2020,7.49,src-37e2face8fa3
andaman-and-nicobar,2021,2.96,src-37e2face8fa3
andaman-and-nicobar,2022,4.53,src-37e2face8fa3
andaman-and-nicobar,2023,4.34,src-37e2face8fa3
andaman-and-nicobar,2024,4.34,src-37e2face8fa3
andhra-pradesh,2015,0.35,src-37e2face8fa3
andhra-pradesh,2016,0.39,src-37e2face8fa3
andhra-pradesh,2017,0.37,src-37e2face8fa3
andhra-pradesh,2018,0.35,src-37e2face8fa3
andhra-pradesh,2019,0.75,src-37e2face8fa3
andhra-pradesh,2020,0.15,src-37e2face8fa3
andhra-pradesh,2021,0.16,src-37e2face8fa3
andhra-pradesh,2022,0.14,src-37e2face8fa3
andhra-pradesh,2023,0.15,src-37e2face8fa3
andhra-pradesh,2024,0.12,src-37e2face8fa3
arunachal-pradesh,2015,8.52,src-37e2face8fa3
arunachal-pradesh,2016,7.09,src-37e2face8fa3
arunachal-pradesh,2017,7.33,src-37e2face8fa3
arunachal-pradesh,2018,6.56,src-37e2face8fa3
arunachal-pradesh,2019,6.56,src-37e2face8fa3
arunachal-pradesh,2020,8.17,src-37e2face8fa3
arunachal-pradesh,2021,7.74,src-37e2face8fa3
arunachal-pradesh,2022,8.14,src-37e2face8fa3
arunachal-pradesh,2023,8.15,src-37e2face8fa3
arunachal-pradesh,2024,10.05,src-37e2face8fa3
assam,2015,0.85,src-37e2face8fa3
assam,2016,0.68,src-37e2face8fa3
assam,2017,0.61,src-37e2face8fa3
assam,2018,0.53,src-37e2face8fa3
assam,2019,0.45,src-37e2face8fa3
assam,2020,0.47,src-37e2face8fa3
assam,2021,0.62,src-37e2face8fa3
assam,2022,0.63,src-37e2face8fa3
assam,2023,0.07,src-37e2face8fa3
assam,2024,0.05,src-37e2face8fa3
bihar,2015,0.14,src-37e2face8fa3
bihar,2016,0.05,src-37e2face8fa3
bihar,2017,0.04,src-37e2face8fa3
bihar,2018,0.04,src-37e2face8fa3
bihar,2019,0.09,src-37e2face8fa3
bihar,2020,0.08,src-37e2face8fa3
bihar,2021,0.04,src-37e2face8fa3
bihar,2022,0.2,src-37e2face8fa3
bihar,2023,0.07,src-37e2face8fa3
bihar,2024,0.09,src-37e2face8fa3
chandigarh,2015,0,src-37e2face8fa3
chandigarh,2016,0,src-37e2face8fa3
chandigarh,2017,0,src-37e2face8fa3
chandigarh,2018,0,src-37e2face8fa3
chandigarh,2019,0,src-37e2face8fa3
chandigarh,2020,0.01,src-37e2face8fa3
chandigarh,2021,0.01,src-37e2face8fa3
chandigarh,2022,0.03,src-37e2face8fa3
chandigarh,2023,0.02,src-37e2face8fa3
chandigarh,2024,0.02,src-37e2face8fa3
chhattisgarh,2015,0.14,src-37e2face8fa3
chhattisgarh,2016,0.14,src-37e2face8fa3
chhattisgarh,2017,0.41,src-37e2face8fa3
chhattisgarh,2018,0.34,src-37e2face8fa3
chhattisgarh,2019,0.41,src-37e2face8fa3
chhattisgarh,2020,1.98,src-37e2face8fa3
chhattisgarh,2021,1.52,src-37e2face8fa3
chhattisgarh,2022,1.39,src-37e2face8fa3
chhattisgarh,2023,1.32,src-37e2face8fa3
chhattisgarh,2024,1.21,src-37e2face8fa3
delhi,2015,0,src-37e2face8fa3
delhi,2016,0,src-37e2face8fa3
delhi,2017,0,src-37e2face8fa3
delhi,2018,0.44,src-37e2face8fa3
delhi,2019,0.02,src-37e2face8fa3
delhi,2020,0.45,src-37e2face8fa3
delhi,2021,0.35,src-37e2face8fa3
delhi,2022,0.54,src-37e2face8fa3
delhi,2023,0.59,src-37e2face8fa3
delhi,2024,0.65,src-37e2face8fa3
gujarat,2015,0.05,src-37e2face8fa3
gujarat,2016,0.05,src-37e2face8fa3
gujarat,2017,0.05,src-37e2face8fa3
gujarat,2018,0.04,src-37e2face8fa3
gujarat,2019,0.09,src-37e2face8fa3
gujarat,2020,0.09,src-37e2face8fa3
gujarat,2021,0.08,src-37e2face8fa3
gujarat,2022,0.04,src-37e2face8fa3
gujarat,2023,0.07,src-37e2face8fa3
gujarat,2024,0.07,src-37e2face8fa3
haryana,2015,3.1,src-37e2face8fa3
haryana,2016,3.16,src-37e2face8fa3
haryana,2017,0.48,src-37e2face8fa3
haryana,2018,0.48,src-37e2face8fa3
haryana,2019,0.35,src-37e2face8fa3
haryana,2020,0.29,src-37e2face8fa3
haryana,2021,0.47,src-37e2face8fa3
haryana,2022,0.42,src-37e2face8fa3
haryana,2023,0.34,src-37e2face8fa3
