entity_id,time,value,source_id
andaman-and-nicobar,2015,2.09,src-1401f8087b0d
andaman-and-nicobar,2016,2,src-1401f8087b0d
andaman-and-nicobar,2017,1.8,src-1401f8087b0d
andaman-and-nicobar,2018,2.52,src-1401f8087b0d
andaman-and-nicobar,2019,0,src-1401f8087b0d
andaman-and-nicobar,2020,0,src-1401f8087b0d
andaman-and-nicobar,2021,9.26,src-1401f8087b0d
andaman-and-nicobar,2022,7.14,src-1401f8087b0d
andaman-and-nicobar,2023,6.86,src-1401f8087b0d
andaman-and-nicobar,2024,6.87,src-1401f8087b0d
andhra-pradesh,2015,0.75,src-1401f8087b0d
andhra-pradesh,2016,2.58,src-1401f8087b0d
andhra-pradesh,2017,6.26,src-1401f8087b0d
andhra-pradesh,2018,14.73,src-1401f8087b0d
andhra-pradesh,2019,16.4,src-1401f8087b0d
andhra-pradesh,2020,15.34,src-1401f8087b0d
andhra-pradesh,2021,12.03,src-1401f8087b0d
andhra-pradesh,2022,10.28,src-1401f8087b0d
andhra-pradesh,2023,9.93,src-1401f8087b0d
andhra-pradesh,2024,13.26,src-1401f8087b0d
arunachal-pradesh,2015,0,src-1401f8087b0d
arunachal-pradesh,2016,0,src-1401f8087b0d
arunachal-pradesh,2017,0,src-1401f8087b0d
arunachal-pradesh,2018,0,src-1401f8087b0d
arunachal-pradesh,2019,0,src-1401f8087b0d
arunachal-pradesh,2020,0.05,src-1401f8087b0d
arunachal-pradesh,2021,0.04,src-1401f8087b0d
arunachal-pradesh,2022,0.06,src-1401f8087b0d
arunachal-pradesh,2023,0.06,src-1401f8087b0d
arunachal-pradesh,2024,0.05,src-1401f8087b0d
assam,2015,0.47,src-1401f8087b0d
assam,2016,0.55,src-1401f8087b0d
assam,2017,0.57,src-1401f8087b0d
assam,2018,0.57,src-1401f8087b0d
assam,2019,0.48,src-1401f8087b0d
assam,2020,0.62,src-1401f8087b0d
assam,2021,1.07,src-1401f8087b0d
assam,2022,2.11,src-1401f8087b0d
assam,2023,2.64,src-1401f8087b0d
assam,2024,2.19,src-1401f8087b0d
bihar,2015,0.03,src-1401f8087b0d
bihar,2016,0.37,src-1401f8087b0d
bihar,2017,0.64,src-1401f8087b0d
bihar,2018,1.14,src-1401f8087b0d
bihar,2019,0.65,src-1401f8087b0d
bihar,2020,0.6,src-1401f8087b0d
bihar,2021,2.88,src-1401f8087b0d
bihar,2022,7.71,src-1401f8087b0d
bihar,2023,2.69,src-1401f8087b0d
bihar,2024,4.15,src-1401f8087b0d
chandigarh,2015,0.07,src-1401f8087b0d
chandigarh,2016,0.11,src-1401f8087b0d
chandigarh,2017,0.25,src-1401f8087b0d
chandigarh,2018,0.6,src-1401f8087b0d
chandigarh,2019,0.45,src-1401f8087b0d
chandigarh,2020,0.46,src-1401f8087b0d
chandigarh,2021,1.04,src-1401f8087b0d
chandigarh,2022,1.01,src-1401f8087b0d
chandigarh,2023,0.89,src-1401f8087b0d
chandigarh,2024,0.88,src-1401f8087b0d
chhattisgarh,2015,0.41,src-1401f8087b0d
chhattisgarh,2016,0.99,src-1401f8087b0d
chhattisgarh,2017,1.09,src-1401f8087b0d
chhattisgarh,2018,1.49,src-1401f8087b0d
chhattisgarh,2019,1.46,src-1401f8087b0d
chhattisgarh,2020,1.66,src-1401f8087b0d
chhattisgarh,2021,2.94,src-1401f8087b0d
chhattisgarh,2022,3.76,src-1401f8087b0d
chhattisgarh,2023,6.66,src-1401f8087b0d
chhattisgarh,2024,7.28,src-1401f8087b0d
dadra-and-nagar-haveli-and-daman-and-diu,2015,0.22,src-1401f8087b0d
dadra-and-nagar-haveli-and-daman-and-diu,2016,0.71,src-1401f8087b0d
dadra-and-nagar-haveli-and-daman-and-diu,2017,0.8,src-1401f8087b0d
dadra-and-nagar-haveli-and-daman-and-diu,2018,0.71,src-1401f8087b0d
dadra-and-nagar-haveli-and-daman-and-diu,2019,0.82,src-1401f8087b0d
dadra-and-nagar-haveli-and-daman-and-diu,2020,0.8,src-1401f8087b0d
dadra-and-nagar-haveli-and-daman-and-diu,2021,0.45,src-1401f8087b0d
dadra-and-nagar-haveli-and-daman-and-diu,2022,0.2,src-1401f8087b0d
dadra-and-nagar-haveli-and-daman-and-diu,2023,0.21,src-1401f8087b0d
dadra-and-nagar-haveli-and-daman-and-diu,2024,0.2,src-1401f8087b0d
delhi,2015,0.31,src-1401f8087b0d
delhi,2016,0.4,src-1401f8087b0d
delhi,2017,0.35,src-1401f8087b0d
delhi,2018,0.35,src-1401f8087b0d
delhi,2019,0.35,src-1401f8087b0d
delhi,2020,0.75,src-1401f8087b0d
delhi,2021,3.97,src-1401f8087b0d
delhi,2022,5.72,src-1401f8087b0d
delhi,2023,7.58,src-1401f8087b0d
delhi,2024,8.21,src-1401f8087b0d
goa,2015,1.93,src-1401f8087b0d
goa,2016,1.63,src-1401f8087b0d
goa,2017,1.97,src-1401f8087b0d
goa,2018,2.76,src-1401f8087b0d
goa,2019,4.16,src-1401f8087b0d
goa,2020,4.27,src-1401f8087b0d
goa,2021,1.34,src-1401f8087b0d
goa,2022,5.39,src-1401f8087b0d
goa,2023,5.42,src-1401f8087b0d
goa,2024,9.77,src-1401f8087b0d
gujarat,2015,1.52,src-1401f8087b0d
gujarat,2016,1.52,src-1401f8087b0d
gujarat,2017,2.59,src-1401f8087b0d
gujarat,2018,3.67,src-1401f8087b0d
gujarat,2019,4.9,src-1401f8087b0d
gujarat,2020,6.13,src-1401f8087b0d
gujarat,2021,6.68,src-1401f8087b0d
gujarat,2022,8.09,src-1401f8087b0d
gujarat,2023,7.19,src-1401f8087b0d
gujarat,2024,12.13,src-1401f8087b0d
haryana,2015,0.31,src-1401f8087b0d
haryana,2016,0.32,src-1401f8087b0d
haryana,2017,0.38,src-1401f8087b0d
haryana,2018,0.38,src-1401f8087b0d
haryana,2019,0.37,src-1401f8087b0d
haryana,2020,0.46,src-1401f8087b0d
haryana,2021,1.02,src-1401f8087b0d
haryana,2022,2.61,src-1401f8087b0d
haryana,2023,2.74,src-1401f8087b0d
haryana,2024,2.84,src-1401f8087b0d
himachal-pradesh,2015,0.41,src-1401f8087b0d
himachal-pradesh,2016,0.49,src-1401f8087b0d
himachal-pradesh,2017,0.5,src-1401f8087b0d
himachal-pradesh,2018,0.57,src-1401f8087b0d
himachal-pradesh,2019,0.65,src-1401f8087b0d
himachal-pradesh,2020,0.75,src-1401f8087b0d
himachal-pradesh,2021,0.75,src-1401f8087b0d
himachal-pradesh,2022,0.81,src-1401f8087b0d
himachal-pradesh,2023,0.81,src-1401f8087b0d
himachal-pradesh,2024,0.94,src-1401f8087b0d
jammu-and-kashmir,2019,0,src-1401f8087b0d
jammu-and-kashmir,2020,0,src-1401f8087b0d
jammu-and-kashmir,2021,0,src-1401f8087b0d
jammu-and-kashmir,2022,0,src-1401f8087b0d
jammu-and-kashmir,2023,2.33,src-1401f8087b0d
