entity_id,time,value,source_id
IN,2015,12574000,src-b222d76f33c1
IN,2016,13965000,src-b222d76f33c1
IN,2017,15506000,src-b222d76f33c1
IN,2018,17175000,src-b222d76f33c1
IN,2019,18381000,src-b222d76f33c1
IN,2020,18211000,src-b222d76f33c1
IN,2021,21636000,src-b222d76f33c1
IN,2022,24647000,src-b222d76f33c1
IN,2023,27413000,src-b222d76f33c1
IN,2024,30022000,src-b222d76f33c1
andaman-and-nicobar,2015,6000,src-b222d76f33c1
andaman-and-nicobar,2016,7000,src-b222d76f33c1
andaman-and-nicobar,2017,8000,src-b222d76f33c1
andaman-and-nicobar,2018,8000,src-b222d76f33c1
andaman-and-nicobar,2019,9000,src-b222d76f33c1
andaman-and-nicobar,2020,9000,src-b222d76f33c1
andaman-and-nicobar,2021,10000,src-b222d76f33c1
andaman-and-nicobar,2022,11000,src-b222d76f33c1
andaman-and-nicobar,2023,12000,src-b222d76f33c1
andhra-pradesh,2015,556000,src-b222d76f33c1
andhra-pradesh,2016,625000,src-b222d76f33c1
andhra-pradesh,2017,725000,src-b222d76f33c1
andhra-pradesh,2018,798000,src-b222d76f33c1
andhra-pradesh,2019,863000,src-b222d76f33c1
andhra-pradesh,2020,909000,src-b222d76f33c1
andhra-pradesh,2021,1062000,src-b222d76f33c1
andhra-pradesh,2022,1227000,src-b222d76f33c1
andhra-pradesh,2023,1316000,src-b222d76f33c1
andhra-pradesh,2024,1470000,src-b222d76f33c1
arunachal-pradesh,2015,18000,src-b222d76f33c1
arunachal-pradesh,2016,19000,src-b222d76f33c1
arunachal-pradesh,2017,22000,src-b222d76f33c1
arunachal-pradesh,2018,24000,src-b222d76f33c1
arunachal-pradesh,2019,28000,src-b222d76f33c1
arunachal-pradesh,2020,29000,src-b222d76f33c1
arunachal-pradesh,2021,31000,src-b222d76f33c1
arunachal-pradesh,2022,33000,src-b222d76f33c1
arunachal-pradesh,2023,36000,src-b222d76f33c1
arunachal-pradesh,2024,41000,src-b222d76f33c1
assam,2015,215000,src-b222d76f33c1
assam,2016,237000,src-b222d76f33c1
assam,2017,263000,src-b222d76f33c1
assam,2018,282000,src-b222d76f33c1
assam,2019,319000,src-b222d76f33c1
assam,2020,309000,src-b222d76f33c1
assam,2021,379000,src-b222d76f33c1
assam,2022,447000,src-b222d76f33c1
assam,2023,521000,src-b222d76f33c1
assam,2024,588000,src-b222d76f33c1
bihar,2015,364000,src-b222d76f33c1
bihar,2016,408000,src-b222d76f33c1
bihar,2017,458000,src-b222d76f33c1
bihar,2018,510000,src-b222d76f33c1
bihar,2019,560000,src-b222d76f33c1
bihar,2020,552000,src-b222d76f33c1
bihar,2021,641000,src-b222d76f33c1
bihar,2022,757000,src-b222d76f33c1
bihar,2023,851000,src-b222d76f33c1
bihar,2024,962000,src-b222d76f33c1
chandigarh,2015,29000,src-b222d76f33c1
chandigarh,2016,32000,src-b222d76f33c1
chandigarh,2017,34000,src-b222d76f33c1
chandigarh,2018,37000,src-b222d76f33c1
chandigarh,2019,41000,src-b222d76f33c1
chandigarh,2020,37000,src-b222d76f33c1
chandigarh,2021,43000,src-b222d76f33c1
chandigarh,2022,52000,src-b222d76f33c1
chandigarh,2023,58000,src-b222d76f33c1
chhattisgarh,2015,214000,src-b222d76f33c1
chhattisgarh,2016,242000,src-b222d76f33c1
chhattisgarh,2017,260000,src-b222d76f33c1
chhattisgarh,2018,301000,src-b222d76f33c1
chhattisgarh,2019,325000,src-b222d76f33c1
chhattisgarh,2020,336000,src-b222d76f33c1
chhattisgarh,2021,391000,src-b222d76f33c1
chhattisgarh,2022,434000,src-b222d76f33c1
chhattisgarh,2023,482000,src-b222d76f33c1
chhattisgarh,2024,533000,src-b222d76f33c1
delhi,2015,479000,src-b222d76f33c1
delhi,2016,531000,src-b222d76f33c1
delhi,2017,587000,src-b222d76f33c1
delhi,2018,648000,src-b222d76f33c1
delhi,2019,704000,src-b222d76f33c1
delhi,2020,667000,src-b222d76f33c1
delhi,2021,766000,src-b222d76f33c1
delhi,2022,885000,src-b222d76f33c1
delhi,2023,988000,src-b222d76f33c1
delhi,2024,1081000,src-b222d76f33c1
goa,2015,50000,src-b222d76f33c1
goa,2016,57000,src-b222d76f33c1
goa,2017,61000,src-b222d76f33c1
goa,2018,64000,src-b222d76f33c1
goa,2019,68000,src-b222d76f33c1
goa,2020,68000,src-b222d76f33c1
goa,2021,73000,src-b222d76f33c1
goa,2022,86000,src-b222d76f33c1
goa,2023,97000,src-b222d76f33c1
gujarat,2015,915000,src-b222d76f33c1
gujarat,2016,1039000,src-b222d76f33c1
gujarat,2017,1173000,src-b222d76f33c1
gujarat,2018,1313000,src-b222d76f33c1
gujarat,2019,1440000,src-b222d76f33c1
gujarat,2020,1438000,src-b222d76f33c1
gujarat,2021,1693000,src-b222d76f33c1
gujarat,2022,1947000,src-b222d76f33c1
gujarat,2023,2198000,src-b222d76f33c1
haryana,2015,439000,src-b222d76f33c1
haryana,2016,491000,src-b222d76f33c1
haryana,2017,545000,src-b222d76f33c1
haryana,2018,624000,src-b222d76f33c1
haryana,2019,657000,src-b222d76f33c1
haryana,2020,641000,src-b222d76f33c1
haryana,2021,768000,src-b222d76f33c1
haryana,2022,867000,src-b222d76f33c1
haryana,2023,960000,src-b222d76f33c1
haryana,2024,1067000,src-b222d76f33c1
himachal-pradesh,2015,107000,src-b222d76f33c1
himachal-pradesh,2016,117000,src-b222d76f33c1
himachal-pradesh,2017,127000,src-b222d76f33c1
himachal-pradesh,2018,139000,src-b222d76f33c1
himachal-pradesh,2019,149000,src-b222d76f33c1
himachal-pradesh,2020,143000,src-b222d76f33c1
himachal-pradesh,2021,159000,src-b222d76f33c1
himachal-pradesh,2022,180000,src-b222d76f33c1
himachal-pradesh,2023,197000,src-b222d76f33c1
himachal-pradesh,2024,213000,src-b222d76f33c1
jammu-and-kashmir,2015,111000,src-b222d76f33c1
jammu-and-kashmir,2016,118000,src-b222d76f33c1
jammu-and-kashmir,2017,130000,src-b222d76f33c1
jammu-and-kashmir,2018,149000,src-b222d76f33c1
jammu-and-kashmir,2019,154000,src-b222d76f33c1
jammu-and-kashmir,2020,155000,src-b222d76f33c1
jammu-and-kashmir,2021,176000,src-b222d76f33c1
jammu-and-kashmir,2022,196000,src-b222d76f33c1
jammu-and-kashmir,2023,217000,src-b222d76f33c1
jammu-and-kashmir,2024,239000,src-b222d76f33c1
jharkhand,2015,187000,src-b222d76f33c1
jharkhand,2016,212000,src-b222d76f33c1
jharkhand,2017,242000,src-b222d76f33c1
jharkhand,2018,279000,src-b222d76f33c1
jharkhand,2019,283000,src-b222d76f33c1
jharkhand,2020,275000,src-b222d76f33c1
jharkhand,2021,349000,src-b222d76f33c1
jharkhand,2022,381000,src-b222d76f33c1
jharkhand,2023,425000,src-b222d76f33c1
jharkhand,2024,472000,src-b222d76f33c1
karnataka,2015,943000,src-b222d76f33c1
karnataka,2016,1083000,src-b222d76f33c1
karnataka,2017,1199000,src-b222d76f33c1
karnataka,2018,1339000,src-b222d76f33c1
karnataka,2019,1477000,src-b222d76f33c1
karnataka,2020,1508000,src-b222d76f33c1
karnataka,2021,1839000,src-b222d76f33c1
karnataka,2022,2127000,src-b222d76f33c1
karnataka,2023,2347000,src-b222d76f33c1
karnataka,2024,2629000,src-b222d76f33c1
kerala,2015,509000,src-b222d76f33c1
kerala,2016,570000,src-b222d76f33c1
kerala,2017,635000,src-b222d76f33c1
kerala,2018,696000,src-b222d76f33c1
kerala,2019,730000,src-b222d76f33c1
kerala,2020,686000,src-b222d76f33c1
kerala,2021,823000,src-b222d76f33c1
kerala,2022,928000,src-b222d76f33c1
kerala,2023,1014000,src-b222d76f33c1
kerala,2024,1116000,src-b222d76f33c1
ladakh,2022,6000,src-b222d76f33c1
ladakh,2023,7000,src-b222d76f33c1
madhya-pradesh,2015,508000,src-b222d76f33c1
madhya-pradesh,2016,608000,src-b222d76f33c1
madhya-pradesh,2017,683000,src-b222d76f33c1
madhya-pradesh,2018,784000,src-b222d76f33c1
madhya-pradesh,2019,870000,src-b222d76f33c1
madhya-pradesh,2020,894000,src-b222d76f33c1
madhya-pradesh,2021,1057000,src-b222d76f33c1
madhya-pradesh,2022,1172000,src-b222d76f33c1
madhya-pradesh,2023,1287000,src-b222d76f33c1
madhya-pradesh,2024,1435000,src-b222d76f33c1
maharashtra,2015,1720000,src-b222d76f33c1
maharashtra,2016,1908000,src-b222d76f33c1
maharashtra,2017,2064000,src-b222d76f33c1
maharashtra,2018,2217000,src-b222d76f33c1
maharashtra,2019,2351000,src-b222d76f33c1
maharashtra,2020,2332000,src-b222d76f33c1
maharashtra,2021,2792000,src-b222d76f33c1
maharashtra,2022,3202000,src-b222d76f33c1
maharashtra,2023,3543000,src-b222d76f33c1
maharashtra,2024,3931000,src-b222d76f33c1
manipur,2015,19000,src-b222d76f33c1
manipur,2016,20000,src-b222d76f33c1
manipur,2017,25000,src-b222d76f33c1
manipur,2018,26000,src-b222d76f33c1
manipur,2019,28000,src-b222d76f33c1
manipur,2020,28000,src-b222d76f33c1
manipur,2021,33000,src-b222d76f33c1
manipur,2022,37000,src-b222d76f33c1
manipur,2023,42000,src-b222d76f33c1
meghalaya,2015,23000,src-b222d76f33c1
meghalaya,2016,25000,src-b222d76f33c1
meghalaya,2017,27000,src-b222d76f33c1
meghalaya,2018,30000,src-b222d76f33c1
meghalaya,2019,32000,src-b222d76f33c1
meghalaya,2020,31000,src-b222d76f33c1
meghalaya,2021,37000,src-b222d76f33c1
meghalaya,2022,43000,src-b222d76f33c1
meghalaya,2023,48000,src-b222d76f33c1
meghalaya,2024,54000,src-b222d76f33c1
mizoram,2015,15000,src-b222d76f33c1
mizoram,2016,17000,src-b222d76f33c1
mizoram,2017,19000,src-b222d76f33c1
mizoram,2018,21000,src-b222d76f33c1
mizoram,2019,24000,src-b222d76f33c1
mizoram,2020,23000,src-b222d76f33c1
mizoram,2021,26000,src-b222d76f33c1
mizoram,2022,29000,src-b222d76f33c1
