entity_id,time,value,source_id
IN-median,2010,7.9,src-3efef1095d49
IN-median,2011,8.71,src-3efef1095d49
IN-median,2012,8.25,src-3efef1095d49
IN-median,2013,7.13,src-3efef1095d49
IN-median,2014,7.29,src-3efef1095d49
IN-median,2015,6.82,src-3efef1095d49
IN-median,2016,7.23,src-3efef1095d49
IN-median,2017,7.04,src-3efef1095d49
IN-median,2018,7.04,src-3efef1095d49
IN-median,2019,6.55,src-3efef1095d49
IN-median,2020,5.82,src-3efef1095d49
IN-median,2021,12.11,src-3efef1095d49
IN-median,2022,12.83,src-3efef1095d49
IN-median,2023,11.49,src-3efef1095d49
IN-pop-weighted,2010,10.73,src-3efef1095d49
IN-pop-weighted,2011,10.78,src-3efef1095d49
IN-pop-weighted,2012,10.9,src-3efef1095d49
IN-pop-weighted,2013,9.98,src-3efef1095d49
IN-pop-weighted,2014,9.91,src-3efef1095d49
IN-pop-weighted,2015,9.4,src-3efef1095d49
IN-pop-weighted,2016,9.52,src-3efef1095d49
IN-pop-weighted,2017,9.77,src-3efef1095d49
IN-pop-weighted,2018,10.15,src-3efef1095d49
IN-pop-weighted,2019,10.22,src-3efef1095d49
IN-pop-weighted,2020,8.76,src-3efef1095d49
IN-pop-weighted,2021,12.77,src-3efef1095d49
IN-pop-weighted,2022,13.48,src-3efef1095d49
IN-pop-weighted,2023,14.29,src-3efef1095d49
