entity_id,time,fuel_type,value,source_id
IN,2005,coal,399.5,src-fd152bd3c6c6
IN,2006,coal,230,src-fd152bd3c6c6
IN,2007,coal,507.5,src-fd152bd3c6c6
IN,2008,coal,375,src-fd152bd3c6c6
IN,2009,coal,307.5,src-fd152bd3c6c6
IN,2010,coal,640,src-fd152bd3c6c6
IN,2010,gas,460,src-fd152bd3c6c6
IN,2011,coal,312.5,src-fd152bd3c6c6
IN,2012,coal,466.5,src-fd152bd3c6c6
IN,2013,coal,187.5,src-fd152bd3c6c6
IN,2014,coal,62.5,src-fd152bd3c6c6
IN,2014,gas,100,src-fd152bd3c6c6
IN,2015,coal,240,src-fd152bd3c6c6
IN,2016,coal,3765,src-fd152bd3c6c6
IN,2016,gas,105,src-fd152bd3c6c6
IN,2017,coal,2531.375,src-fd152bd3c6c6
IN,2017,gas,170,src-fd152bd3c6c6
IN,2018,coal,2179,src-fd152bd3c6c6
IN,2018,gas,30,src-fd152bd3c6c6
IN,2019,coal,2335,src-fd152bd3c6c6
IN,2020,coal,730,src-fd152bd3c6c6
IN,2020,gas,67.5,src-fd152bd3c6c6
IN,2021,coal,1580,src-fd152bd3c6c6
IN,2021,gas,24.5,src-fd152bd3c6c6
IN,2022,coal,304,src-fd152bd3c6c6
IN,2022,gas,52,src-fd152bd3c6c6
IN,2023,coal,220,src-fd152bd3c6c6
IN,2024,gas,875,src-fd152bd3c6c6
IN,2025,coal,830,src-fd152bd3c6c6
