entity_id,time,fuel_type,value,source_id
IN,2015,all,306329.85,src-4f495cca1e69
IN,2016,all,328146.51,src-4f495cca1e69
IN,2017,all,345631.45,src-4f495cca1e69
IN,2018,all,357870.57,src-4f495cca1e69
IN,2019,all,371334.09,src-4f495cca1e69
IN,2020,all,383520.83,src-4f495cca1e69
IN,2021,all,399496.62,src-4f495cca1e69
IN,2022,all,416058.91,src-4f495cca1e69
IN,2023,all,441969.55,src-4f495cca1e69
IN,2024,all,475211.8,src-4f495cca1e69
IN,2025,all,532739.71,src-4f495cca1e69
andaman-and-nicobar,2015,all,50.64,src-4f495cca1e69
andaman-and-nicobar,2015,gas,40.05,src-4f495cca1e69
andaman-and-nicobar,2015,renewable,10.59,src-4f495cca1e69
andaman-and-nicobar,2016,all,52.1,src-4f495cca1e69
andaman-and-nicobar,2016,gas,40.05,src-4f495cca1e69
andaman-and-nicobar,2016,renewable,12.05,src-4f495cca1e69
andaman-and-nicobar,2017,all,52.1,src-4f495cca1e69
andaman-and-nicobar,2017,gas,40.05,src-4f495cca1e69
andaman-and-nicobar,2017,renewable,12.05,src-4f495cca1e69
andaman-and-nicobar,2018,all,57.27,src-4f495cca1e69
andaman-and-nicobar,2018,gas,40.05,src-4f495cca1e69
andaman-and-nicobar,2018,renewable,17.22,src-4f495cca1e69
andaman-and-nicobar,2019,all,57.73,src-4f495cca1e69
andaman-and-nicobar,2019,gas,40.05,src-4f495cca1e69
andaman-and-nicobar,2019,renewable,17.68,src-4f495cca1e69
andaman-and-nicobar,2020,all,74.76,src-4f495cca1e69
andaman-and-nicobar,2020,gas,40.05,src-4f495cca1e69
andaman-and-nicobar,2020,renewable,34.71,src-4f495cca1e69
andaman-and-nicobar,2021,all,74.79,src-4f495cca1e69
andaman-and-nicobar,2021,gas,40.05,src-4f495cca1e69
andaman-and-nicobar,2021,renewable,34.739999999999995,src-4f495cca1e69
andaman-and-nicobar,2022,all,127.87,src-4f495cca1e69
andaman-and-nicobar,2022,gas,92.71,src-4f495cca1e69
andaman-and-nicobar,2022,renewable,35.16,src-4f495cca1e69
andaman-and-nicobar,2023,all,127.87,src-4f495cca1e69
andaman-and-nicobar,2023,gas,92.71,src-4f495cca1e69
andaman-and-nicobar,2023,renewable,35.16,src-4f495cca1e69
andaman-and-nicobar,2024,all,127.87,src-4f495cca1e69
andaman-and-nicobar,2024,gas,92.71,src-4f495cca1e69
andaman-and-nicobar,2024,renewable,35.16,src-4f495cca1e69
andaman-and-nicobar,2025,all,130.08,src-4f495cca1e69
andaman-and-nicobar,2025,gas,92.71,src-4f495cca1e69
andaman-and-nicobar,2025,renewable,37.37,src-4f495cca1e69
andhra-pradesh,2015,all,18488.51,src-4f495cca1e69
andhra-pradesh,2015,coal,9670,src-4f495cca1e69
andhra-pradesh,2015,gas,4917.2,src-4f495cca1e69
andhra-pradesh,2015,hydro,1100,src-4f495cca1e69
