topojson_path,geojson_path,layer_id,level,topojson_object,geojson_feature_count,topojson_feature_count,geojson_sha256,topojson_sha256,mapshaper_version,topojson_config_hash,generated_by
datasets/boundaries/in/country/all.topojson,datasets/boundaries/in/country/all.geojson,,country,country,1,1,e5321e2010d060c0bffa3b51a1e691af8fbf6063b848c02c123d61d4084cf820,f8e4420534fa0a0cf7ab5f825eb1480b8afd1a4882f225901a1a2dd9479c3656,0.7.22,de1aac303d480bc901a1eaa6ac700aa5b4f64d4853a2a1c93967ba52e75d8c02,tools.topojson.emit_receipt
datasets/boundaries/in/districts/all.topojson,datasets/boundaries/in/districts/all.geojson,,district,districts,785,785,720d823749ff87c4b5a578115618ef16a8cbf909fcc4751e9463ea3c78f9cdbb,33a6e5f6a20b3b6f2dafc27fee28228561145d37ff16986d57db2d7208d373eb,0.7.22,de1aac303d480bc901a1eaa6ac700aa5b4f64d4853a2a1c93967ba52e75d8c02,tools.topojson.emit_receipt
datasets/boundaries/in/panchayats/state=andaman-and-nicobar/district=602/all.topojson,datasets/boundaries/in/panchayats/state=andaman-and-nicobar/district=602/all.geojson,boundaries.in.panchayats.state=in_u01.district=602,panchayat,panchayats,213,213,9d1e1456bfd77b3765eed8175e094f21a13e9fa3aeb251a228cc4cff59dcc9c0,20ffb7aba914142bf8d8343904984c94b2b56316a7f0a3e16203d2a47d1e23ef,0.7.22,de1aac303d480bc901a1eaa6ac700aa5b4f64d4853a2a1c93967ba52e75d8c02,tools.topojson.emit_receipt
datasets/boundaries/in/panchayats/state=andaman-and-nicobar/district=603/all.topojson,datasets/boundaries/in/panchayats/state=andaman-and-nicobar/district=603/all.geojson,boundaries.in.panchayats.state=in_u01.district=603,panchayat,panchayats,161,161,4ed4eb480abc030ae45b885e70b48cc971951cd792c1e674b6587492d7e09c9a,60127877b346ba2fc01c895b907908df4cf7825b2627bdd358d93e441aff17cb,0.7.22,de1aac303d480bc901a1eaa6ac700aa5b4f64d4853a2a1c93967ba52e75d8c02,tools.topojson.emit_receipt
datasets/boundaries/in/panchayats/state=andaman-and-nicobar/district=632/all.topojson,datasets/boundaries/in/panchayats/state=andaman-and-nicobar/district=632/all.geojson,boundaries.in.panchayats.state=in_u01.district=632,panchayat,panchayats,377,377,0a9c30fa4af8997c7440d09e9033f65588c543e9b14d222371449878e5e74548,7ede15c6a6d1974d7393c958a1061b6aecea580068a857cc1eedbcf83613b130,0.7.22,de1aac303d480bc901a1eaa6ac700aa5b4f64d4853a2a1c93967ba52e75d8c02,tools.topojson.emit_receipt
datasets/boundaries/in/panchayats/state=andhra-pradesh/district=502/all.topojson,datasets/boundaries/in/panchayats/state=andhra-pradesh/district=502/all.geojson,boundaries.in.panchayats.state=in_s01.district=502,panchayat,panchayats,438,438,0173c06396351057b2d3322c950622536f7bdc1435f2505ac76a65c685c2f5f3,6801a7ab0b804d071eaa1895527cffe067e297bbbd6a09610f0bba212c01a6c3,0.7.22,de1aac303d480bc901a1eaa6ac700aa5b4f64d4853a2a1c93967ba52e75d8c02,tools.topojson.emit_receipt
datasets/boundaries/in/panchayats/state=andhra-pradesh/district=503/all.topojson,datasets/boundaries/in/panchayats/state=andhra-pradesh/district=503/all.geojson,boundaries.in.panchayats.state=in_s01.district=503,panchayat,panchayats,581,581,69d7f2ac70bd39ffd167863b9900344bcbd3563846cb049054b50b12f2567ed8,cf832ea2cde308cd48e75594eed4c5b2ccffadb83a2f97437a8c46cc1915d281,0.7.22,de1aac303d480bc901a1eaa6ac700aa5b4f64d4853a2a1c93967ba52e75d8c02,tools.topojson.emit_receipt
datasets/boundaries/in/panchayats/state=andhra-pradesh/district=504/all.topojson,datasets/boundaries/in/panchayats/state=andhra-pradesh/district=504/all.geojson,boundaries.in.panchayats.state=in_s01.district=504,panchayat,panchayats,570,570,a2967119b9ec0b1bef62cd1a9b9998f745efd57a45d28ec8b842ff586506dc52,ea4264cf67bbe136f11b90bc499b15fcaa6cd241119e2ebeda198145fe242596,0.7.22,de1aac303d480bc901a1eaa6ac700aa5b4f64d4853a2a1c93967ba52e75d8c02,tools.topojson.emit_receipt
datasets/boundaries/in/panchayats/state=andhra-pradesh/district=505/all.topojson,datasets/boundaries/in/panchayats/state=andhra-pradesh/district=505/all.geojson,boundaries.in.panchayats.state=in_s01.district=505,panchayat,panchayats,255,255,371a786a4fc092204642baa90c3fab2ff9f63cfeba488175c9e1b30a1cf8e2a1,75f26ef022de5f215a9efa6a263f47eb0e1dd86856dadec333765d7cad7eac4d,0.7.22,de1aac303d480bc901a1eaa6ac700aa5b4f64d4853a2a1c93967ba52e75d8c02,tools.topojson.emit_receipt
datasets/boundaries/in/panchayats/state=andhra-pradesh/district=506/all.topojson,datasets/boundaries/in/panchayats/state=andhra-pradesh/district=506/all.geojson,boundaries.in.panchayats.state=in_s01.district=506,panchayat,panchayats,216,216,62299427c59a5eaf5b0d6a5e2402206d668d5791a7495b2449e20a5f03c12a92,48a5352bf63656514c97d46a75019b8e85316209aad772ad5b59600bf8df2642,0.7.22,de1aac303d480bc901a1eaa6ac700aa5b4f64d4853a2a1c93967ba52e75d8c02,tools.topojson.emit_receipt
datasets/boundaries/in/panchayats/state=andhra-pradesh/district=510/all.topojson,datasets/boundaries/in/panchayats/state=andhra-pradesh/district=510/all.geojson,boundaries.in.panchayats.state=in_s01.district=510,panchayat,panchayats,444,444,506a02ff79478211a7c2484d9c6a13981d169c735a516f917800a52dc4f5d5e9,ce6c5037bd49f0282419256db392921a2cb15fa4ca33e504c4a616b5fc48ce9c,0.7.22,de1aac303d480bc901a1eaa6ac700aa5b4f64d4853a2a1c93967ba52e75d8c02,tools.topojson.emit_receipt
datasets/boundaries/in/panchayats/state=andhra-pradesh/district=511/all.topojson,datasets/boundaries/in/panchayats/state=andhra-pradesh/district=511/all.geojson,boundaries.in.panchayats.state=in_s01.district=511,panchayat,panchayats,431,431,15c4f719b6ff89689073eb7608532ccfdf53970ed820dfc5fbad49b5caee0a11,b6697f3b0bb19723fb71b8bfa51acf9a46b46de4845ce5c602e71107007ab32a,0.7.22,de1aac303d480bc901a1eaa6ac700aa5b4f64d4853a2a1c93967ba52e75d8c02,tools.topojson.emit_receipt
datasets/boundaries/in/panchayats/state=andhra-pradesh/district=515/all.topojson,datasets/boundaries/in/panchayats/state=andhra-pradesh/district=515/all.geojson,boundaries.in.panchayats.state=in_s01.district=515,panchayat,panchayats,598,598,b6296e1c0590b9b0232fa9c04562616f54cdf835d4ebd2de1afa071b3c249346,9bc6025a524e137098a01a4243ac39006f05fc7eb8748273d611adaf774200a5,0.7.22,de1aac303d480bc901a1eaa6ac700aa5b4f64d4853a2a1c93967ba52e75d8c02,tools.topojson.emit_receipt
