electoral_id,lgd_district_id,delim_year,boundary_snapshot,overlap_kind
IN-AC-2008-andhra-pradesh-3166,andhra-pradesh/east-godavari,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3167,andhra-pradesh/dr-b-r-ambedkar-konaseema,2008,lgd:2026-06-01,partial
IN-AC-2008-andhra-pradesh-3167,andhra-pradesh/krishna,2008,lgd:2026-06-01,partial
IN-AC-2008-andhra-pradesh-3173,andhra-pradesh/anakapalli,2008,lgd:2026-06-01,partial
IN-AC-2008-andhra-pradesh-3173,andhra-pradesh/visakhapatnam,2008,lgd:2026-06-01,partial
IN-AC-2008-andhra-pradesh-3180,andhra-pradesh/ananthapuramu,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3187,andhra-pradesh/alluri-sitharama-raju,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3188,andhra-pradesh/vizianagaram,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3190,andhra-pradesh/srikakulam,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3191,andhra-pradesh/parvathipuram-manyam,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3194,andhra-pradesh/prakasam,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3195,andhra-pradesh/bapatla,2008,lgd:2026-06-01,partial
IN-AC-2008-andhra-pradesh-3195,andhra-pradesh/guntur,2008,lgd:2026-06-01,partial
IN-AC-2008-andhra-pradesh-3215,andhra-pradesh/chittoor,2008,lgd:2026-06-01,partial
IN-AC-2008-andhra-pradesh-3215,andhra-pradesh/tirupati,2008,lgd:2026-06-01,partial
IN-AC-2008-andhra-pradesh-3222,andhra-pradesh/west-godavari,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3224,andhra-pradesh/eluru,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3237,andhra-pradesh/sri-sathya-sai,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3250,andhra-pradesh/y-s-r-kadapa,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3259,andhra-pradesh/kakinada,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3278,andhra-pradesh/kurnool,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3286,andhra-pradesh/ntr,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3338,andhra-pradesh/nandyal,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3344,andhra-pradesh/palnadu,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3355,andhra-pradesh/sri-potti-sriramulu-nellore,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-andhra-pradesh-3396,andhra-pradesh/annamayya,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1381,arunachal-pradesh/dibang-valley,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1382,arunachal-pradesh/changlang,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1383,arunachal-pradesh/tirap,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1386,arunachal-pradesh/lohit,2008,lgd:2026-06-01,partial
IN-AC-2008-arunachal-pradesh-1386,arunachal-pradesh/namsai,2008,lgd:2026-06-01,partial
IN-AC-2008-arunachal-pradesh-1387,arunachal-pradesh/lower-dibang-valley,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1388,arunachal-pradesh/anjaw,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1389,arunachal-pradesh/longding,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1394,arunachal-pradesh/upper-siang,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1395,arunachal-pradesh/east-siang,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1400,arunachal-pradesh/lower-siang,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1401,arunachal-pradesh/siang,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1408,arunachal-pradesh/west-siang,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1410,arunachal-pradesh/east-kameng,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1411,arunachal-pradesh/leparada,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1412,arunachal-pradesh/west-kameng,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1414,arunachal-pradesh/upper-subansiri,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1416,arunachal-pradesh/papum-pare,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1420,arunachal-pradesh/kurung-kumey,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1423,arunachal-pradesh/tawang,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1424,arunachal-pradesh/shi-yomi,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1428,arunachal-pradesh/pakke-kessang,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1429,arunachal-pradesh/kra-daadi,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1430,arunachal-pradesh/kamle,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-arunachal-pradesh-1439,arunachal-pradesh/lower-subansiri,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1721,assam/kamrup,2008,lgd:2026-06-01,partial
IN-AC-2008-assam-1721,assam/west-karbi-anglong,2008,lgd:2026-06-01,partial
IN-AC-2008-assam-1722,assam/karbi-anglong,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1724,assam/dima-hasao,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1726,assam/goalpara,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1727,assam/bongaigaon,2008,lgd:2026-06-01,partial
IN-AC-2008-assam-1727,assam/chirang,2008,lgd:2026-06-01,partial
IN-AC-2008-assam-1727,assam/dhubri,2008,lgd:2026-06-01,partial
IN-AC-2008-assam-1727,assam/kokrajhar,2008,lgd:2026-06-01,partial
IN-AC-2008-assam-1728,assam/barpeta,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1729,assam/bajali,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1732,assam/nalbari,2008,lgd:2026-06-01,partial
IN-AC-2008-assam-1732,assam/sonitpur,2008,lgd:2026-06-01,partial
IN-AC-2008-assam-1744,assam/south-salmara-mancachar,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1746,assam/dibrugarh,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1747,assam/tinsukia,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1758,assam/kamrup-metro,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1766,assam/jorhat,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1767,assam/charaideo,2008,lgd:2026-06-01,partial
IN-AC-2008-assam-1767,assam/sivasagar,2008,lgd:2026-06-01,partial
IN-AC-2008-assam-1775,assam/marigaon,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1776,assam/golaghat,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1780,assam/nagaon,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1785,assam/hailakandi,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1788,assam/cachar,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1794,assam/baksa,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1801,assam/udalguri,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1802,assam/tamulpur,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1804,assam/lakhimpur,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1805,assam/dhemaji,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1809,assam/majuli,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1812,assam/darrang,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-assam-1823,assam/hojai,2008,lgd:2026-06-01,partial
IN-AC-2008-assam-1823,assam/sribhumi,2008,lgd:2026-06-01,partial
IN-AC-2008-assam-1839,assam/biswanath,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1107,bihar/araria,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1113,bihar/bhojpur,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1120,bihar/aurangabad,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1121,bihar/gaya,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1126,bihar/banka,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1131,bihar/bhagalpur,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1132,bihar/begusarai,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1145,bihar/buxar,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1147,bihar/rohtas,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1150,bihar/kaimur-bhabua,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1151,bihar/darbhanga,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1163,bihar/gopalganj,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1169,bihar/vaishali,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1175,bihar/arwal,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1177,bihar/jehanabad,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1181,bihar/jamui,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1184,bihar/sheikhpura,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1186,bihar/munger,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1187,bihar/madhubani,2008,lgd:2026-06-01,wholly_inside
