holder_id,person_name,party_id
a-k-antony,A. K. Antony,parties.IN.INC
a-revanth-reddy,A. Revanth Reddy,parties.IN.INC
ajit-jogi,Ajit Jogi,parties.IN.INC
akhilesh-yadav,Akhilesh Yadav,
amarinder-singh,Amarinder Singh,parties.IN.INC
anandiben-patel,Anandiben Patel,parties.IN.BJP
arjun-munda,Arjun Munda,parties.IN.BJP
arvind-kejriwal,Arvind Kejriwal,
ashok-chavan,Ashok Chavan,parties.IN.INC
ashok-gehlot,Ashok Gehlot,parties.IN.INC
atishi,Atishi,
b-b-lyngdoh,B. B. Lyngdoh,
b-s-yediyurappa,B. S. Yediyurappa,parties.IN.BJP
babulal-gaur,Babulal Gaur,parties.IN.BJP
babulal-marandi,Babulal Marandi,parties.IN.BJP
banarsi-das-gupta,Banarsi Das Gupta,
bansi-lal,Bansi Lal,
basavaraj-bommai,Basavaraj Bommai,parties.IN.BJP
beant-singh,Beant Singh,parties.IN.INC
bhagat-singh-koshyari,Bhagat Singh Koshyari,parties.IN.BJP
bhagwant-mann,Bhagwant Mann,
bhairon-singh-shekhawat,Bhairon Singh Shekhawat,parties.IN.BJP
bhajan-lal,Bhajan Lal,parties.IN.INC
bhajan-lal-sharma,Bhajan Lal Sharma,parties.IN.BJP
bhumidhar-barman,Bhumidhar Barman,parties.IN.INC
bhupendra-patel,Bhupendra Patel,parties.IN.BJP
bhupesh-baghel,Bhupesh Baghel,parties.IN.INC
bhupinder-singh-hooda,Bhupinder Singh Hooda,parties.IN.INC
bhuvan-chandra-khanduri,Bhuvan Chandra Khanduri,parties.IN.BJP
biju-patnaik,Biju Patnaik,
biplab-kumar-deb,Biplab Kumar Deb,parties.IN.BJP
buddhadeb-bhattacharjee,Buddhadeb Bhattacharjee,parties.IN.CPIM
champai-soren,Champai Soren,
charanjit-singh-channi,Charanjit Singh Channi,parties.IN.INC
chhabildas-mehta,Chhabildas Mehta,parties.IN.INC
chimanbhai-patel,Chimanbhai Patel,parties.IN.INC
churchill-alemao,Churchill Alemao,
conrad-sangma,Conrad Sangma,
d-d-lapang,D. D. Lapang,parties.IN.INC
d-ramachandran,D. Ramachandran,
d-v-sadananda-gowda,D. V. Sadananda Gowda,parties.IN.BJP
devendra-fadnavis,Devendra Fadnavis,parties.IN.BJP
devi-lal,Devi Lal,
dharam-singh,Dharam Singh,parties.IN.INC
digambar-kamat,Digambar Kamat,parties.IN.INC
digvijaya-singh,Digvijaya Singh,parties.IN.INC
dilip-parikh,Dilip Parikh,
donkupar-roy,Donkupar Roy,
dorjee-khandu,Dorjee Khandu,parties.IN.INC
dr-a-p-j-abdul-kalam,DR. A.P.J. Abdul Kalam,
dr-fakhruddin-ali-ahmed,Dr. Fakhruddin Ali Ahmed,
dr-rajendra-prasad,Dr. Rajendra Prasad,
dr-sarvepalli-radhakrishnan,Dr. Sarvepalli Radhakrishnan,
dr-shankar-dayal-sharma,Dr Shankar Dayal Sharma,
dr-shanker-dayal-sharma,Dr. Shanker Dayal Sharma,
dr-zakir-husain,Dr. Zakir Husain,
dr-zakir-hussain,Dr. Zakir Hussain,
e-k-mawlong,E. K. Mawlong,
e-k-nayanar,E. K. Nayanar,parties.IN.CPIM
edappadi-k-palaniswami,Edappadi K. Palaniswami,parties.IN.AIADMK
eknath-shinde,Eknath Shinde,
farooq-abdullah,Farooq Abdullah,
flinder-anderson-khonglam,Flinder Anderson Khonglam,
francisco-sardinha,Francisco Sardinha,parties.IN.INC
gegong-apang,Gegong Apang,parties.IN.INC
ghulam-nabi-azad,Ghulam Nabi Azad,parties.IN.INC
giani-zail-singh,Giani Zail Singh,
giridhar-gamang,Giridhar Gamang,parties.IN.INC
h-d-deve-gowda,H. D. Deve Gowda,
h-d-kumaraswamy,H. D. Kumaraswamy,
harcharan-singh-brar,Harcharan Singh Brar,parties.IN.INC
harish-rawat,Harish Rawat,parties.IN.INC
hemananda-biswal,Hemananda Biswal,parties.IN.INC
hemant-soren,Hemant Soren,
himanta-biswa-sarma,Himanta Biswa Sarma,parties.IN.BJP
hiteswar-saikia,Hiteswar Saikia,parties.IN.INC
hukam-singh,Hukam Singh,
j-b-patnaik,J. B. Patnaik,parties.IN.INC
j-d-rymbai,J. D. Rymbai,
j-h-patel,J. H. Patel,
j-jayalalithaa,J. Jayalalithaa,parties.IN.AIADMK
jagadish-shettar,Jagadish Shettar,parties.IN.BJP
jagdambika-pal,Jagdambika Pal,
jai-ram-thakur,Jai Ram Thakur,parties.IN.BJP
jarbom-gamlin,Jarbom Gamlin,parties.IN.INC
jitan-ram-manjhi,Jitan Ram Manjhi,
jyoti-basu,Jyoti Basu,parties.IN.CPIM
k-chandrashekar-rao,K. Chandrashekar Rao,
k-karunakaran,K. Karunakaran,parties.IN.INC
k-l-chishi,K. L. Chishi,
k-rosaiah,K. Rosaiah,parties.IN.INC
kalikho-pul,Kalikho Pul,
kalyan-singh,Kalyan Singh,parties.IN.BJP
kamal-nath,Kamal Nath,parties.IN.INC
keshubhai-patel,Keshubhai Patel,parties.IN.BJP
kotla-vijaya-bhaskara-reddy,Kotla Vijaya Bhaskara Reddy,parties.IN.INC
lal-thanhawla,Lal Thanhawla,parties.IN.INC
lalduhoma,Lalduhoma,
lalu-prasad-yadav,Lalu Prasad Yadav,
laxmikant-parsekar,Laxmikant Parsekar,parties.IN.BJP
luis-proto-barbosa,Luis Proto Barbosa,
luizinho-faleiro,Luizinho Faleiro,parties.IN.INC
m-k-stalin,M. K. Stalin,parties.IN.DMK
m-karunanidhi,M. Karunanidhi,parties.IN.DMK
m-veerappa-moily,M. Veerappa Moily,parties.IN.INC
madan-lal-khurana,Madan Lal Khurana,parties.IN.BJP
madhu-koda,Madhu Koda,
mamata-banerjee,Mamata Banerjee,parties.IN.AITC
manik-saha,Manik Saha,parties.IN.BJP
manik-sarkar,Manik Sarkar,parties.IN.CPIM
manohar-joshi,Manohar Joshi,
manohar-lal-khattar,Manohar Lal Khattar,parties.IN.BJP
manohar-parrikar,Manohar Parrikar,parties.IN.BJP
marri-chenna-reddy,Marri Chenna Reddy,parties.IN.INC
mayawati,Mayawati,
mehbooba-mufti,Mehbooba Mufti,
mohan-charan-majhi,Mohan Charan Majhi,parties.IN.BJP
mohan-yadav,Mohan Yadav,parties.IN.BJP
mufti-mohammad-sayeed,Mufti Mohammad Sayeed,
mukul-sangma,Mukul Sangma,parties.IN.INC
mukut-mithi,Mukut Mithi,parties.IN.INC
mulayam-singh-yadav,Mulayam Singh Yadav,
n-biren-singh,N. Biren Singh,parties.IN.BJP
n-chandrababu-naidu,N. Chandrababu Naidu,
n-janardhan-reddy,N. Janardhan Reddy,parties.IN.INC
n-kiran-kumar-reddy,N. Kiran Kumar Reddy,parties.IN.INC
n-rangaswamy,N. Rangaswamy,
n-t-rama-rao,N. T. Rama Rao,
nabam-tuki,Nabam Tuki,parties.IN.INC
nar-bahadur-bhandari,Nar Bahadur Bhandari,
narayan-datt-tiwari,Narayan Datt Tiwari,parties.IN.INC
narayan-rane,Narayan Rane,
narendra-modi,Narendra Modi,parties.IN.BJP
naveen-patnaik,Naveen Patnaik,
nayab-singh-saini,Nayab Singh Saini,parties.IN.BJP
neiphiu-rio,Neiphiu Rio,
nitish-kumar,Nitish Kumar,
nityanand-swami,Nityanand Swami,parties.IN.BJP
o-panneerselvam,O. Panneerselvam,parties.IN.AIADMK
okram-ibobi-singh,Okram Ibobi Singh,parties.IN.INC
om-prakash-chautala,Om Prakash Chautala,
omar-abdullah,Omar Abdullah,
oommen-chandy,Oommen Chandy,parties.IN.INC
p-shanmugam,P. Shanmugam,
parkash-singh-badal,Parkash Singh Badal,
pawan-kumar-chamling,Pawan Kumar Chamling,
pema-khandu,Pema Khandu,parties.IN.BJP
pinarayi-vijayan,Pinarayi Vijayan,parties.IN.CPIM
prafulla-kumar-mahanta,Prafulla Kumar Mahanta,parties.IN.AGP
pramod-sawant,Pramod Sawant,parties.IN.BJP
pratapsingh-rane,Pratapsingh Rane,parties.IN.INC
prem-kumar-dhumal,Prem Kumar Dhumal,parties.IN.BJP
prem-singh-tamang,Prem Singh Tamang,
prithviraj-chavan,Prithviraj Chavan,parties.IN.INC
pushkar-singh-dhami,Pushkar Singh Dhami,parties.IN.BJP
r-k-dorendro-singh,R. K. Dorendro Singh,parties.IN.INC
r-k-ranbir-singh,R. K. Ranbir Singh,
r-v-janakiraman,R. V. Janakiraman,
rabri-devi,Rabri Devi,parties.IN.RJD
radhabinod-koijam,Radhabinod Koijam,
raghubar-das,Raghubar Das,parties.IN.BJP
rajinder-kaur-bhattal,Rajinder Kaur Bhattal,parties.IN.INC
rajnath-singh,Rajnath Singh,parties.IN.BJP
ram-prakash-gupta,Ram Prakash Gupta,parties.IN.BJP
raman-singh,Raman Singh,parties.IN.BJP
ramesh-pokhriyal,Ramesh Pokhriyal,parties.IN.BJP
ravi-s-naik,Ravi S. Naik,parties.IN.INC
rekha-gupta,Rekha Gupta,parties.IN.BJP
rishang-keishing,Rishang Keishing,parties.IN.INC
s-bangarappa,S. Bangarappa,parties.IN.INC
s-c-jamir,S. C. Jamir,parties.IN.INC
s-c-marak,S. C. Marak,parties.IN.INC
s-m-krishna,S. M. Krishna,parties.IN.INC
sahib-singh-verma,Sahib Singh Verma,parties.IN.BJP
sanchaman-limboo,Sanchaman Limboo,
sarbananda-sonowal,Sarbananda Sonowal,parties.IN.BJP
sh-b-d-jatti,Sh. B.D. Jatti,
sh-bhairon-singh-shekhawat,Sh. Bhairon Singh Shekhawat,
sh-gopal-swarup-pathak,Sh. Gopal Swarup Pathak,
sh-k-r-narayanan,Sh. K.R. Narayanan,
sh-krishan-kant,Sh. Krishan Kant,
sh-m-hamid-ansari,Sh. M. Hamid Ansari,
sh-m-hidayatullah,Sh. M. Hidayatullah,
sh-r-venkataraman,Sh. R. Venkataraman,
sh-v-v-giri,Sh. V.V. Giri,
shankersinh-vaghela,Shankersinh Vaghela,
shanta-kumar,Shanta Kumar,parties.IN.BJP
sharad-pawar,Sharad Pawar,parties.IN.INC
sheila-dikshit,Sheila Dikshit,parties.IN.INC
shibu-soren,Shibu Soren,
shivraj-singh-chouhan,Shivraj Singh Chouhan,parties.IN.BJP
shri-c-p-radhakrishnan,Shri C. P. Radhakrishnan,
shri-jagdeep-dhankhar,Shri Jagdeep Dhankhar,
shri-k-r-narayanan,Shri K. R. Narayanan,
shri-m-venkaiah-naidu,Shri M. Venkaiah Naidu,
shri-neelam-sanjiva-reddy,Shri Neelam Sanjiva Reddy,
shri-pranab-mukherjee,Shri Pranab Mukherjee,
shri-r-venkataraman,Shri R Venkataraman,
shri-ram-nath-kovind,Shri Ram Nath Kovind,
shri-varahagiri-venkata-giri,Shri Varahagiri Venkata Giri,
shurhozelie-liezietsu,Shurhozelie Liezietsu,
siddaramaiah,Siddaramaiah,parties.IN.INC
smt-droupadi-murmu,Smt. Droupadi Murmu,
smt-pratibha-devisingh-patil,Smt Pratibha Devisingh Patil,
sudhakarrao-naik,Sudhakarrao Naik,parties.IN.INC
sudhir-ranjan-majumdar,Sudhir Ranjan Majumdar,parties.IN.INC
sukhvinder-singh-sukhu,Sukhvinder Singh Sukhu,parties.IN.INC
sunderlal-patwa,Sunderlal Patwa,parties.IN.BJP
suresh-mehta,Suresh Mehta,parties.IN.BJP
sushil-kumar-shinde,Sushil Kumar Shinde,parties.IN.INC
sushma-swaraj,Sushma Swaraj,parties.IN.BJP
t-r-zeliang,T. R. Zeliang,
tarun-gogoi,Tarun Gogoi,parties.IN.INC
tirath-singh-rawat,Tirath Singh Rawat,parties.IN.BJP
trivendra-singh-rawat,Trivendra Singh Rawat,parties.IN.BJP
uddhav-thackeray,Uddhav Thackeray,
uma-bharti,Uma Bharti,parties.IN.BJP
v-narayanasamy,V. Narayanasamy,parties.IN.INC
v-s-achuthanandan,V. S. Achuthanandan,parties.IN.CPIM
v-vaithilingam,V. Vaithilingam,parties.IN.INC
vamuzo-phesao,Vamuzo Phesao,
vasundhara-raje,Vasundhara Raje,parties.IN.BJP
veerendra-patil,Veerendra Patil,parties.IN.INC
vijay-bahuguna,Vijay Bahuguna,parties.IN.INC
vijay-rupani,Vijay Rupani,parties.IN.BJP
vilasrao-deshmukh,Vilasrao Deshmukh,parties.IN.INC
virbhadra-singh,Virbhadra Singh,parties.IN.INC
vishnu-deo-sai,Vishnu Deo Sai,parties.IN.BJP
w-nipamacha-singh,W. Nipamacha Singh,
wilfred-de-souza,Wilfred de Souza,parties.IN.INC
y-s-jagan-mohan-reddy,Y. S. Jagan Mohan Reddy,
y-s-rajasekhara-reddy,Y. S. Rajasekhara Reddy,parties.IN.INC
yogi-adityanath,Yogi Adityanath,parties.IN.BJP
zoramthanga,Zoramthanga,
