topic_id,artifact_kind,artifact_id,display,is_default,featured,scope,peer_set_default_override,in_topic_order
agriculture,indicator,agriculture/district_livestock_owner_reg_count,,false,false,national,,3
agriculture,indicator,agriculture/livestock_naip_iv_calves_born,,false,false,state,,6
agriculture,indicator,agriculture/livestock_naip_iv_farmers_benefitted,,false,false,state,,7
agriculture,indicator,agriculture/livestock_naip_iv_inseminations,,false,false,state,,4
agriculture,indicator,agriculture/livestock_naip_iv_pregnancy_diagnoses,,false,false,state,,5
agriculture,indicator,agriculture/pashu_aadhaar_count_cattle,,true,true,national,,1
agriculture,indicator,agriculture/state_livestock_owner_reg_count,,false,false,state,,2
demography,indicator,demography/state_population_lakhs,,true,true,state,,1
economy,indicator,economy/gdp_inr_crore,,false,true,national,,7
economy,indicator,economy/gva_by_industry_constant_inr_crore,,false,false,national,,9
economy,indicator,economy/iip_index,,false,false,national,,8
economy,indicator,economy/india_external_balance_inr_crore,,false,false,national,,10
economy,indicator,economy/nsdp_inr_crore,,false,false,state,,4
economy,indicator,economy/per_capita_nsdp_constant_inr,,false,true,state,,5
economy,indicator,economy/per_capita_nsdp_current_inr,,false,false,state,,6
economy,indicator,economy/sectoral_gva_inr_crore,,false,false,state,,2
economy,indicator,economy/state_gdp_constant_2011_12_inr_lakh_crore,,true,true,state,,1
economy,indicator,economy/state_per_capita_consumption_inr,,false,true,state,,3
elections,election,,Latest assembly election,false,false,state,,1
energy,indicator,energy/state_atc_losses_pct,,false,true,state,,4
energy,indicator,energy/state_electricity_generation_by_source_gwh,,false,true,state,,2
energy,indicator,energy/state_installed_capacity_by_source_mw,,false,true,state,,3
energy,indicator,energy/state_per_capita_electricity_consumption_kwh,,true,true,state,,1
energy,indicator,energy/state_rpo_compliance_pct,,false,true,state,,5
environment,indicator,environment/india_ghg_emissions_by_subsector_ggco2e,,false,true,national,,2
environment,indicator,environment/india_ghg_emissions_mtco2e_by_sector,,true,true,national,,1
environment,indicator,environment/state_no2_annual_mean_ug_m3,,false,true,state,,7
environment,indicator,environment/state_pm10_annual_mean_ug_m3,,false,true,state,,6
environment,indicator,environment/state_pm25_annual_mean_ug_m3,,false,true,state,,5
environment,indicator,environment/state_power_sector_co2_emissions_mtco2,,false,true,state,,3
environment,indicator,environment/state_so2_annual_mean_ug_m3,,false,true,state,,8
environment,indicator,environment/state_thermal_fgd_installed_share_pct,,false,true,state,,4
fiscal,indicator,energy/state_acs_arr_gap_inr_per_kwh,,false,false,state,,12
fiscal,indicator,fiscal/net_transfers_from_centre,,false,true,national,all,2
fiscal,indicator,fiscal/outstanding_debt_pct_gsdp,,true,true,national,,1
fiscal,indicator,fiscal/state_external_debt_inr_crore,,false,false,national,,11
fiscal,indicator,fiscal/state_grants_in_aid_inr_crore,,false,false,national,,8
fiscal,indicator,fiscal/state_non_tax_revenue_inr_crore,,false,false,national,,6
fiscal,indicator,fiscal/state_own_tax_revenue_inr_crore,,false,false,national,,5
fiscal,indicator,fiscal/state_pension_expenditure_inr_crore,,false,false,national,,10
fiscal,indicator,fiscal/state_revenue_expenditure_inr_crore,,false,false,national,,9
fiscal,indicator,fiscal/state_share_central_taxes_inr_crore,,false,false,national,,7
fiscal,indicator,fiscal/states_combined_gross_fiscal_deficit,,false,true,national,,3
fiscal,indicator,fiscal/union_gross_fiscal_deficit,,false,true,national,,4
prices,indicator,prices/cpi_inflation_pct,,true,true,national,,1
