indicator_id,name,concept_id,unit,derivation,topic,source_id,update_period_days,time_min,time_max,entity_kinds
ac-candidates-total,Candidates contested,candidates-contested,candidates,,elections,,365,,,
ac-effective-candidates-laakso,Effective candidates,effective-candidates,count,,elections,,365,,,
ac-margin-pct,Margin %,margin,%,,elections,,365,,,
ac-margin-votes,Margin,margin-absolute,votes,,elections,,365,,,
ac-nota-pct,NOTA share,nota-share,%,,elections,,365,,,
ac-nota-votes,NOTA votes,nota-votes,votes,,elections,,365,,,
ac-others-pct,Others (% share),others-share,%,,elections,,365,,,
ac-others-votes,Others (votes),others-votes,votes,,elections,,365,,,
ac-total-electors,Electors,electors,persons,,elections,,365,,,
ac-turnout-pct,Turnout,turnout,%,,elections,,365,,,
ac-votes-polled,Votes polled,votes-polled,votes,,elections,,365,,,
ac-winner-candidate-id,Winner,winner,entity_id,,elections,,365,,,
ac-winner-party-id,Winning party,winning-party-ac,entity_id,,elections,,365,,,
acs-arr-gap-inr-per-kwh,ACS-ARR gap,acs-arr-gap,â‚¹/kWh,,energy,src-bb1d7bec8b34,365,,,
atc-losses-pct,AT&C losses,at-c-losses,%,,energy,src-bb1d7bec8b34,365,,,
bio-energy-potential-mw,Bio-energy potential,bio-energy-potential,MW,Sum of the biomass and cogeneration-bagasse potential streams per state (both are additive components of the same buildable bio-energy capacity).,energy,src-c0a10bb04862,365,2025,2025,country state
candidate-rank,Rank,rank,rank,,elections,,365,,,
candidate-vote-share-pct,Vote share,vote-share-candidate,%,,elections,,365,,,
candidate-votes-polled,Candidate votes,candidate-votes,votes,,elections,,365,,,
coal-consumption-mt,Coal consumption,coal-consumption,Mt,,energy,src-c222a8e2cd61,365,,,
distribution-efficiency-pct,Distribution efficiency,distribution-efficiency,%,,energy,,365,,,
distribution-efficiency-pct-billing,Billing efficiency,billing-efficiency,%,,energy,src-650b1c25d1f7,365,,,
distribution-efficiency-pct-collection,Collection efficiency,collection-efficiency,%,,energy,src-650b1c25d1f7,365,,,
distribution-efficiency-pct-td-loss,T&D loss,t-d-loss,%,,energy,src-650b1c25d1f7,365,,,
effective-parties-laakso,Effective parties,effective-parties,count,,elections,,365,,,
electors-persons-by-sex,Electors by sex,electors,persons,facet(sex),elections,src-99455a24d3c4,1825,2021,2021,ac
electors-total,State electors,state-electors,persons,,elections,,365,,,
electricity-availability-mu,Power availability,power-availability,MU,,energy,src-97a3c47d092f,365,,,
electricity-generation-gwh,State generation (GWh),state-generation-gwh,GWh,,energy,src-ddbfadd51428,365,,,
electricity-generation-gwh-coal,Coal,coal,GWh,,energy,src-ddbfadd51428,365,,,
electricity-generation-gwh-gas,Gas,gas,GWh,,energy,src-ddbfadd51428,365,,,
electricity-generation-gwh-hydro,Hydro,hydro,GWh,,energy,src-ddbfadd51428,365,,,
electricity-generation-gwh-nuclear,Nuclear,nuclear,GWh,,energy,src-ddbfadd51428,365,,,
electricity-generation-gwh-renewable,Renewable,renewable,GWh,,energy,src-ddbfadd51428,365,,,
electricity-requirement-mu,Power requirement,power-requirement,MU,,energy,src-f7ce9960caba,365,,,
electricity-sales-mu,State electricity sales,state-electricity-sales,MU,,energy,src-bb1d7bec8b34,365,,,
india-final-energy-consumption-mtoe,Final energy consumption,final-energy-consumption,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-agriculture-electricity,Agriculture (electricity),agriculture-electricity,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-agriculture-gas,Agriculture (gas),agriculture-gas,mtoe,,energy,src-29ecbb6dce9d,365,,,
