election,state,body,ac_eci_no,constituency_name,electors,votes_polled,turnout_pct,rank,candidate_name,party_short,party_eci_code,votes,vote_share_pct,is_winner,is_nota,gender,age,category
AcGenApr2021,U07,AC,1,MANNADIPET,32357,28830,89.1,1,A. NAMASSIVAYAM,BJP,,14939,51.82,1,0,M,51,GEN
AcGenApr2021,U07,AC,1,MANNADIPET,32357,28830,89.1,2,A. KRISHNAN @ A.K. KUMAR,DMK,,12189,42.28,0,0,M,58,GEN
AcGenApr2021,U07,AC,1,MANNADIPET,32357,28830,89.1,3,CHITRA,NTK,,485,1.68,0,0,F,36,GEN
AcGenApr2021,U07,AC,1,MANNADIPET,32357,28830,89.1,4,P. GOPALAKRISHNAN,MNM,,238,0.83,0,0,M,39,GEN
AcGenApr2021,U07,AC,1,MANNADIPET,32357,28830,89.1,5,VEERAPPAN,IND,,182,0.63,0,0,M,51,GEN
AcGenApr2021,U07,AC,1,MANNADIPET,32357,28830,89.1,6,NOTA,NOTA,,433,1.5,0,1,,,
AcGenApr2021,U07,AC,2,THIRUBHUVANAI,32883,28808,87.61,1,P. ANGALANE,IND,,10597,36.78,1,0,M,52,SC
AcGenApr2021,U07,AC,2,THIRUBHUVANAI,32883,28808,87.61,2,B. KOBIGA,AINRC,,8238,28.6,0,0,F,39,SC
AcGenApr2021,U07,AC,2,THIRUBHUVANAI,32883,28808,87.61,3,A. MUHILAN,DMK,,7644,26.53,0,0,M,32,SC
AcGenApr2021,U07,AC,2,THIRUBHUVANAI,32883,28808,87.61,4,K. RANJIT,NTK,,588,2.04,0,0,M,25,SC
AcGenApr2021,U07,AC,2,THIRUBHUVANAI,32883,28808,87.61,5,DURAI RAMESH,MNM,,482,1.67,0,0,M,51,SC
AcGenApr2021,U07,AC,2,THIRUBHUVANAI,32883,28808,87.61,6,NOTA,NOTA,,284,0.99,0,1,,,
AcGenApr2021,U07,AC,3,OUSSUDU,32342,28947,89.5,1,AK SAI J SARAVANAN KUMAR,BJP,,14121,48.78,1,0,M,48,SC
AcGenApr2021,U07,AC,3,OUSSUDU,32342,28947,89.5,2,P. KARTHIKEYAN,INC,,12241,42.29,0,0,M,45,SC
AcGenApr2021,U07,AC,3,OUSSUDU,32342,28947,89.5,3,GEETHA PRIYA,NTK,,740,2.56,0,0,F,42,SC
AcGenApr2021,U07,AC,3,OUSSUDU,32342,28947,89.5,4,MUTHALU VENGADESAN,AMMKMNKZ,,496,1.71,0,0,M,42,SC
AcGenApr2021,U07,AC,3,OUSSUDU,32342,28947,89.5,5,N. AMBIGAPATHY,IND,,320,1.11,0,0,M,62,SC
AcGenApr2021,U07,AC,3,OUSSUDU,32342,28947,89.5,6,NOTA,NOTA,,409,1.41,0,1,,,
AcGenApr2021,U07,AC,4,MANGALAM,38007,33353,87.75,1,DJEACOUMAR .C,AINRC,,16972,50.89,1,0,M,68,GEN
AcGenApr2021,U07,AC,4,MANGALAM,38007,33353,87.75,2,SUN. KUMARAVEL,DMK,,14221,42.64,0,0,M,50,GEN
AcGenApr2021,U07,AC,4,MANGALAM,38007,33353,87.75,3,B. BHARATHKALAI,NTK,,838,2.51,0,0,F,25,SC
AcGenApr2021,U07,AC,4,MANGALAM,38007,33353,87.75,4,M. SUBRAMANI,MNM,,279,0.84,0,0,M,38,GEN
AcGenApr2021,U07,AC,4,MANGALAM,38007,33353,87.75,5,P. CANNANE,IND,,206,0.62,0,0,M,53,GEN
AcGenApr2021,U07,AC,4,MANGALAM,38007,33353,87.75,6,NOTA,NOTA,,367,1.1,0,1,,,
AcGenApr2021,U07,AC,5,VILLIANUR,42448,35266,83.08,1,R. SIVA,DMK,,19653,55.73,1,0,M,54,GEN
AcGenApr2021,U07,AC,5,VILLIANUR,42448,35266,83.08,2,S.V. SUGUMARAN,AINRC,,12703,36.02,0,0,M,55,GEN
AcGenApr2021,U07,AC,5,VILLIANUR,42448,35266,83.08,3,PRAVEENA,NTK,,1182,3.35,0,0,F,37,GEN
AcGenApr2021,U07,AC,5,VILLIANUR,42448,35266,83.08,4,A. BANUMATHI,MNM,,609,1.73,0,0,F,46,GEN
AcGenApr2021,U07,AC,5,VILLIANUR,42448,35266,83.08,5,KUMARAVEL,AMMKMNKZ,,162,0.46,0,0,M,47,GEN
AcGenApr2021,U07,AC,5,VILLIANUR,42448,35266,83.08,6,NOTA,NOTA,,478,1.36,0,1,,,
AcGenApr2021,U07,AC,6,OZHUKARAI,42027,32710,77.83,1,M. SIVASANKAR,IND,,11940,36.5,1,0,M,60,GEN
AcGenApr2021,U07,AC,6,OZHUKARAI,42027,32710,77.83,2,N.G. PANNIR SELVAM,AINRC,,11121,34.0,0,0,M,58,GEN
AcGenApr2021,U07,AC,6,OZHUKARAI,42027,32710,77.83,3,Angalane @ Deva Pozhilan,VCK,,5633,17.22,0,0,M,60,SC
AcGenApr2021,U07,AC,6,OZHUKARAI,42027,32710,77.83,4,R. Pazhanivelan,MNM,,1185,3.62,0,0,M,42,GEN
AcGenApr2021,U07,AC,6,OZHUKARAI,42027,32710,77.83,5,S. PRIYA,NTK,,1157,3.54,0,0,F,46,GEN
AcGenApr2021,U07,AC,6,OZHUKARAI,42027,32710,77.83,6,NOTA,NOTA,,444,1.36,0,1,,,
AcGenApr2021,U07,AC,7,KADIRGAMAM,34603,27005,78.04,1,K.S.P @ S. RAMESH,AINRC,,17775,65.82,1,0,M,41,GEN
AcGenApr2021,U07,AC,7,KADIRGAMAM,34603,27005,78.04,2,P. Selvanadane,INC,,5529,20.47,0,0,M,49,GEN
