election,state,body,ac_eci_no,constituency_name,electors,votes_polled,turnout_pct,rank,candidate_name,party_short,party_eci_code,votes,vote_share_pct,is_winner,is_nota,gender,age,category
AcGenFeb2023,S17,AC,1,Dimapur-I,25244,19886,78.78,1,H. Tovihoto Ayemi,BJP,,13325,67.01,1,0,M,44,ST
AcGenFeb2023,S17,AC,1,Dimapur-I,25244,19886,78.78,2,Kewekhape Therie,INC,,6366,32.01,0,0,M,69,ST
AcGenFeb2023,S17,AC,1,Dimapur-I,25244,19886,78.78,3,NOTA,NOTA,,195,0.98,0,1,,,
AcGenFeb2023,S17,AC,2,Dimapur-II (ST),58627,44854,76.51,1,Moatoshi Longkumer,NDPP,,23856,53.19,1,0,M,65,ST
AcGenFeb2023,S17,AC,2,Dimapur-II (ST),58627,44854,76.51,2,Y. Vikheho Awomi,LJPRV,,18709,41.71,0,0,M,54,ST
AcGenFeb2023,S17,AC,2,Dimapur-II (ST),58627,44854,76.51,3,S. Amento Chishi,INC,,1784,3.98,0,0,M,38,ST
AcGenFeb2023,S17,AC,2,Dimapur-II (ST),58627,44854,76.51,4,NOTA,NOTA,,505,1.13,0,1,,,
AcGenFeb2023,S17,AC,3,Dimapur-III (ST),38045,31874,83.78,1,Hekani Jakhalu,NDPP,,14395,45.16,1,0,F,48,ST
AcGenFeb2023,S17,AC,3,Dimapur-III (ST),38045,31874,83.78,2,Azheto Zhimomi,LJPRV,,12859,40.34,0,0,M,67,ST
AcGenFeb2023,S17,AC,3,Dimapur-III (ST),38045,31874,83.78,3,Lun Tungnung,IND,,2445,7.67,0,0,M,45,ST
AcGenFeb2023,S17,AC,3,Dimapur-III (ST),38045,31874,83.78,4,Kahuto Chishi Sumi,IND,,1671,5.24,0,0,M,57,ST
AcGenFeb2023,S17,AC,3,Dimapur-III (ST),38045,31874,83.78,5,Vetetso Lasuh,INC,,370,1.16,0,0,M,72,ST
AcGenFeb2023,S17,AC,3,Dimapur-III (ST),38045,31874,83.78,6,NOTA,NOTA,,134,0.42,0,1,,,
AcGenFeb2023,S17,AC,4,Ghaspani-I (ST),75372,57260,75.97,1,N. Jacob Zhimomi,BJP,,32037,55.95,1,0,M,42,ST
AcGenFeb2023,S17,AC,4,Ghaspani-I (ST),75372,57260,75.97,2,V. Phushika Aomi,IND,,11941,20.85,0,0,M,46,ST
AcGenFeb2023,S17,AC,4,Ghaspani-I (ST),75372,57260,75.97,3,Imsumongba Pongen,JD(U),,8228,14.37,0,0,M,48,ST
AcGenFeb2023,S17,AC,4,Ghaspani-I (ST),75372,57260,75.97,4,Akavi N. Zhimomi,INC,,4513,7.88,0,0,M,31,ST
AcGenFeb2023,S17,AC,4,Ghaspani-I (ST),75372,57260,75.97,5,Vikato Aye,NPF,,277,0.48,0,0,M,37,ST
AcGenFeb2023,S17,AC,4,Ghaspani-I (ST),75372,57260,75.97,6,NOTA,NOTA,,264,0.46,0,1,,,
AcGenFeb2023,S17,AC,5,Ghaspani-II (ST),29435,24539,83.37,1,Zhaleo Rio,NDPP,,11405,46.48,1,0,M,69,ST
AcGenFeb2023,S17,AC,5,Ghaspani-II (ST),29435,24539,83.37,2,Z. Kasheto Yeptho,RPPRINAT,,7230,29.46,0,0,M,48,ST
AcGenFeb2023,S17,AC,5,Ghaspani-II (ST),29435,24539,83.37,3,Kitoho S. Rotokha,LJPRV,,5793,23.61,0,0,M,49,ST
AcGenFeb2023,S17,AC,5,Ghaspani-II (ST),29435,24539,83.37,4,NOTA,NOTA,,111,0.45,0,1,,,
AcGenFeb2023,S17,AC,6,Tenning (ST),27405,22917,83.62,1,Namri Nchang,NCP,,6736,29.39,1,0,M,56,ST
AcGenFeb2023,S17,AC,6,Tenning (ST),27405,22917,83.62,2,Tarie Zeliang,NDPP,,6399,27.92,0,0,M,60,ST
