election,state,body,ac_eci_no,constituency_name,electors,votes_polled,turnout_pct,rank,candidate_name,party_short,party_eci_code,votes,vote_share_pct,is_winner,is_nota,gender,age,category
AcGenMay2016,U07,AC,1,Mannadipet,30709,27560,89.75,1,T.P.R. SELVAME,AINRC,,7679,27.86,1,0,M,44,GEN
AcGenMay2016,U07,AC,1,Mannadipet,30709,27560,89.75,2,A. KRISHNAN,DMK,,7260,26.34,0,0,M,53,GEN
AcGenMay2016,U07,AC,1,Mannadipet,30709,27560,89.75,3,MAHADEVI,ADMK,,5676,20.6,0,0,F,36,GEN
AcGenMay2016,U07,AC,1,Mannadipet,30709,27560,89.75,4,K.P.K. ARUL MURUGAN,IND,,4913,17.83,0,0,M,40,GEN
AcGenMay2016,U07,AC,1,Mannadipet,30709,27560,89.75,5,CANDANE NAARAYANASSAAMY,IND,,784,2.84,0,0,M,38,GEN
AcGenMay2016,U07,AC,1,Mannadipet,30709,27560,89.75,6,NOTA,NOTA,,316,1.15,0,1,,,
AcGenMay2016,U07,AC,2,Thirubhuvanai,30424,27150,89.24,1,B. KOBIGA,AINRC,,12143,44.73,1,0,F,34,SC
AcGenMay2016,U07,AC,2,Thirubhuvanai,30424,27150,89.24,2,P. ANGALANE,INC,,10711,39.45,0,0,M,48,SC
AcGenMay2016,U07,AC,2,Thirubhuvanai,30424,27150,89.24,3,M. SANKAR @ VADIVELAN,ADMK,,1618,5.96,0,0,M,49,SC
AcGenMay2016,U07,AC,2,Thirubhuvanai,30424,27150,89.24,4,L. KALIVARATHAN,CPM,,1484,5.47,0,0,M,69,SC
AcGenMay2016,U07,AC,2,Thirubhuvanai,30424,27150,89.24,5,S.T.PARAMASIVAM ALIAS CALE,IND,,213,0.78,0,0,M,42,SC
AcGenMay2016,U07,AC,2,Thirubhuvanai,30424,27150,89.24,6,NOTA,NOTA,,496,1.83,0,1,,,
AcGenMay2016,U07,AC,3,Oussudu,28973,26273,90.68,1,E. THEEPPAINTHAN,INC,,8675,33.02,1,0,M,51,SC
AcGenMay2016,U07,AC,3,Oussudu,28973,26273,90.68,2,SAI J SARAVANAN KUMAR,BJP,,6345,24.15,0,0,M,43,SC
AcGenMay2016,U07,AC,3,Oussudu,28973,26273,90.68,3,M. VAITHIYANATHAN,AINRC,,5687,21.65,0,0,M,52,SC
AcGenMay2016,U07,AC,3,Oussudu,28973,26273,90.68,4,P. KARTHIKEYAN,IND,,3397,12.93,0,0,M,40,SC
AcGenMay2016,U07,AC,3,Oussudu,28973,26273,90.68,5,M. SELVARASSOU,ADMK,,942,3.59,0,0,M,60,SC
AcGenMay2016,U07,AC,3,Oussudu,28973,26273,90.68,6,NOTA,NOTA,,388,1.48,0,1,,,
AcGenMay2016,U07,AC,4,Mangalam,34831,31283,89.81,1,S.V. SUGUMARAN,AINRC,,13955,44.61,1,0,M,50,GEN
AcGenMay2016,U07,AC,4,Mangalam,34831,31283,89.81,2,S. KUMARAVEL,DMK,,8392,26.83,0,0,M,45,GEN
AcGenMay2016,U07,AC,4,Mangalam,34831,31283,89.81,3,K. NATARAJAN,ADMK,,7124,22.77,0,0,M,66,GEN
AcGenMay2016,U07,AC,4,Mangalam,34831,31283,89.81,4,N. ELUMALAI,MDMK,,314,1.0,0,0,M,40,GEN
AcGenMay2016,U07,AC,4,Mangalam,34831,31283,89.81,5,M. LATCHOUMY DITE SRIVARAMANGUE,BJP,,272,0.87,0,0,F,46,GEN
AcGenMay2016,U07,AC,4,Mangalam,34831,31283,89.81,6,NOTA,NOTA,,366,1.17,0,1,,,
AcGenMay2016,U07,AC,5,Villianur,36772,31533,85.75,1,A. NAMASSIVAYAM,INC,,18009,57.11,1,0,M,47,GEN
AcGenMay2016,U07,AC,5,Villianur,36772,31533,85.75,2,JAYAKUMAR,AINRC,,9728,30.85,0,0,M,63,GEN
AcGenMay2016,U07,AC,5,Villianur,36772,31533,85.75,3,A. MOHAMAD HALID,VCK,,1598,5.07,0,0,M,36,GEN
AcGenMay2016,U07,AC,5,Villianur,36772,31533,85.75,4,V. SUBRAMANIAN,ADMK,,704,2.23,0,0,M,53,GEN
AcGenMay2016,U07,AC,5,Villianur,36772,31533,85.75,5,S. MOHANKUMAR,BJP,,361,1.14,0,0,M,41,GEN
AcGenMay2016,U07,AC,5,Villianur,36772,31533,85.75,6,NOTA,NOTA,,445,1.41,0,1,,,
AcGenMay2016,U07,AC,6,Ozhukarai,37366,30838,82.53,1,MNR. BALAN,INC,,14703,47.68,1,0,M,51,GEN
AcGenMay2016,U07,AC,6,Ozhukarai,37366,30838,82.53,2,N.G. PANNIRSELVAM,AINRC,,7596,24.63,0,0,M,54,GEN
AcGenMay2016,U07,AC,6,Ozhukarai,37366,30838,82.53,3,M. SIVASANKAR,ADMK,,3958,12.83,0,0,M,55,GEN
AcGenMay2016,U07,AC,6,Ozhukarai,37366,30838,82.53,4,T. SAMPATHKUMAR,IND,,1406,4.56,0,0,M,51,GEN
AcGenMay2016,U07,AC,6,Ozhukarai,37366,30838,82.53,5,A. DEVASAGAYAM,CPI,,1199,3.89,0,0,M,49,GEN
AcGenMay2016,U07,AC,6,Ozhukarai,37366,30838,82.53,6,NOTA,NOTA,,579,1.88,0,1,,,
AcGenMay2016,U07,AC,7,Kadirgamam,33083,27013,81.65,1,N.S.J. JAYABAL @ AYYANAR,AINRC,,11690,43.28,1,0,M,52,GEN
AcGenMay2016,U07,AC,7,Kadirgamam,33083,27013,81.65,2,S. RAMESH,IND,,7888,29.2,0,0,M,37,GEN
AcGenMay2016,U07,AC,7,Kadirgamam,33083,27013,81.65,3,A. SIVASHANMUGAM,INC,,2601,9.63,0,0,M,52,GEN
AcGenMay2016,U07,AC,7,Kadirgamam,33083,27013,81.65,4,V. MOUROUGAYAN,IND,,1538,5.69,0,0,M,49,GEN
AcGenMay2016,U07,AC,7,Kadirgamam,33083,27013,81.65,5,M.R. GOVINDAN,ADMK,,1043,3.86,0,0,M,50,GEN
AcGenMay2016,U07,AC,7,Kadirgamam,33083,27013,81.65,6,NOTA,NOTA,,897,3.32,0,1,,,
AcGenMay2016,U07,AC,8,Indira Nagar,34534,29345,84.97,1,N. RANGASAMY,AINRC,,15463,52.69,1,0,M,67,GEN
AcGenMay2016,U07,AC,8,Indira Nagar,34534,29345,84.97,2,V. AROUMOUGAM  A.K.D.,INC,,12059,41.09,0,0,M,51,GEN
AcGenMay2016,U07,AC,8,Indira Nagar,34534,29345,84.97,3,T. GUNASEGARAN,ADMK,,612,2.09,0,0,M,53,GEN
AcGenMay2016,U07,AC,8,Indira Nagar,34534,29345,84.97,4,V. MURUGAN,BJP,,228,0.78,0,0,M,50,GEN
