election,state,body,ac_eci_no,constituency_name,electors,votes_polled,turnout_pct,rank,candidate_name,party_short,party_eci_code,votes,vote_share_pct,is_winner,is_nota,gender,age,category
AcGenMay2026,S22,AC,1,GUMMIDIPOONDI,254175,232522,91.48,1,S.vijayakumar,TVK,3679,94320,40.56,1,0,,,
AcGenMay2026,S22,AC,1,GUMMIDIPOONDI,254175,232522,91.48,2,Sudhakar.v,ADMK,75,66375,28.55,0,0,,,
AcGenMay2026,S22,AC,1,GUMMIDIPOONDI,254175,232522,91.48,3,T.j.govindarajan,DMK,582,62492,26.88,0,0,,,
AcGenMay2026,S22,AC,1,GUMMIDIPOONDI,254175,232522,91.48,4,"R.sridar. B.l.,",NTK,,4756,2.05,0,0,,,
AcGenMay2026,S22,AC,1,GUMMIDIPOONDI,254175,232522,91.48,5,M.jagadeesan,BSP,,697,0.3,0,0,,,
AcGenMay2026,S22,AC,1,GUMMIDIPOONDI,254175,232522,91.48,6,NOTA,NOTA,,937,0.4,0,1,,,
AcGenMay2026,S22,AC,2,PONNERI (SC),251421,226819,90.21,1,Dr.ravi.m.s,TVK,3679,110439,48.69,1,0,,,
AcGenMay2026,S22,AC,2,PONNERI (SC),251421,226819,90.21,2,Durai Chandrasekar,INC,742,54671,24.1,0,0,,,
AcGenMay2026,S22,AC,2,PONNERI (SC),251421,226819,90.21,3,Balaraman.p,ADMK,75,51468,22.69,0,0,,,
AcGenMay2026,S22,AC,2,PONNERI (SC),251421,226819,90.21,4,Rajathi.m,NTK,,6676,2.94,0,0,,,
AcGenMay2026,S22,AC,2,PONNERI (SC),251421,226819,90.21,5,Santhoshkumar.j,BSP,,615,0.27,0,0,,,
AcGenMay2026,S22,AC,2,PONNERI (SC),251421,226819,90.21,6,NOTA,NOTA,,865,0.38,0,1,,,
AcGenMay2026,S22,AC,3,TIRUTTANI,262500,238798,90.97,1,G.hari,ADMK,75,89169,37.34,1,0,,,
AcGenMay2026,S22,AC,3,TIRUTTANI,262500,238798,90.97,2,M.sathya Kumar,TVK,3679,83376,34.91,0,0,,,
AcGenMay2026,S22,AC,3,TIRUTTANI,262500,238798,90.97,3,D.krishnamurthy,DMDK,581,54863,22.97,0,0,,,
AcGenMay2026,S22,AC,3,TIRUTTANI,262500,238798,90.97,4,Chandran .s.s,NTK,,6704,2.81,0,0,,,
AcGenMay2026,S22,AC,3,TIRUTTANI,262500,238798,90.97,5,Krishnamoorthy.m,IND,,946,0.4,0,0,,,
AcGenMay2026,S22,AC,3,TIRUTTANI,262500,238798,90.97,6,NOTA,NOTA,,1210,0.51,0,1,,,
