election,state,body,ac_eci_no,constituency_name,electors,votes_polled,turnout_pct,rank,candidate_name,party_short,party_eci_code,votes,vote_share_pct,is_winner,is_nota,gender,age,category
AcGenNov2017,S08,AC,1,Churah,68623,54005,78.7,1,HANS RAJ,BJP,,28293,52.39,1,0,M,34,SC
AcGenNov2017,S08,AC,1,Churah,68623,54005,78.7,2,SURENDER BHARDWAJ,INC,,23349,43.23,0,0,M,69,SC
AcGenNov2017,S08,AC,1,Churah,68623,54005,78.7,3,NAND KUMAR,SP,,442,0.82,0,0,M,30,SC
AcGenNov2017,S08,AC,1,Churah,68623,54005,78.7,4,DES RAJ,IND,,425,0.79,0,0,M,58,SC
AcGenNov2017,S08,AC,1,Churah,68623,54005,78.7,5,NOTA,NOTA,,505,0.94,0,1,,,
AcGenNov2017,S08,AC,2,Bharmour,71374,52383,73.39,1,JIA LAL,BJP,,25744,49.15,1,0,M,52,ST
AcGenNov2017,S08,AC,2,Bharmour,71374,52383,73.39,2,THAKUR SINGH BHARMOURI,INC,,18395,35.12,0,0,M,70,ST
AcGenNov2017,S08,AC,2,Bharmour,71374,52383,73.39,3,LALIT THAKUR,IND,,6255,11.94,0,0,M,49,ST
AcGenNov2017,S08,AC,2,Bharmour,71374,52383,73.39,4,JANAM SINGH,IND,,769,1.47,0,0,M,59,ST
AcGenNov2017,S08,AC,2,Bharmour,71374,52383,73.39,5,NOTA,NOTA,,723,1.38,0,1,,,
AcGenNov2017,S08,AC,3,Chamba,75289,55258,73.39,1,PAWAN NAYYAR,BJP,,26763,48.43,1,0,M,65,GEN
AcGenNov2017,S08,AC,3,Chamba,75289,55258,73.39,2,NEERAJ NAYAR,INC,,24884,45.03,0,0,M,46,GEN
AcGenNov2017,S08,AC,3,Chamba,75289,55258,73.39,3,DR. D. K. SONI,IND,,725,1.31,0,0,M,62,GEN
AcGenNov2017,S08,AC,3,Chamba,75289,55258,73.39,4,BAL KRISHAN CHAUHAN,IND,,649,1.17,0,0,M,69,GEN
AcGenNov2017,S08,AC,3,Chamba,75289,55258,73.39,5,PARAS RAM BHARDWAJ,BSP,,562,1.02,0,0,M,43,SC
AcGenNov2017,S08,AC,3,Chamba,75289,55258,73.39,6,NOTA,NOTA,,674,1.22,0,1,,,
AcGenNov2017,S08,AC,4,Dalhousie,66669,50500,75.75,1,ASHA KUMARI,INC,,24224,47.97,1,0,F,62,GEN
AcGenNov2017,S08,AC,4,Dalhousie,66669,50500,75.75,2,D. S. THAKUR,BJP,,23668,46.87,0,0,M,51,GEN
AcGenNov2017,S08,AC,4,Dalhousie,66669,50500,75.75,3,DHIAN SINGH,CPI,,720,1.43,0,0,M,64,GEN
AcGenNov2017,S08,AC,4,Dalhousie,66669,50500,75.75,4,VIRENDER SHARMA,RADM,,487,0.96,0,0,M,44,GEN
AcGenNov2017,S08,AC,4,Dalhousie,66669,50500,75.75,5,NOTA,NOTA,,569,1.13,0,1,,,
AcGenNov2017,S08,AC,5,Bhattiyat,71545,54367,75.99,1,BIKRAM SINGH JARYAL,BJP,,29119,53.56,1,0,M,56,ST
AcGenNov2017,S08,AC,5,Bhattiyat,71545,54367,75.99,2,KULDEEP SINGH PATHANIA,INC,,22234,40.9,0,0,M,60,GEN
AcGenNov2017,S08,AC,5,Bhattiyat,71545,54367,75.99,3,RAHUL RANPATIA,IND,,624,1.15,0,0,M,32,GEN
AcGenNov2017,S08,AC,5,Bhattiyat,71545,54367,75.99,4,NAGESH KUMAR,IND,,485,0.89,0,0,M,37,ST
