entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1967-andhra-pradesh-1,andhra-pradesh,1972,ICHAPURAM,73225,51459,70.28,UPPADA RANGABABU,parties.IN.INC,INC,26956,52.38,BENDALAM V. SHARMA,parties.IN.SWA,SWA,24503,2453,4.76,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-10,andhra-pradesh,1972,SALUR,90400,36919,40.84,MUTYALLU JANNI,parties.IN.INC,INC,24787,67.14,ANNAMARAJU S R T P S,parties.IN.BJS,BJS,12132,12655,34.28,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-100,andhra-pradesh,1972,GUNTUR I,87851,49100,55.89,VIJAYA RAMANUJAM,parties.IN.INC,INC,19223,39.15,MALLAIAH LINGAM K.,parties.IN.CPI,CPI,14921,4302,8.76,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-101,andhra-pradesh,1972,GUNTUR II,108131,68911,63.73,N. RAO VENKATA RATNAM,parties.IN.IND,IND,35103,50.94,CHEBROLU MANUMAIAH,parties.IN.INC,INC,32340,2763,4.01,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-102,andhra-pradesh,1972,MANGALAGIRI,92217,64354,69.79,SRIKRISHNA VEMULAPALLI,parties.IN.CPI,CPI,18497,28.74,GUJJULA GANGADHARA REDDI,parties.IN.IND,IND,13150,5347,8.31,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-103,andhra-pradesh,1972,TADIKONDA,87913,58942,67.05,RATTAIAH G. V.,parties.IN.INC,INC,28206,47.85,SUBBAIAH BANDLAMUDI,parties.IN.IND,IND,24711,3495,5.93,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-104,andhra-pradesh,1972,SATTENAPALLI,97512,61950,63.53,VEERANJANEYA SARMA GADA,parties.IN.INC,INC,30223,48.79,VAVILALA GOPALAKRISHNAYYA,parties.IN.IND,IND,29414,809,1.31,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-105,andhra-pradesh,1972,REDDAKURAPADU,105937,75912,71.66,PATHIMUNNISA BEGAM,parties.IN.INC,INC,45583,60.05,GANAPA RAMASWAMY REDDY,parties.IN.IND,IND,29063,16520,21.76,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-106,andhra-pradesh,1972,GURZALA,92998,53135,57.14,NAGIREDDY MANDPATI,parties.IN.CPI,CPI,29659,55.82,VENKATESWARLU KOTHA,parties.IN.INC,INC,21282,8377,15.77,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-107,andhra-pradesh,1972,MACHERLA,91858,62307,67.83,JULAKANTI NAGIREDDY,parties.IN.IND,IND,36738,58.96,VENNA LINGA REDDY,parties.IN.INC,INC,25569,11169,17.92,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-108,andhra-pradesh,1972,VINUKONDA,97250,53566,55.08,BHAVANAM JAYAPRADHA,parties.IN.INC,INC,23968,44.74,VENKATA SIVAIAH PULUPULA,parties.IN.CPI,CPI,18192,5776,10.78,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-109,andhra-pradesh,1972,NARASARAOPET,113989,68693,60.26,DONDETI KRISHNAREDDY,parties.IN.INC,INC,40564,59.05,KOTHURI VENKATESWARLU,parties.IN.SWA,SWA,25977,14587,21.23,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-11,andhra-pradesh,1972,BOBBILI,81934,59440,72.55,C V KRISHNA RAO,parties.IN.INC,INC,29925,50.34,KOLLIVENKATA KURIMINAIDU,parties.IN.IND,IND,27578,2347,3.94,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-110,andhra-pradesh,1972,CHILAKULURIPET,94832,64636,68.16,BOBBALA SATYANARAYANA,parties.IN.INC,INC,37856,58.57,KANDIMALLA BUTCHAIAH,parties.IN.SWA,SWA,26780,11076,17.14,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-111,andhra-pradesh,1972,PARCHUR,77732,61766,79.46,MADDUKURI NARAYANA RAO,parties.IN.IND,IND,31038,50.25,GADE VENKATA REDDY,parties.IN.INC,INC,30728,310,0.5,src-1b7bc1c9d39a,minor,
IN-AC-1967-andhra-pradesh-112,andhra-pradesh,1972,CHIRALA,82908,60143,72.54,KOTAIAH GUDDANTI,parties.IN.INC,INC,29476,49.01,SAJJA CHANDRA,parties.IN.IND,IND,28878,598,0.99,src-1b7bc1c9d39a,minor,
