entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-andhra-pradesh-85,andhra-pradesh,2000,85,GUDIVADAGUDIVADA,Raavi Venkateswara Rao,parties.IN.TDP,TDP,62559,64.95,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-andhra-pradesh-85,andhra-pradesh,2000,85,GUDIVADAGUDIVADA,Ramesh Sistla,parties.IN.INC,INC,30562,31.73,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-andhra-pradesh-85,andhra-pradesh,2000,85,GUDIVADAGUDIVADA,Smt. Sunkara Sri Venkata Ramamani,parties.IN.IND,IND,2400,2.49,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-andhra-pradesh-85,andhra-pradesh,2000,85,GUDIVADAGUDIVADA,Yarra Venkata Subba Rao,parties.IN.IND,IND,794,0.82,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-andhra-pradesh-204,andhra-pradesh,2000,204,CHEVELLA,Patlolla Sabitha,parties.IN.INC,INC,84448,58.68,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-andhra-pradesh-204,andhra-pradesh,2000,204,CHEVELLA,Kichennagari Laxma Reddy,parties.IN.TDP,TDP,54539,37.9,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-andhra-pradesh-204,andhra-pradesh,2000,204,CHEVELLA,Chilakamarri Narsimha,parties.IN.IND,IND,2568,1.78,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-andhra-pradesh-204,andhra-pradesh,2000,204,CHEVELLA,Harban Singh,parties.IN.IND,IND,1003,0.7,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-andhra-pradesh-204,andhra-pradesh,2000,204,CHEVELLA,Padmati Sridhar Reddy,parties.IN.IND,IND,512,0.36,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-andhra-pradesh-204,andhra-pradesh,2000,204,CHEVELLA,Venkannagari Vijaya Mohan Reddy,parties.IN.IND,IND,478,0.33,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-andhra-pradesh-204,andhra-pradesh,2000,204,CHEVELLA,Bandi Narsimuloo,parties.IN.IND,IND,364,0.25,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-andhra-pradesh-292,andhra-pradesh,2000,292,BHONGIR,Alimineti Uma Devi,parties.IN.TDP,TDP,78389,61.3,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-andhra-pradesh-292,andhra-pradesh,2000,292,BHONGIR,Chintala Venkateshwar Reddy,parties.IN.INC,INC,31901,24.94,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-andhra-pradesh-292,andhra-pradesh,2000,292,BHONGIR,Bonthala Chandra Reddy,parties.IN.CPIM,CPM,17596,13.76,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
