entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1976-andhra-pradesh-1,andhra-pradesh,2004,ICHAPURAM,130814,96109,73.47,AGARWAL NARESH KUMAR ( LALLU),parties.IN.INC,INC,51927,54.03,YAKAMBARI DAKKATA,parties.IN.TDP,TDP,44182,7745,8.06,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-10,andhra-pradesh,2004,SALUR,126838,94667,74.64,R P BHANJ DEO,parties.IN.TDP,TDP,48580,51.32,PEEDIKA RAJANNA DORA,parties.IN.INC,INC,46087,2493,2.64,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-100,andhra-pradesh,2004,GUNTUR-I,184068,107295,58.29,HAIK SUBANI,parties.IN.INC,INC,70353,65.57,IAUDDIN SM,parties.IN.TDP,TDP,34389,35964,33.52,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-101,andhra-pradesh,2004,GUNTUR-II,187633,111831,59.6,ADISETTI VENKAT RAO,parties.IN.INC,INC,50658,45.3,R T V RAO,parties.IN.TDP,TDP,35354,15304,13.69,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-102,andhra-pradesh,2004,MANGALAGIRI,157937,114410,72.44,URUGUDU HANUMANTHA RAO,parties.IN.INC,INC,41980,36.69,AMMISETTY JANAKI DEVI,parties.IN.BJP,BJP,36599,5381,4.7,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-103,andhra-pradesh,2004,TADIKONDA,148406,112743,75.97,OKKA MANIKYA VARAPRASADA RAO,parties.IN.INC,INC,63411,56.24,R PUSHPA RAJU,parties.IN.TDP,TDP,47405,16006,14.19,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-104,andhra-pradesh,2004,SATTENAPALLI,174470,128078,73.41,ERRAM VENKATESWARA REDDY,parties.IN.INC,INC,74467,58.14,ALLAM ANJI REDDY,parties.IN.TDP,TDP,50057,24410,19.06,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-105,andhra-pradesh,2004,PEDDAKURAPADU,184142,135591,73.63,ANNA LAKSHMINARAYANA,parties.IN.INC,INC,76912,56.72,EVATHI ROSAIAH DOPPALAPUDI,parties.IN.TDP,TDP,54791,22121,16.31,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-106,andhra-pradesh,2004,GURZALA,212908,145119,68.16,ANGA KRISHNA MURTHY,parties.IN.INC,INC,73358,50.55,ARAPATINENI SRINIVASARAO,parties.IN.TDP,TDP,65015,8343,5.75,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-107,andhra-pradesh,2004,MACHERLA,164721,115378,70.04,INNELLI LAKSHMA REDDY,parties.IN.INC,INC,70354,60.98,ULAKANTI BRAHMANANDA REDDY,parties.IN.TDP,TDP,39688,30666,26.58,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-108,andhra-pradesh,2004,VINUKONDA,193150,140044,72.51,AKKENA MALLIKARJUNA RAO,parties.IN.INC,INC,71979,51.4,ONUGUNTLA LEELAVATHI,parties.IN.TDP,TDP,64230,7749,5.54,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-109,andhra-pradesh,2004,NARASARAOPET,201466,145573,72.26,ASU VENKATA KRISHNA REDDY,parties.IN.INC,INC,79568,54.66,ODELA SIVA PRASADA RAO,parties.IN.TDP,TDP,64073,15495,10.65,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-11,andhra-pradesh,2004,BOBBILI,121545,99583,81.93,VENKATA SUJAY KRISHNA RANGARAO RAVU,parties.IN.INC,INC,53581,53.81,SAMBANGI VENKATA CHINA APPALA NAIDU,parties.IN.TDP,TDP,40891,12690,12.75,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-110,andhra-pradesh,2004,CHILAKALURIPET,169288,124725,73.68,ARRI RAJASHEKAR,parties.IN.IND,IND,57214,45.87,RATHIPATI PULLA RAO,parties.IN.TDP,TDP,57002,212,0.17,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-111,andhra-pradesh,2004,CHIRALA,157680,118670,75.26,OSAIAH KONIJETI,parties.IN.INC,INC,73497,61.93,ALETI RAMA RAO,parties.IN.TDP,TDP,43420,30077,25.34,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-112,andhra-pradesh,2004,PARCHUR,119965,96304,80.28,AGGUBATI VENKATESWARA RAO,parties.IN.INC,INC,54987,57.1,HENCHU GARATAIAH BACHINA,parties.IN.TDP,TDP,39441,15546,16.15,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-113,andhra-pradesh,2004,MARTUR,142477,117492,82.46,OTTIPATI RAVIKUMAR,parties.IN.INC,INC,64983,55.31,OTTIPATI NARASIMHA RAO,parties.IN.TDP,TDP,51177,13806,11.75,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-114,andhra-pradesh,2004,ADDANKI,138681,111066,80.09,ARANAM BALARAMA KRISHNA MURTHY,parties.IN.TDP,TDP,56356,50.74,AGARLAMUDI RAGHAVA RAO,parties.IN.INC,INC,53566,2790,2.51,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-115,andhra-pradesh,2004,ONGOLE,177667,123733,69.64,ALINENI SRINIVASA REDDY (VASU),parties.IN.INC,INC,72380,58.5,IDDA RAGHAVA RAO,parties.IN.TDP,TDP,48209,24171,19.54,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-116,andhra-pradesh,2004,SANTHANUTHALAPADU,159976,119290,74.57,ARA SAMBAIAH,parties.IN.INC,INC,66464,55.72,AVID RAJU PALAPARTHI,parties.IN.TDP,TDP,50829,15635,13.11,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-117,andhra-pradesh,2004,KANDUKUR,153392,127870,83.36,AHEEDHAR REDDY MANUGUNTA,parties.IN.INC,INC,67207,52.56,R DIVI SIVA RAM,parties.IN.TDP,TDP,59328,7879,6.16,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-118,andhra-pradesh,2004,KANIGIRI,142201,99075,69.67,RIGINENI THIRUPATHI NAIDU,parties.IN.INC,INC,53010,53.5,ASI REDDY MUKKU,parties.IN.TDP,TDP,43735,9275,9.36,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-119,andhra-pradesh,2004,KONDEPI,146991,122084,83.06,OTHULA RAMA RAO,parties.IN.INC,INC,64074,52.48,NJANEYULU DAMACHARLA,parties.IN.TDP,TDP,55202,8872,7.26,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-12,andhra-pradesh,2004,THERLAM,129683,105192,81.11,JAYA PRAKASH TENTU,parties.IN.TDP,TDP,56104,53.33,VASI REDDY VARADA RAMA RAO,parties.IN.INC,INC,49088,7016,6.66,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-120,andhra-pradesh,2004,CUMBUM,135131,100230,74.17,UDUMULA SRINIVASULU REDDY,parties.IN.INC,INC,52738,52.62,HEGIREDDY LINGA REDDY,parties.IN.TDP,TDP,45116,7622,7.61,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-121,andhra-pradesh,2004,DARSI,181460,131125,72.26,UCHEPALLI SUBBA REDDY,parties.IN.IND,IND,50431,38.46,ADIRI BABU RAO,parties.IN.TDP,TDP,48021,2410,1.84,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-122,andhra-pradesh,2004,MARKAPUR,166204,122964,73.98,EDDA KONDA REDDY KUNDURU,parties.IN.INC,INC,58108,47.26,ANDULA NARAYANA REDDY,parties.IN.TDP,TDP,37370,20738,16.87,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-123,andhra-pradesh,2004,GIDDALUR,122579,87767,71.6,AGADALA RAMAIAH,parties.IN.INC,INC,50987,58.09,IDATHALA SAI KALPANA,parties.IN.TDP,TDP,31505,19482,22.19,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-124,andhra-pradesh,2004,UDAYAGIRI,120191,89319,74.31,EKAPATI CHANDRASEKHAR REDDY,parties.IN.INC,INC,55076,61.66,AMBHAM VIJAYARAMI REDDY,parties.IN.TDP,TDP,32001,23075,25.83,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-125,andhra-pradesh,2004,KAVALI,163577,118179,72.25,ARVATHAMMA MAGUNTA,parties.IN.INC,INC,68167,57.68,ANAKIRAM MADALA,parties.IN.TDP,TDP,47018,21149,17.89,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-126,andhra-pradesh,2004,ALLUR,138466,110083,79.5,ATAMREDDY VISHNUVARDHAN REDDY,parties.IN.INC,INC,60760,55.19,EEDA MASTHAN RAO,parties.IN.TDP,TDP,47388,13372,12.14,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-127,andhra-pradesh,2004,KOVUR,141031,105172,74.57,OLAMREDDY SRINIVASULU REDDY,parties.IN.INC,INC,45270,43.04,ALLAPAREDDY PRASANNAKUMAR REDDY,parties.IN.TDP,TDP,44790,480,0.45,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-128,andhra-pradesh,2004,ATMAKUR,147793,119562,80.9,OMMI LAKSHMAIAH NAIDU,parties.IN.IND,IND,43347,36.25,OLLINENI KRISHNAIAH,parties.IN.BJP,BJP,38950,4397,3.67,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-129,andhra-pradesh,2004,RAPUR,176019,132912,75.51,NAM RAMA NARAYANA REDDY,parties.IN.INC,INC,67607,50.87,ELLASIRI SRINIVASULU REDDY,parties.IN.TDP,TDP,61769,5838,4.4,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-13,andhra-pradesh,2004,VUNUKURU,148593,112990,76.04,KIMIDI KALA VENKATA RAO,parties.IN.TDP,TDP,61762,54.66,PALAVALASA RAJA SEKHARAM,parties.IN.INC,INC,48876,12886,11.4,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-130,andhra-pradesh,2004,NELLORE,218351,115869,53.07,NAM VIVEKANANDA REDDY,parties.IN.INC,INC,67635,58.37,ANNAPAREDDY SURESH REDDY,parties.IN.BJP,BJP,45863,21772,18.79,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-131,andhra-pradesh,2004,SARVEPALLI,164184,133146,81.1,DALA PRABHAKAR REDDY,parties.IN.INC,INC,67783,50.91,HANDRA MOHAN REDDY SOMIREDDY,parties.IN.TDP,TDP,60158,7625,5.73,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-132,andhra-pradesh,2004,GUDUR,167337,120132,71.79,ATRA PRAKASA RAO,parties.IN.INC,INC,62809,52.28,R VUKKALA RAJESWARAMMA,parties.IN.TDP,TDP,53978,8831,7.35,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-133,andhra-pradesh,2004,SULURPET,154216,113894,73.85,ELAVALA SUBHRAMANYAM,parties.IN.INC,INC,56939,49.99,ARASA VENKATA RATNAIAH,parties.IN.TDP,TDP,48124,8815,7.74,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-134,andhra-pradesh,2004,VENKATAGIRI,147438,116450,78.98,EDURUMALLI RAJYALAKSHMI,parties.IN.INC,INC,57830,49.66,HASKARA SAIKRISHNA YACHENDRA V,parties.IN.TDP,TDP,51135,6695,5.75,src-1b7bc1c9d39a
IN-AC-1976-andhra-pradesh-135,andhra-pradesh,2004,SRI KALAHASTI,167334,128837,76.99,C V NAIDU,parties.IN.INC,INC,69262,53.76,OPALA KRISHNA REDDY BOJJALA,parties.IN.TDP,TDP,56184,13078,10.15,src-1b7bc1c9d39a
