entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-andhra-pradesh-3166,andhra-pradesh,2019,PILERU,223982,178447,79.67,CHINTHALA RAMACHANDRA REDDY,,87300,48.92,NALLARI KISHAN KUMAR REDDY,,79426,7874,4.41,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3167,andhra-pradesh,2019,PUNGANUR,229643,195868,85.29,PEDDIREDDI RAMACHANDRA REDDY,,107431,54.85,N.ANESHA REDDY,,63876,43555,22.24,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3168,andhra-pradesh,2019,CHANDRAGIRI,292162,228192,78.1,Dr.CHEVIREDDY BHASKAR REDDY,,127790,56,PULLIVARTHI VENKATA MANI PRASAD @NANI,,86035,41755,18.3,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3169,andhra-pradesh,2019,TIRUPATI,270847,180429,66.62,BHUMANA KARUNAKAR REDDY,,80544,44.64,M SUGUNA,,79836,708,0.39,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3170,andhra-pradesh,2019,TADEPALLIGUDEM,208789,167761,80.35,KOTTU SATYANARAYANA,,70741,42.17,ELI VENKATA MADHUSUDHANARAO (Nani),,54275,16466,9.82,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3171,andhra-pradesh,2019,KADIRI,240086,189980,79.13,P.V. SIDDA REDDY,,102432,53.92,KANDIKUNTA VENKATA PRASAD,,75189,27243,14.34,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3172,andhra-pradesh,2019,MADANAPALLE,246284,179830,73.02,M. Nawaz Basha,,92066,51.2,Dommalapati Ramesh,,62418,29648,16.49,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3173,andhra-pradesh,2019,URAVAKONDA,215940,186756,86.49,PAYYAVULA KESHAV,,90209,48.3,Y.VISWESWARA REDDY,,88077,2132,1.14,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3174,andhra-pradesh,2019,MANTRALAYAM,187057,159345,85.19,Y. BALANAGI REDDY,,86896,54.53,PALAKURTHI THIKKA REDDY,,63017,23879,14.98,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3175,andhra-pradesh,2019,TADIPATRI,234924,187874,79.97,K. PEDDA REDDY,,92911,49.45,ASHMIT REDDY.J.C.,,85400,7511,3.99,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3176,andhra-pradesh,2019,ADONI,240234,157298,65.48,Y. SAI PRASAD REDDY,,74109,47.11,KONKA MEENAKSHI NAIDU,,61790,12319,7.83,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3177,andhra-pradesh,2019,ANANTAPUR URBAN,255852,165141,64.55,ANANTHA VENKATARAMI REDDY,,88704,53.71,PRABHAKAR CHOWDARY .V,,60006,28698,17.37,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3178,andhra-pradesh,2019,SINGANAMALA,235435,197466,83.87,Padmavathy Jonnalagadda,,118044,59.78,Bandaru Sravani Sree,,71802,46242,23.42,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3179,andhra-pradesh,2019,GUNTAKAL,252719,191057,75.6,Y. VENKATARAMA REDDY,,106922,55.96,R Jitendra Gowd,,58390,48532,25.4,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3187,andhra-pradesh,2019,ALUR,236320,189321,80.11,Gummanur Jayaram,,107101,56.57,Kotla Sujathamma,,67205,39896,21.07,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3188,andhra-pradesh,2019,KAMALAPURAM,193151,158347,81.98,POCHIMAREDDY RAVINDRANATH REDDY,,88482,55.88,NARASIMHA REDDY PUTHA,,61149,27333,17.26,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3189,andhra-pradesh,2019,RAYADURG,249605,216112,86.58,KAPU RAMACHANDRA REDDY,,109043,50.46,KALAVA SRINIVASULU,,94994,14049,6.5,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3190,andhra-pradesh,2019,PULIVENDLA,223770,180127,80.5,Y S JAGAN MOHAN REDDY,,132356,73.48,SATISH REDDY SINGA REDDY,,42246,90110,50.03,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3191,andhra-pradesh,2019,JAMMALAMADUGU,237817,203879,85.73,Mule Sudheer Reddy,,125005,61.31,Rama Subba Reddy Ponnapureddy,,73364,51641,25.33,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3192,andhra-pradesh,2019,CHITTOOR,193904,151550,78.16,Aranii Srenevasulu (Jangalapalli),,91206,60.18,A. S. Manohar,,51238,39968,26.37,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3193,andhra-pradesh,2019,PRODDATUR,236849,182293,76.97,Rachamallu Siva Prasad Reddy,,107941,59.21,Mallela Linga Reddy,,64793,43148,23.67,src-1b7bc1c9d39a
