entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1976-arunachal-pradesh-1,arunachal-pradesh,2004,LUMLA,7007,6169,88.04,T.G.RINPOCHE,parties.IN.INC,INC,3318,53.79,JAMBEY WANGDI,parties.IN.IND,IND,2851,467,7.58,src-1b7bc1c9d39a
IN-AC-1976-arunachal-pradesh-10,arunachal-pradesh,2004,SEPPA EAST,13896,7415,53.36,ATUM WELLY,parties.IN.INC,INC,3939,53.12,TAME PHASSANG,parties.IN.IND,IND,3476,463,6.24,src-1b7bc1c9d39a
IN-AC-1976-arunachal-pradesh-11,arunachal-pradesh,2004,SEPPA WEST,7006,5555,79.29,TANI LOFFA,parties.IN.BJP,BJP,3123,56.22,HARI NOTUNG,parties.IN.INC,INC,2432,691,12.44,src-1b7bc1c9d39a
IN-AC-1976-arunachal-pradesh-12,arunachal-pradesh,2004,PAKKE-KASANG,6360,4942,77.7,TECHI HEMU,parties.IN.BJP,BJP,2898,58.64,NIANI NATUNG,parties.IN.INC,INC,2044,854,17.28,src-1b7bc1c9d39a
IN-AC-1976-arunachal-pradesh-13,arunachal-pradesh,2004,ITANAGAR,42595,19475,45.72,SHRI KIPA BABU,parties.IN.BJP,BJP,9575,49.17,SHRI LICHI LEGI,parties.IN.INC,INC,7950,1625,8.35,src-1b7bc1c9d39a
IN-AC-1976-arunachal-pradesh-14,arunachal-pradesh,2004,DOIMUKH,15803,14613,92.47,SHRI NGURANG PINCH,parties.IN.IND,IND,5243,35.88,SHRI TABA HARE,parties.IN.BJP,BJP,4970,273,1.87,src-1b7bc1c9d39a
IN-AC-1976-arunachal-pradesh-16,arunachal-pradesh,2004,YACHULI,13987,11383,81.38,NIKH KAMIN,parties.IN.NCP,NCP,6191,54.39,LIKHA MAJ,parties.IN.INC,INC,5099,1092,9.6,src-1b7bc1c9d39a
IN-AC-1976-arunachal-pradesh-17,arunachal-pradesh,2004,ZIRO-HAPOLI,19121,12885,67.39,NANI RIBIA,parties.IN.IND,IND,7125,55.3,PADI RICHO,parties.IN.INC,INC,5760,1365,10.6,src-1b7bc1c9d39a
IN-AC-1976-arunachal-pradesh-18,arunachal-pradesh,2004,PALIN,14056,10198,72.55,BALO RAJA,parties.IN.BJP,BJP,5545,54.37,TAKAM SANJOY,parties.IN.INC,INC,4653,892,8.74,src-1b7bc1c9d39a
IN-AC-1976-arunachal-pradesh-19,arunachal-pradesh,2004,NYAPIN,12986,8290,63.84,TATAR KIPA,parties.IN.INC,INC,3794,45.77,BAMANG FELIX,parties.IN.AC,AC,3615,179,2.16,src-1b7bc1c9d39a
IN-AC-1976-arunachal-pradesh-2,arunachal-pradesh,2004,TAWANG,8571,6227,72.65,TSEWANG DHONDUP,parties.IN.INC,INC,3786,60.8,THUPTEN TEMPA,parties.IN.IND,IND,2441,1345,21.6,src-1b7bc1c9d39a
