entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-arunachal-pradesh-1423,arunachal-pradesh,2019,1,LUMLA,JAMBEY TASHI,,4567,57.15,1,won,U,44,Graduate,Agricultural Business,incumbent,src-1b7bc1c9d39a
IN-AC-2008-arunachal-pradesh-1423,arunachal-pradesh,2019,1,LUMLA,JAMPA THIRNLY KUNKHAP,,3279,41.03,2,lost,U,33,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-arunachal-pradesh-1437,arunachal-pradesh,2019,2,TAWANG,TSERING TASHI,,5547,72.77,1,won,U,38,Graduate,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-arunachal-pradesh-1437,arunachal-pradesh,2019,2,TAWANG,THUPTEN TEMPA,,1955,25.65,2,lost,U,60,Post Graduate,Ex MLA,challenger,src-1b7bc1c9d39a
IN-AC-2008-arunachal-pradesh-1425,arunachal-pradesh,2019,3,MUKTO,Pema Khandu,,4304,70.74,1,won,U,39,Graduate,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-arunachal-pradesh-1425,arunachal-pradesh,2019,3,MUKTO,Thupten Kunphen,,1685,27.7,2,lost,U,57,Doctorate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-arunachal-pradesh-1415,arunachal-pradesh,2019,4,DIRANG,Shri Phurpa Tsering,,0,,1,won,U,48,12th Pass,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-arunachal-pradesh-1419,arunachal-pradesh,2019,5,KALAKTANG,SHRI DORJEE WANGDI KHARMA,,5026,59.88,1,won,U,57,Post Graduate,Ex Civil Service,challenger,src-1b7bc1c9d39a
IN-AC-2008-arunachal-pradesh-1419,arunachal-pradesh,2019,5,KALAKTANG,SHRI TENZING NORBU THONGDOK,,3254,38.77,2,lost,U,68,Others,Ex Govt Employee,incumbent,src-1b7bc1c9d39a
IN-AC-2008-arunachal-pradesh-1438,arunachal-pradesh,2019,6,THRIZINO-BURAGAON,KUMSI SIDISOW,,8772,83.28,1,won,U,37,Graduate,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-arunachal-pradesh-1438,arunachal-pradesh,2019,6,THRIZINO-BURAGAON,KALO DUSUSOW,,1637,15.54,2,forfeit,U,45,Graduate,Party Worker,challenger,src-1b7bc1c9d39a
IN-AC-2008-arunachal-pradesh-1412,arunachal-pradesh,2019,7,BOMDILA,Shri Dongru Siongju,,2994,37.15,1,won,U,51,8th Pass,Party Worker,challenger,src-1b7bc1c9d39a
IN-AC-2008-arunachal-pradesh-1412,arunachal-pradesh,2019,7,BOMDILA,Shri Japu Deru,,2761,34.26,2,lost,U,60,5th Pass,Party Worker,incumbent,src-1b7bc1c9d39a
