entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1962-assam-1,assam,1962,LUNGLEH,39513,12155,30.76,SAPRAWNGA,parties.IN.UNK,HLC,5563,45.77,R. DENGTHUAMA,parties.IN.IND,IND,4513,1050,8.64,src-1b7bc1c9d39a
IN-AC-1962-assam-10,assam,1962,HAILAKANDI,47937,26236,54.73,RAMPIRIT RUDRAPAUL,parties.IN.IND,IND,11681,44.52,ABDUL MATLIB MAZUMDAR,parties.IN.INC,INC,8937,2744,10.46,src-1b7bc1c9d39a
IN-AC-1962-assam-100,assam,1962,JAIPUR,47004,17261,36.72,INDRSWAR KHAUND,parties.IN.INC,INC,8361,48.44,THOLOK GOGOY,parties.IN.SOC,SOC,5546,2815,16.31,src-1b7bc1c9d39a
IN-AC-1962-assam-101,assam,1962,BOGDUNG,37025,15214,41.09,UPENDRA NATH SANATAN,parties.IN.INC,INC,8586,56.43,GOLAP BORABORA,parties.IN.SOC,SOC,6628,1958,12.86,src-1b7bc1c9d39a
IN-AC-1962-assam-102,assam,1962,TINSUKIA,60954,29501,48.4,RADHAKISHAN KHEMKA,parties.IN.INC,INC,15228,51.62,BARIN CHOWDHURY,parties.IN.CPI,CPI,8353,6875,23.31,src-1b7bc1c9d39a
IN-AC-1962-assam-103,assam,1962,DIGBOI,49205,26569,54,DWIJESH CHANDRA DEB SARMA,parties.IN.INC,INC,12417,46.73,MOHANLAL MUKHERJEE,parties.IN.CPI,CPI,5437,6980,26.27,src-1b7bc1c9d39a
IN-AC-1962-assam-104,assam,1962,DOOM DOOMA,37115,16218,43.7,MALIA TANTI,parties.IN.INC,INC,13745,84.75,VINCEN BHENGRA,parties.IN.IND,IND,2473,11272,69.5,src-1b7bc1c9d39a
IN-AC-1962-assam-105,assam,1962,SAIKHOWA,34347,14225,41.42,DEVENDRA NATH HAZARIKA,parties.IN.INC,INC,7777,54.67,ROBIN MORAN,parties.IN.IND,IND,3236,4541,31.92,src-1b7bc1c9d39a
IN-AC-1962-assam-11,assam,1962,KATLICHERRA,49266,25970,52.71,GOURI SANKAR ROY,parties.IN.INC,INC,11700,45.05,BADANMAL SURANA,parties.IN.IND,IND,6230,5470,21.06,src-1b7bc1c9d39a
IN-AC-1962-assam-12,assam,1962,SILCHAR WEST,52205,33930,64.99,NANDA KISHORE SINGH,parties.IN.IND,IND,14240,41.97,MAHITOSH PURKAYASTHA,parties.IN.INC,INC,6481,7759,22.87,src-1b7bc1c9d39a
IN-AC-1962-assam-13,assam,1962,SILCHAR EAST,53305,39098,73.35,MOINUL HAQUE CHOWDHURY,parties.IN.INC,INC,23050,58.95,JITENDRA NATH CHOWDHURY,parties.IN.IND,IND,16048,7002,17.9,src-1b7bc1c9d39a
IN-AC-1962-assam-14,assam,1962,SONAI,51383,29340,57.1,PULAKESHI SINGH,parties.IN.INC,INC,16654,56.76,JATINDRA MOHAN BARBHUIYA,parties.IN.IND,IND,11685,4969,16.93,src-1b7bc1c9d39a
IN-AC-1962-assam-15,assam,1962,LAKHIPUR,51813,25484,49.18,RAM PRASAD CHOUBEY,parties.IN.INC,INC,14916,58.53,GOUR SINGH,parties.IN.IND,IND,5267,9649,37.86,src-1b7bc1c9d39a
IN-AC-1962-assam-16,assam,1962,UDHARBAND,47704,22190,46.52,DWARIKA NATH TEWARI,parties.IN.INC,INC,16336,73.62,ANIL KUMAR BARMAN,parties.IN.PSP,PSP,5854,10482,47.24,src-1b7bc1c9d39a
IN-AC-1962-assam-17,assam,1962,NORTH CACHAR HILLS,23181,11401,49.18,J. B. HAGJER,parties.IN.INC,INC,5708,50.07,MOHAN HAMDHAN,parties.IN.UNK,HLC,5693,15,0.14,src-1b7bc1c9d39a
