entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-assam-1792,assam,2016,1,RATABARI,KRIPANATH MALLAH,,53975,47.93,1,won,U,40,Graduate,Ex MLA,incumbent,src-1b7bc1c9d39a
IN-AC-2008-assam-1792,assam,2016,1,RATABARI,AKHIL RANJAN TALUKDAR,,29449,26.15,2,lost,U,60,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1792,assam,2016,1,RATABARI,RAJIB BISWAS,,23926,21.25,3,lost,U,37,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1792,assam,2016,1,RATABARI,SETUL CHANDRA NAMASUDRA,,908,0.81,4,forfeit,U,66,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1792,assam,2016,1,RATABARI,NIRMAL MALLICK,,542,0.48,6,forfeit,U,42,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1792,assam,2016,1,RATABARI,PRABIR BARDHAN,,487,0.43,7,forfeit,U,36,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1792,assam,2016,1,RATABARI,SANJOY KUMAR MALLAH,,419,0.37,8,forfeit,U,39,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1792,assam,2016,1,RATABARI,KALIPADA BISWAS,,380,0.34,9,forfeit,U,40,Literate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1792,assam,2016,1,RATABARI,MANILAL RABIDAS,,370,0.33,10,forfeit,U,67,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1792,assam,2016,1,RATABARI,SATYENDRA NAMASUDRA,,354,0.31,11,forfeit,U,40,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1792,assam,2016,1,RATABARI,NIRANJAN MALLAH,,267,0.24,12,forfeit,U,58,5th Pass,Ex MLA,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1792,assam,2016,1,RATABARI,RANJU ROY,,247,0.22,13,forfeit,U,51,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1792,assam,2016,1,RATABARI,UMESH MALAH,,204,0.18,14,forfeit,U,29,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1792,assam,2016,1,RATABARI,AMULYA NAMASUDRA,,191,0.17,15,forfeit,U,56,8th Pass,Ex MLA,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1791,assam,2016,2,PATHARKANDI,KRISHNENDU PAUL,,46544,37.94,1,won,U,42,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1791,assam,2016,2,PATHARKANDI,DEBENDRA KUMAR SINHA,,37276,30.38,2,lost,U,62,Graduate Professional,Doctor,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1791,assam,2016,2,PATHARKANDI,MONI LAL GOWALA,,32048,26.12,3,lost,U,73,Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-assam-1791,assam,2016,2,PATHARKANDI,KRIPESH RANJAN DASGUPTA,,1638,1.34,4,forfeit,U,65,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1791,assam,2016,2,PATHARKANDI,KABIR AHMED,,892,0.73,6,forfeit,U,34,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1791,assam,2016,2,PATHARKANDI,RAHIM UDDIN AHMED,,743,0.61,7,forfeit,U,46,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1791,assam,2016,2,PATHARKANDI,MISBAQUE UDDIN,,599,0.49,8,forfeit,U,42,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1791,assam,2016,2,PATHARKANDI,DEBANGSHU NATH,,509,0.41,9,forfeit,U,47,Graduate,Home Teacher or Tuition,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1791,assam,2016,2,PATHARKANDI,ASAD UDDIN AHMED,,501,0.41,10,forfeit,U,34,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1791,assam,2016,2,PATHARKANDI,NITAI DEY,,495,0.4,11,forfeit,U,46,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1791,assam,2016,2,PATHARKANDI,NIHAR RANJAN DEB NATH,,419,0.34,12,forfeit,U,44,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,KAMALAKHYA DEY PURKAYASTHA,,45289,34.63,1,won,U,38,12th Pass,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,MISSION RANJAN DAS,,44821,34.27,2,lost,U,54,Graduate Professional,Lawyer,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,SAHABUL ISLAM CHOUDHURY,,34207,26.16,3,lost,U,47,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,NAZRUL ISLAM CHOUDHURY,,1704,1.3,4,forfeit,U,55,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,ABDUL AHAD CHOUDHURY,,1052,0.8,5,forfeit,U,40,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,MOIN UDDIN,,708,0.54,6,forfeit,U,44,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,ARUNANGSHU BHATTACHARJEE,,468,0.36,8,forfeit,U,57,Post Graduate,Lawyer,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,MUHAMMAD MUHSIN ALAM,,420,0.32,9,forfeit,U,29,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,SIBIR AHMED,,265,0.2,10,forfeit,U,34,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,BIKASH KANTI ROY,,253,0.19,11,forfeit,U,57,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,DEEPAN NATH,,241,0.18,12,forfeit,U,35,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,KAYSAR AHMED CHOUDHURY,,237,0.18,13,forfeit,U,35,5th Pass,Shop Keeper,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,AMJAD HUSSAIN,,161,0.12,14,forfeit,U,47,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,TAJ UDDIN CHOUDHURY,,144,0.11,15,forfeit,U,43,Graduate Professional,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1788,assam,2016,3,KARIMGANJ NORTH,ARUN KUMAR DAS,,137,0.1,16,forfeit,U,64,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1789,assam,2016,4,KARIMGANJ SOUTH,AZIZ AHMED KHAN,,58060,45.2,1,won,U,38,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1789,assam,2016,4,KARIMGANJ SOUTH,SIDDEQUE AHMED,,53644,41.77,2,lost,U,53,10th Pass,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-assam-1789,assam,2016,4,KARIMGANJ SOUTH,SIPRA GOON,,11861,9.23,3,forfeit,U,47,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1789,assam,2016,4,KARIMGANJ SOUTH,MONARUL HAQUE,,815,0.63,4,forfeit,U,28,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1789,assam,2016,4,KARIMGANJ SOUTH,MOSUD AHMED,,592,0.46,5,forfeit,U,41,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-assam-1789,assam,2016,4,KARIMGANJ SOUTH,AZIR UDDIN,,391,0.3,6,forfeit,U,43,5th Pass,,challenger,src-1b7bc1c9d39a
