entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-assam-1721,assam,2021,BAITHALANGSO,209252,163112,77.95,Rupsing Teron,,89715,55,Augustine Enghee,,36278,53437,32.76,src-1b7bc1c9d39a
IN-AC-2008-assam-1722,assam,2021,BOKAJAN,150429,118945,79.07,NUMAL MOMIN,,60726,51.05,RATON ENGTI,,42841,17885,15.03,src-1b7bc1c9d39a
IN-AC-2008-assam-1723,assam,2021,DIPHU,201660,152294,75.52,Bidya Sing Engleng,,77032,50.58,Sum Ronghang,,36504,40528,26.61,src-1b7bc1c9d39a
IN-AC-2008-assam-1724,assam,2021,HAFLONG,148432,119518,80.52,NANDITA GORLOSA,,67797,56.73,NIRMAL LANGTHASA,,49199,18598,15.57,src-1b7bc1c9d39a
IN-AC-2008-assam-1725,assam,2021,HOWRAGHAT,132098,103922,78.67,Darsing Ronghang,,57927,55.74,Sanjeeb Teron,,26244,31683,30.49,src-1b7bc1c9d39a
IN-AC-2008-assam-1726,assam,2021,ABHAYAPURI NORTH,181837,159217,87.56,ABDUL BATIN KHANDAKAR,,93276,58.58,BHUPEN ROY,,60495,32781,20.58,src-1b7bc1c9d39a
IN-AC-2008-assam-1727,assam,2021,ABHAYAPURI SOUTH,207884,185059,89.02,PRADIP SARKAR,,112954,61.04,PURNENDU BANIKYA,,65869,47085,25.45,src-1b7bc1c9d39a
IN-AC-2008-assam-1728,assam,2021,BAGHBAR,166073,151276,91.09,Sherman Ali Ahmed,,79357,52.46,Rajib Ahmed,,65415,13942,9.22,src-1b7bc1c9d39a
IN-AC-2008-assam-1729,assam,2021,BARPETA,206527,181992,88.12,ABDUR RAHIM AHMED,,111083,61.04,Gunindra Nath Das,,66364,44719,24.57,src-1b7bc1c9d39a
IN-AC-2008-assam-1730,assam,2021,BONGAIGAON,177771,153630,86.42,PHANI BHUSAN CHOUDHURY,,82800,53.9,SHANKAR PRASAD RAY,,44633,38167,24.85,src-1b7bc1c9d39a
IN-AC-2008-assam-1731,assam,2021,CHENGA,145512,128007,87.97,ASHRAFUL HUSSAIN,,75312,58.83,RABIUL HUSSAIN,,23373,51939,40.57,src-1b7bc1c9d39a
IN-AC-2008-assam-1732,assam,2021,DHARMAPUR,141492,120495,85.16,CHANDRA MOHAN PATOWARY,,68362,56.73,RATUL PATOWARY,,43328,25034,20.77,src-1b7bc1c9d39a
IN-AC-2008-assam-1733,assam,2021,JANIA,212347,184615,86.94,Rafiqul Islam,,156183,84.6,Shahidul Islam,,11408,144775,78.42,src-1b7bc1c9d39a
IN-AC-2008-assam-1734,assam,2021,SARUKHETRI,204996,178880,87.26,JAKIR HUSSAIN SIKDAR,,77045,43.07,KALPANA PATOWARY,,47504,29541,16.51,src-1b7bc1c9d39a
IN-AC-2008-assam-1735,assam,2021,SORBHOG,227306,191460,84.23,MANORANJAN TALUKDAR,,96134,50.21,SANKAR CHANDRA DAS,,85872,10262,5.36,src-1b7bc1c9d39a
IN-AC-2008-assam-1736,assam,2021,BILASIPARA EAST,218586,195744,89.55,SAMSUL HUDA,,116068,59.3,ASHOK KUMAR SINGHI,,66768,49300,25.19,src-1b7bc1c9d39a
IN-AC-2008-assam-1738,assam,2021,DHUBRI,195742,176423,90.13,NAZRUL HOQUE,,123913,70.24,DR. DEBAMOY SANYAL,,46100,77813,44.11,src-1b7bc1c9d39a
IN-AC-2008-assam-1739,assam,2021,GAURIPUR,203013,183727,90.5,NIZANUR RAHMAN,,112194,61.07,BANENDRA KUMAR MUSHAHARY,,63349,48845,26.59,src-1b7bc1c9d39a
IN-AC-2008-assam-1740,assam,2021,GOALPARA EAST,222635,195474,87.8,ABUL KALAM RASHEED ALAM,,112995,57.81,JYOTISH DAS,,67747,45248,23.15,src-1b7bc1c9d39a
IN-AC-2008-assam-1741,assam,2021,GOALPARA WEST,175270,158287,90.31,ABDUR RASHID MANDAL,,85752,54.18,SHEIKH SHAH ALOM,,39728,46024,29.08,src-1b7bc1c9d39a
IN-AC-2008-assam-1742,assam,2021,GOLAKGANJ,202405,183541,90.68,ABDUS SOBAHAN ALI SARKAR,,89870,48.96,ASHWINI RAY SARKAR,,79171,10699,5.82,src-1b7bc1c9d39a
IN-AC-2008-assam-1743,assam,2021,JALESWAR,160319,149803,93.44,Aftab Uddin Mollah,,76026,50.75,DR. Reza M A Amin,,54046,21980,14.67,src-1b7bc1c9d39a
IN-AC-2008-assam-1744,assam,2021,MANKACHAR,225736,207294,91.83,MD. AMINUL ISLAM,,125873,60.72,ZABED ISLAM,,69033,56840,27.42,src-1b7bc1c9d39a
IN-AC-2008-assam-1745,assam,2021,SALMARA SOUTH,188061,174145,92.6,WAZED ALI CHOUDHURY,,146248,83.98,NURUL ISLAM MOLLAH,,10674,135574,77.85,src-1b7bc1c9d39a
IN-AC-2008-assam-1746,assam,2021,DIBRUGARH,150984,113782,75.36,PRASANTA PHUKAN,,68762,60.43,RAJKUMAR NILANETRA NEOG,,30757,38005,33.4,src-1b7bc1c9d39a
IN-AC-2008-assam-1747,assam,2021,DIGBOI,140358,107192,76.37,SUREN  PHUKAN,,59217,55.24,SHIBANATH CHETIA,,32241,26976,25.16,src-1b7bc1c9d39a
IN-AC-2008-assam-1748,assam,2021,DULIAJAN,167033,129317,77.42,TERASH GOWALA,,54762,42.35,DHRUBAJYOTI GOGOI,,46652,8110,6.27,src-1b7bc1c9d39a
IN-AC-2008-assam-1749,assam,2021,LAHOWAL,155165,123186,79.39,BINOD HAZARIKA,,59295,48.13,MANOJ DHANOWAR,,42047,17248,14,src-1b7bc1c9d39a
IN-AC-2008-assam-1750,assam,2021,MARGHERITA,196637,153279,77.95,BHASKAR SHARMA,,86640,56.52,MANORANJAN BORGOHAIN,,28140,58500,38.16,src-1b7bc1c9d39a
IN-AC-2008-assam-1751,assam,2021,MORAN,143912,111921,77.77,CHAKRADHAR GOGOI,,55604,49.68,PRANJAL GHATOWAR,,33263,22341,19.96,src-1b7bc1c9d39a
IN-AC-2008-assam-1752,assam,2021,NAHARKATIA,142628,111036,77.85,TARANGA GOGOI,,47268,42.57,PRANATI PHUKAN,,32292,14976,13.49,src-1b7bc1c9d39a
IN-AC-2008-assam-1753,assam,2021,TINGKHONG,149671,119019,79.52,Bimal Borah,,62675,52.66,Etuwa Munda,,34281,28394,23.86,src-1b7bc1c9d39a
IN-AC-2008-assam-1754,assam,2021,TINSUKIA,174683,130925,74.95,SANJOY KISHAN,,85857,65.58,SHAMSHER SINGH,,15060,70797,54.08,src-1b7bc1c9d39a
IN-AC-2008-assam-1755,assam,2021,BARKHETRY,195845,173519,88.6,DIGANTA BARMAN,,85826,49.46,NARAYAN DEKA,,81772,4054,2.33,src-1b7bc1c9d39a
IN-AC-2008-assam-1756,assam,2021,BOKO,236523,205066,86.7,NANDITA DAS,,120613,58.82,JYOTI PRASAD DAS,,68147,52466,25.59,src-1b7bc1c9d39a
IN-AC-2008-assam-1757,assam,2021,CHAYGAON,190630,166649,87.42,REKIBUDDIN AHMED,,93864,56.32,DR. KAMALA KANTA KALITA,,65820,28044,16.82,src-1b7bc1c9d39a
IN-AC-2008-assam-1758,assam,2021,DISPUR,412160,306318,74.32,ATUL BORA,,196043,64,MANJIT MAHANTA,,74386,121657,39.72,src-1b7bc1c9d39a
IN-AC-2008-assam-1759,assam,2021,DUDHNAI,207287,180755,87.2,JADAB SWARGIARY,,78551,43.46,SHYAMJIT RABHA,,77275,1276,0.71,src-1b7bc1c9d39a
IN-AC-2008-assam-1760,assam,2021,GAUHATI EAST,240455,171060,71.14,SIDDHARTHA BHATTACHARYA,,113461,66.33,ASHIMA BARDOLOI,,29361,84100,49.17,src-1b7bc1c9d39a
IN-AC-2008-assam-1761,assam,2021,GAUHATI WEST,297441,229714,77.23,RAMENDRA NARAYAN KALITA,,137533,59.87,MIRA BORTHAKUR GOSWAMI,,59084,78449,34.15,src-1b7bc1c9d39a
IN-AC-2008-assam-1762,assam,2021,HAJO,176601,151665,85.88,SRI SUMAN HARIPRIYA,,66165,43.63,Dulu Ahmed,,51797,14368,9.48,src-1b7bc1c9d39a
IN-AC-2008-assam-1763,assam,2021,JALUKBARI,205206,168967,82.34,HIMANTA BISWA SARMA,,130762,77.39,ROMEN CHANDRA BORTHAKUR,,28851,101911,60.32,src-1b7bc1c9d39a
