entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1967-bihar-1,bihar,1972,DHANAHA,83825,32072,38.26,HARDEO PRASAD,parties.IN.INC,INC,15465,48.22,TARA DEVI,parties.IN.SOP,SOP,11629,3836,11.96,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-10,bihar,1972,RAXAUL,92357,48815,52.85,SAGHIR AHMAD,parties.IN.INC,INC,18614,38.13,SHANKAR PD. YADAV,parties.IN.SOP,SOP,16417,2197,4.5,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-100,bihar,1972,SARAIRANJAN,100243,60716,60.57,CHANDRESHWAR PRASAD,parties.IN.BJS,BJS,21395,35.24,RAM BILASH MISHRA,parties.IN.SOP,SOP,19050,2345,3.86,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-101,bihar,1972,BIBHUTPUR,104188,68609,65.85,BANDHU MAHATO,parties.IN.INC,INC,31095,45.32,SHAMBLU NARAIN,parties.IN.NCO,NCO,15238,15857,23.11,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-102,bihar,1972,ROSERA,98501,71830,72.92,RAMASHREY RAI,parties.IN.BJS,BJS,35829,49.88,RAMSWARUP MANDAL,parties.IN.INC,INC,28620,7209,10.04,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-103,bihar,1972,HASSANPUR,99276,56083,56.49,GAJENDRA PD. HIMANSHU,parties.IN.SOP,SOP,23201,41.37,RAJENDRA PD. YADAV,parties.IN.INC,INC,19798,3403,6.07,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-104,bihar,1972,SINGHIA,96820,42570,43.97,RAMJATAN PASWAN,parties.IN.CPI,CPI,23446,55.08,SITHRAM PASWAN,parties.IN.NCO,NCO,7316,16130,37.89,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-105,bihar,1972,RAGHOPUR,101530,60898,59.98,AMRENISA MISHRA,parties.IN.INC,INC,33753,55.43,BAIDYA NATH PRASAD MEHTA,parties.IN.NCO,NCO,21416,12337,20.26,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-106,bihar,1972,KISHANPUR,127366,74504,58.5,VINAYAK PD. YADAV,parties.IN.SOP,SOP,41996,56.37,BHUSHAN PD. GUPTA,parties.IN.INC,INC,29474,12522,16.81,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-107,bihar,1972,SUPAUL,90900,51994,57.2,UMA SHANKAR SINGH,parties.IN.INC,INC,19963,38.39,YOGESAR PD. MANDAL,parties.IN.BJS,BJS,12377,7586,14.59,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-108,bihar,1972,TRIBENIGANJ,97485,61274,62.85,ANUP LAL YADAB,parties.IN.SOP,SOP,26415,43.11,VISHWANATH GURMAITA,parties.IN.INC,INC,17702,8713,14.22,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-109,bihar,1972,CHHATARUR,98499,49444,50.2,KUMBH N. SARDAR,parties.IN.INC,INC,22309,45.12,MAHENSA N. SARDAR,parties.IN.SOP,SOP,22146,163,0.33,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-11,bihar,1972,SUGAULI,97123,53250,54.83,AZIZUL HAQUE,parties.IN.SOP,SOP,16294,30.6,MOHAN LAL MODI,parties.IN.BJS,BJS,13807,2487,4.67,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-110,bihar,1972,KUMARKHAND,97739,57511,58.84,JAI KUMAR SINGH,parties.IN.SOP,SOP,31102,54.08,RAM KRISHNA YADAV,parties.IN.INC,INC,16789,14313,24.89,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-111,bihar,1972,SIMRI BAKHTIARPOR,100877,70876,70.26,CHAUDHARY MD. SALAHUDDIN,parties.IN.INC,INC,42692,60.23,JIALAL MANDAL,parties.IN.NCO,NCO,16493,26199,36.96,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-112,bihar,1972,MAHISHI,116002,67688,58.35,LAHTAN CHADHARY,parties.IN.INC,INC,33467,49.44,PARMESHWAR KUMAR,parties.IN.SOP,SOP,29378,4089,6.04,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-113,bihar,1972,SAHARSA,129095,91694,71.03,RAMESH JHA,parties.IN.INC,INC,44665,48.71,SURESH CHANDRA YADAV,parties.IN.NCO,NCO,42726,1939,2.11,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-114,bihar,1972,SONABARSA,113831,53458,46.96,JAGESHWAR HAZRA,parties.IN.SOP,SOP,27987,52.35,DEO NARAYAN PASWAN,parties.IN.CPI,CPI,21848,6139,11.48,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-115,bihar,1972,MADMIPURA,110474,67026,60.67,BINDESHWARI PD. MANDAL,parties.IN.SOP,SOP,39643,59.15,BHOLI PD. MANDAL,parties.IN.INC,INC,17470,22173,33.09,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-116,bihar,1972,MURLIGANJ,115101,63400,55.08,RAJ NANDAU PRASAD,parties.IN.BJS,BJS,19903,31.39,SHASHI NATH JHA,parties.IN.SOP,SOP,14507,5396,8.51,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-117,bihar,1972,ALAMNAGAR,111667,67273,60.24,VIDYAKAR KAVI,parties.IN.INC,INC,44422,66.03,TARNI YADAV,parties.IN.CPIM,CPM,22851,21571,32.06,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-118,bihar,1972,RUPAULI,108129,48795,45.13,ANANDI PRASAD SINGH,parties.IN.INC,INC,14537,29.79,KAMESHWAR DAS,parties.IN.SOP,SOP,10592,3945,8.08,src-1b7bc1c9d39a,minor,
IN-AC-1967-bihar-119,bihar,1972,DHAMDAHA,107072,56696,52.95,JAI NARAYAN MEHTA,parties.IN.INC,INC,19555,34.49,SURYA NARAIN SINGH YADAV,parties.IN.IND,IND,13149,6406,11.3,src-1b7bc1c9d39a,minor,
