entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-bihar-13,bihar,1998,13,ADAPUR,Shyam Bihari Prasad,parties.IN.RJD,RJD,45863,42.81,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-13,bihar,1998,13,ADAPUR,Virendra Prasad,parties.IN.CPIM,CPM,33480,31.25,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-13,bihar,1998,13,ADAPUR,Hari Shankar Prasad Yadav,parties.IN.INC,INC,20261,18.91,3,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-13,bihar,1998,13,ADAPUR,Faiyajul Azam,parties.IN.JD,JD,2818,2.63,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-13,bihar,1998,13,ADAPUR,Mahendra Patel,parties.IN.CPIMLL,CPI (ML)(L),2631,2.46,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-13,bihar,1998,13,ADAPUR,Vidhanand Prasar,parties.IN.IND,IND,723,0.67,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-13,bihar,1998,13,ADAPUR,Madan Paswan,parties.IN.IND,IND,484,0.45,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-13,bihar,1998,13,ADAPUR,Sudama Padit,parties.IN.IND,IND,399,0.37,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-13,bihar,1998,13,ADAPUR,Dahaur Paswan,parties.IN.IND,IND,358,0.33,9,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-13,bihar,1998,13,ADAPUR,Jamil Akhter,parties.IN.IND,IND,120,0.11,10,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-20,bihar,1998,20,GOVINDGANJ,Bhupendra Nath Dubey,parties.IN.SAP,SAP,59231,65.78,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-20,bihar,1998,20,GOVINDGANJ,Yogendra Pandey,parties.IN.RJD,RJD,28387,31.53,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-20,bihar,1998,20,GOVINDGANJ,Shailendra Kumar Shukla,parties.IN.INC,INC,2122,2.36,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-20,bihar,1998,20,GOVINDGANJ,Rohit Ram,parties.IN.IND,IND,303,0.34,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-66,bihar,1998,66,SHEOHAR,Thakur Ratnakar,parties.IN.RJD,RJD,56448,56.64,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-66,bihar,1998,66,SHEOHAR,Raghunath Jha,parties.IN.SAP,SAP,39882,40.02,2,lost,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-66,bihar,1998,66,SHEOHAR,Ravishar Singh,parties.IN.IND,IND,952,0.96,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-66,bihar,1998,66,SHEOHAR,Gori Sah,parties.IN.IND,IND,613,0.62,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-66,bihar,1998,66,SHEOHAR,Dinesh Kuwar,parties.IN.IND,IND,502,0.5,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-66,bihar,1998,66,SHEOHAR,Atakur Rahman,parties.IN.BSP,BSP,464,0.47,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-bihar-66,bihar,1998,66,SHEOHAR,Md. Husnain,parties.IN.IND,IND,432,0.43,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
