entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-1976-bihar-66,bihar,2004,66,SHROHAR,Sanjay Kumar Gupta,parties.IN.RJD,RJD,45356,43.48,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-bihar-66,bihar,2004,66,SHROHAR,Thakur Ratnakar,parties.IN.JDU,JD(U),40941,39.25,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-bihar-66,bihar,2004,66,SHROHAR,Sanjay Kumar Pandey,parties.IN.BSP,BSP,10462,10.03,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-bihar-66,bihar,2004,66,SHROHAR,Japhir Aalam Ansari,parties.IN.IND,IND,2106,2.02,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-bihar-66,bihar,2004,66,SHROHAR,Sh.Quem,parties.IN.IND,IND,1909,1.83,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-bihar-66,bihar,2004,66,SHROHAR,Vinod Kumar,parties.IN.IND,IND,1399,1.34,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-bihar-66,bihar,2004,66,SHROHAR,Nawal Kishor Prasad Yadav,parties.IN.IND,IND,1103,1.06,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-bihar-66,bihar,2004,66,SHROHAR,Ravishankar Singh,parties.IN.IND,IND,1036,0.99,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-bihar-163,bihar,2004,163,PARBATTA,Ramanand Prasad Singh,parties.IN.JDU,JD(U),54229,44.69,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-bihar-163,bihar,2004,163,PARBATTA,Rakesh Kumar,parties.IN.RJD,RJD,43095,35.52,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-bihar-163,bihar,2004,163,PARBATTA,Ajay Kumar Ranjan,parties.IN.BSP,BSP,16712,13.77,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-bihar-163,bihar,2004,163,PARBATTA,Rajkumar Yadav,parties.IN.IND,IND,3637,3,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-bihar-163,bihar,2004,163,PARBATTA,Shivkumar Mishra,parties.IN.IND,IND,2486,2.05,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-bihar-163,bihar,2004,163,PARBATTA,Akhiles Shukl alias Akhilesh Shukla,parties.IN.IND,IND,1173,0.97,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
